Chr	Locus	Gene Name	CT State 1	CT State 2	CT State 3	CT State 4	CT State 5	CT State 6	CT State 7	CT State 8	EF State 1	EF State 2	EF State 3	EF State 4	EF State 5	EF State 6	EF State 7	EF State 8
DH10B	ECDH10B_0006	yaaA	114.8	124.8	102.8	76	49.2	67.4	250	0	110.3	86.7	89.8	158.7	174.2	117.9	79.9	72.6
DH10B	ECDH10B_0007	yaaJ	65.9	40.9	28.2	50.6	73.4	61.3	8.5	0	96.4	84	43.5	13.5	56.4	46.2	81.5	65.6
DH10B	ECDH10B_0008	talB	3369.3	3256.2	1619.5	2317.6	2068.6	1727.5	827.2	1197.2	2003.4	2171.9	1818.2	1787.2	3168.5	4232	2969.1	3770
DH10B	ECDH10B_0009	mog	266	125.6	283.4	189.5	102.9	158.5	0	0	171.3	238.1	154.8	169.6	330.8	290.1	310.2	195
DH10B	ECDH10B_0010	yaaH	143.2	142.5	231.3	100.2	67.4	160.3	0	0	201.7	212.1	155.2	191	128.1	165.4	146.8	177.7
DH10B	ECDH10B_0011	yaaW	0	24.8	22.1	20.8	20.1	21.6	0	0	13.2	20.1	14.9	33	52.7	12.3	0	8
DH10B	ECDH10B_0012	htgA	0	0	18.3	0	29.5	0	0	0	13.6	0	0	6.6	9.2	5.3	0	0
DH10B	ECDH10B_0013	yaaI	0	0	0	0	0	0	0	0	20.9	6.2	0	0	0	5.4	0	17.1
DH10B	ECDH10B_0014	dnaK	4577.9	5607.1	395	358.3	1241.1	1161	1285.7	2059.5	1083.4	1398.9	360.8	598	255.8	532.5	527.9	499.3
DH10B	ECDH10B_0015	dnaJ	744.6	1122.6	133.4	180.5	417.9	292.1	375.7	174.5	648.1	379.9	215.3	187.7	155.4	172.7	207.5	179
DH10B	ECDH10B_0016	insL-1	130.6	154.9	105.4	84.1	98.7	141.1	32.7	38	156.1	155.6	79	83.3	58.8	89.3	91.1	105.2
DH10B	ECDH10B_0017	mokC	81.2	0	0	5.9	0	33	0	0	31.4	0	0	0	0	0	21.6	0
DH10B	ECDH10B_0018	hokC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0020	nhaA	132.3	155.6	274.6	129.8	375	213.1	72.8	145	111.3	153.9	295.1	159.4	775.1	621.4	929.5	718.8
DH10B	ECDH10B_0021	nhaR	78.6	45.9	81.6	95.2	138.8	100.3	0	77.8	64.4	105.7	144	128.4	136.5	189.2	208.9	269.4
DH10B	ECDH10B_0022	insB-1	135.3	320.6	133	236.8	186.3	327	0	279.8	334.4	278.1	276.9	123.4	215.2	258	219.3	293.3
DH10B	ECDH10B_0023	insA-1	61.8	175.6	57.2	60	115.3	78.1	0	0	105.7	89.2	27.5	48.6	133.2	84.5	172.8	108.2
DH10B	ECDH10B_0024	rpsT	341.8	518.8	530.3	842.3	633	507.6	275.9	0	872	733.6	364.9	582.9	278.4	563.2	424.3	473.2
DH10B	ECDH10B_0025	yaaY	0	0	0	14.7	0	0	0	0	0	0	41.6	0	0	2.4	0	0
DH10B	ECDH10B_0026	ribF	558.8	548.9	308.8	452.7	451.1	526.5	322.2	29.9	596.7	493.4	493.6	680.7	472	693	867.8	723.6
DH10B	ECDH10B_0027	ileS	688.3	812.4	731.5	764.4	952.5	837.6	452.5	480.5	773.7	897.9	834.9	811.2	973.1	995.5	708	827.4
DH10B	ECDH10B_0028	lspA	295.7	144.6	199.2	243.6	289.4	244.3	49.1	0	330.9	223.5	281.9	239.4	222.8	315.4	166.7	278
DH10B	ECDH10B_0029	fkpB	262.9	106	317.7	293.2	491.6	179.7	188.9	0	167.4	339.5	182	320.5	428.3	255.2	375.1	272.2
DH10B	ECDH10B_0030	ispH	481.8	356.8	257.1	535.2	430.1	620.3	127.7	593.1	544	466	606.1	561.5	510	466	443.3	422.9
DH10B	ECDH10B_0031	rihC	147.9	69	29.1	20.5	0	22.7	146	0	36.5	56.8	43.9	11.7	64.7	40.4	48.8	77.2
DH10B	ECDH10B_0032	dapB	309.8	382.9	164.3	112.1	127.8	229.5	0	0	185.5	155.9	158.7	163.1	170.1	132.6	75.5	119.3
DH10B	ECDH10B_0033	carA	51.5	48.9	29.2	59.6	88.6	29.5	158.5	0	68.4	32.3	62.7	41.5	63.2	75.9	13.8	29.7
DH10B	ECDH10B_0034	carB	52	43.2	31.5	49.3	90.9	72.9	30.1	157.5	37	53.1	40	81	57.6	138.1	65.1	63.8
DH10B	ECDH10B_0035	caiF	45.6	46.6	22.4	0	0	0	0	0	22.6	6	23	0	27.2	0	0	0
DH10B	ECDH10B_0036	caiE	20.4	0	0	0	0	3.9	0	0	4.8	15.8	0	0	0	9.4	0	0
DH10B	ECDH10B_0037	caiD	0	0	0	0	19.6	0	0	0	0	5.6	0	7.8	0	2	0	3
DH10B	ECDH10B_0038	caiC	15.3	3.4	13.2	13.4	0	18.7	0	0	27	27.4	5.3	15	9.7	9.9	0	6.2
DH10B	ECDH10B_0039	caiB	15.6	27.8	0	5.3	24.8	19	0	0	49.5	20.2	13.1	6.6	47.8	9.7	5	18.8
DH10B	ECDH10B_0040	caiA	31.6	45.1	0	21.2	0	99.7	0	0	54.4	51.9	19.9	43.2	21.2	30.2	43.7	33.3
DH10B	ECDH10B_0041	caiT	0	0	11.1	2.1	11.6	6.1	0	0	10.9	8.5	18.5	10.3	2.4	10.5	10	19.7
DH10B	ECDH10B_0042	fixA	0	0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0043	fixB	0	0	0	0	0	0	0	0	15.5	0.5	0	0	28.5	0.9	10.4	7.7
DH10B	ECDH10B_0044	fixC	0	9	0	1.9	0	0	0	0	0	0	0	0	0	0.6	0	6.8
DH10B	ECDH10B_0045	fixX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0046	yaaU	0	6.4	4.4	0.2	0	0	0	0	1.8	4.3	4.6	2.8	14.8	7.1	4.5	3.9
DH10B	ECDH10B_0047	kefF	30.2	29	9.3	0	62.9	0	0	0	8.9	6.5	0	20.2	0	4.5	0	5.1
DH10B	ECDH10B_0048	kefC	30.1	16.5	21.7	19	5.1	7.4	0	0	37.6	35.1	11	24.2	9.6	14.4	14.2	11.3
DH10B	ECDH10B_0049	folA	114.9	51.3	310.2	218.8	212.2	166.9	151.8	176.2	83.4	169.7	55.3	154.1	127	170.5	25.2	182.3
DH10B	ECDH10B_0050	apaH	255.7	215.4	402.3	411.5	458.8	218.3	129.6	200.7	307.1	378.4	346.4	296.4	396.6	297.4	391.5	258.8
DH10B	ECDH10B_0051	apaG	98.1	301.3	430.4	605.3	378.9	411.5	353.3	522.2	640.1	468.5	832.7	398.6	303.6	342.8	767	425.5
DH10B	ECDH10B_0052	ksgA	337.9	460.6	636.9	600	602.1	496.5	576	0	510.3	490	547.2	447.4	478.8	471.8	307.6	410.4
DH10B	ECDH10B_0053	pdxA	213.7	237.1	274.9	241.6	184.9	246.6	0	0	210.2	315	275	288.1	190.2	157.7	237.8	125.6
DH10B	ECDH10B_0054	surA	573.4	523.1	609	734.7	378.4	718	509.4	273.9	481.4	867.5	573.4	811.1	514	535.4	442.9	465.4
DH10B	ECDH10B_0055	imp	540.3	656.1	667.8	744.7	445.3	561.1	861	479	707.8	781.4	749.4	518.6	455.6	507.8	399.5	422.4
DH10B	ECDH10B_0056	djlA	52.8	174.5	90.6	91.4	148.2	108.5	372	0	87.1	156.5	101.3	188.6	13.2	42.6	116.9	39.6
DH10B	ECDH10B_0058	yabP	88.2	44.5	74.3	106.8	88	150	0	0	98.8	84.5	45.7	100.4	11.3	126.6	142.6	106.9
DH10B	ECDH10B_0060	rluA	45.6	11.7	64.2	29.6	0	26.8	0	0	47.8	41.6	24.1	27.6	57	41.3	21.8	38.9
DH10B	ECDH10B_0061	hepA	5	21.7	11.2	6.7	0	13	60.1	55.8	6.1	10.5	7.1	3.7	16.4	14.7	22.1	19.4
DH10B	ECDH10B_0062	fruR	21.2	0	0	0	0	17.3	0	0	5	15	0	5.7	0	5.6	14	0
DH10B	ECDH10B_0063	mraZ	725.2	266.6	232	269.2	280.8	406	0	675.8	430.7	388.9	439.5	483.6	617.2	521.5	616.8	592.9
DH10B	ECDH10B_0064	mraW	349.1	264.7	175.8	244.2	370	260.8	193.3	434.1	218.9	258.7	251.2	382.5	312.1	470.6	698.3	532
DH10B	ECDH10B_0065	ftsL	54.8	92.5	35	105.3	21.7	117.8	0	0	29.6	90.1	101.5	152.3	303.7	179.6	153	197
DH10B	ECDH10B_0066	ftsI	197.5	263.5	168.5	170.2	266.6	140.8	254.2	119.7	168.6	142.7	163.5	182.7	168.9	305	312.3	343.6
DH10B	ECDH10B_0067	murE	190.7	270.5	306.1	264	294.1	281	0	388.5	193.9	245.3	231.9	316.4	290.4	424.2	392.7	378.2
DH10B	ECDH10B_0068	murF	90	271.2	283.7	283.5	333.8	249.9	339.5	103.8	203.7	277.8	300.8	276.2	325.9	446.7	308.6	411
DH10B	ECDH10B_0069	mraY	205.5	182.6	334.1	335.2	483.5	435.9	526.9	247.4	377.3	303.4	472	249.5	430.4	331.2	443.8	303.1
DH10B	ECDH10B_0070	murD	118.8	123.3	331.6	302.8	361.3	208.2	147.5	10.7	339.2	253.2	396.2	322	426.1	445.7	490.8	466.2
DH10B	ECDH10B_0071	ftsW	186	205.8	399.1	289.6	233.9	306.8	126.8	181.2	262	251.4	318	342.4	362.2	369.4	476.1	307.8
DH10B	ECDH10B_0072	murG	133.3	182.3	304.7	207.3	476.8	218.5	159.2	39.6	225.7	250.6	252.8	244	426.4	311.7	426.7	317.3
DH10B	ECDH10B_0073	murC	139.3	201.8	315.3	277.1	346.1	295.3	189.2	38.2	264.1	346.5	309.3	379.2	352.3	401.7	315.4	358.2
DH10B	ECDH10B_0074	ddlB	270	327.5	503.2	406.7	509.8	614.6	158.2	45.9	654.8	420.4	718.9	703.2	616.1	505.8	665.7	381
DH10B	ECDH10B_0075	ftsQ	263	326.9	316.8	374.6	497.9	443	0	17	365.4	423.2	587.8	645.2	535.1	515.5	459.1	516.3
DH10B	ECDH10B_0076	ftsA	332.6	414.9	506.6	517.7	651.5	607.9	67.3	413.1	522.9	386.9	544.7	589.6	497.5	570.3	692.8	523.9
DH10B	ECDH10B_0077	ftsZ	751.1	957.8	1076.7	1037.9	846.9	817.6	600.7	244.8	917.4	878.6	1283.2	1064.9	1143.1	1286.3	1201.1	1132.3
DH10B	ECDH10B_0078	lpxC	3028.6	2190.2	2197.5	2758.9	2123.7	2649.2	2631.9	2088.9	2507.6	2861.4	2273.7	2157.5	3177.6	3282.9	3016.2	3888.6
DH10B	ECDH10B_0079	secM	357.7	540	315.2	544.3	713.5	427.8	71	0	425.8	512	499.7	391.9	393.2	543.1	228.7	357.6
DH10B	ECDH10B_0080	secA	726.2	1057.8	719.6	787.1	928.7	811.4	224.3	599.2	807	904.9	756.8	927.7	705	639.2	691.8	560.4
DH10B	ECDH10B_0081	mutT	72	75	32.9	29.1	97.9	29.6	0	0	118.3	83.4	95.3	16.5	73.6	60.9	58.2	45.6
DH10B	ECDH10B_0082	yacG	0	0	84.7	0	0	0	0	0	0	12	0	0	0	6.8	0	0
DH10B	ECDH10B_0083	yacF	167.1	183.1	127.2	169.4	132.6	108.7	0	0	298.6	173.1	123.3	141.2	143.4	143.4	124.1	169.9
DH10B	ECDH10B_0084	coaE	122.7	73.1	92.1	67.6	84.6	43.4	0	0	91.7	78.3	36.6	77.7	131.4	88.2	76.8	123.4
DH10B	ECDH10B_0085	guaC	206.5	312.5	85	113.8	65.5	215.4	0	0	206.5	227.4	70.5	158.7	30.1	66.1	60.2	69.9
DH10B	ECDH10B_0086	hofC	0	17.3	40.2	20.5	23.8	25	141.3	0	49.7	54.1	5	4.5	26.1	12.4	25.2	26.1
DH10B	ECDH10B_0087	hofB	26.8	61.6	35.6	29.4	75.8	38.9	0	0	84.9	77	39.4	62.7	131.3	50.5	104.9	47.9
DH10B	ECDH10B_0088	ppdD	0	0	0	1.1	0	21	0	0	28.8	22.2	0	0	0	4.4	27.5	19.2
DH10B	ECDH10B_0089	nadC	234.4	408	166.5	235.2	487.8	279.1	230.9	0	298.6	247.3	182.4	265.7	366	379.8	315	283.5
DH10B	ECDH10B_0090	ampD	92.6	154.7	189.3	60	83.6	252.5	0	0	212.3	189.9	131.9	125.3	191.6	189.9	117.9	217.6
DH10B	ECDH10B_0091	ampE	160.7	125.1	61.1	108.7	109.8	138.7	0	230.9	94.7	133.6	111.8	34.5	52.4	126.2	129.3	91.8
DH10B	ECDH10B_0092	aroP	243.7	170.2	85.4	120.1	171.4	97.5	238.6	0	150.1	149.1	91.1	102.6	163.8	120.7	115.7	145.4
DH10B	ECDH10B_0093	pdhR	634.3	469.7	616.1	611.7	867.5	1031.8	666.6	0	1032	1899.1	803.1	1434.6	948	1180.9	806.4	838.9
DH10B	ECDH10B_0094	aceE	1515.9	2148.4	3227.3	3156.7	2917.7	2563.2	1558.6	1550.8	2630.8	3304.7	4128.2	4515.8	2192.6	2704.2	688.5	817.1
DH10B	ECDH10B_0095	aceF	1630.2	2727.9	3283.4	3873.5	3062.7	3800.8	917.1	1229	3521.8	3218.1	4809.1	7055.5	2465.8	2547.9	710.6	691.6
DH10B	ECDH10B_0096	lpd	1854.6	2405.6	2076.4	2640.3	1827.1	3146.9	1133.2	1038.9	3035.6	3538.1	3072.6	4059.7	1351.9	1710.1	599.7	571.7
DH10B	ECDH10B_0097	yacH	23.8	31.5	34.6	20.9	24	59.4	65.5	174.9	62.2	33.2	36.8	18.2	9.2	14.4	17.1	17.9
DH10B	ECDH10B_0098	acnB	962.9	991.6	1929.8	1710.2	1499.6	1382.2	682.3	732.7	828.8	1152.3	1607.7	1503	2594.4	2668.9	2954.6	3031.1
DH10B	ECDH10B_0099	yacL	386.7	118.7	491.6	313.8	92.1	275.8	0	0	223.1	237.8	300.9	326.4	103.7	262.6	273.2	157.1
DH10B	ECDH10B_0100	speD	348.1	225.5	239.4	389.7	358.3	279	565.1	266	338.1	402	317.7	425.5	290.9	600.7	298	404.2
DH10B	ECDH10B_0101	speE	219.7	228.1	369.6	369.4	273.5	336.6	14	0	402.3	411.2	236.2	262.2	390.8	385	229.6	393.3
DH10B	ECDH10B_0102	yacC	187.3	35.4	133.2	97.3	86.9	37.6	628	0	97.4	128.4	69.7	95.5	257.6	188.6	241.4	143.1
DH10B	ECDH10B_0103	cueO	171.3	92.3	101.1	32.5	110.8	68	0	0	79.5	78.2	166.8	91.6	97.7	122	107.9	223.3
DH10B	ECDH10B_0104	gcd	47.4	24.8	172.4	126.4	99.2	144.9	81.2	117.9	179.4	175.7	167.5	114.8	81.4	63.3	62.7	39.2
DH10B	ECDH10B_0105	hpt	263.3	319.5	358	299.1	74.1	276.8	0	0	268.2	295.7	156.8	122.8	268.8	159.9	60.6	103.4
DH10B	ECDH10B_0106	can	627.6	450.3	761.4	843.8	554.5	509.9	494.4	361.5	582.9	483.5	591.4	778.8	667.9	914.8	691.9	628.5
DH10B	ECDH10B_0107	yadG	54.1	109.6	60.6	172.5	147.6	45.7	183.4	0	130.5	190.4	211.1	123.8	88	93.5	44.9	86.6
DH10B	ECDH10B_0108	yadH	127.4	95.8	127.9	93.6	64	18	0	219.5	160.6	89.9	123.9	8.3	90.7	56.9	46.1	48.5
DH10B	ECDH10B_0109	yadI	0	96	26.8	20.7	0	33.2	440.5	0	43.8	60.5	0	0	16.3	29	32.6	56.1
DH10B	ECDH10B_0110	yadE	60.3	42.5	73.7	59.7	164.3	86.4	98.7	114.6	69.7	106.1	89.4	107.2	73.6	89.6	78.8	88.1
DH10B	ECDH10B_0111	panD	523.7	638.2	204.4	376.1	300.8	396.2	0	0	237.2	297.8	284.7	274.4	310.6	350.7	274.2	462.5
DH10B	ECDH10B_0112	yadD	56.6	44.3	0	33.1	45.8	64	322.7	15.6	55.3	43.5	23.5	47.5	34.7	49.2	90.5	79.2
DH10B	ECDH10B_0113	panC	746.1	447.1	217.6	321.9	212.9	390.5	0	0	406.1	348.1	292.9	319.7	316.7	376.3	269.2	283
DH10B	ECDH10B_0114	panB	301.4	312.6	225.7	166.9	98.1	187.9	106.9	0	232.1	215	239.5	217.8	221	184	59	213.7
DH10B	ECDH10B_0115	yadC	0	6.2	18.3	6.2	69.4	26.1	0	0	18.2	15.8	0	9.5	0	24.2	28.1	29.5
DH10B	ECDH10B_0116	yadK	0	0	0	0	0	0	0	0	6.3	10.6	0	0	28.5	3.5	46.9	11.1
DH10B	ECDH10B_0117	yadL	16.5	21.6	4.9	0	0	0	100.2	0	17.1	12.2	0	0	0	14.5	15	11
DH10B	ECDH10B_0118	yadM	0	18.9	0	5.2	0	0	0	0	0	5	0	0	0	12.1	0	16.4
DH10B	ECDH10B_0119	htrE	0	0	8.3	3.7	0	9.2	0	0	14.9	2.4	0	2.3	12.4	2.1	4.4	3.8
DH10B	ECDH10B_0120	ecpD	17.6	26	13.3	3.7	40.8	15.6	0	0	6.4	17.5	12.3	0	20.6	5.4	11.2	0
DH10B	ECDH10B_0121	yadN	0	0	0	13.1	2.7	0	0	0	0	7.3	0	0	0	7.1	6.5	17
DH10B	ECDH10B_0122	folK	112.8	54.5	26.7	156.5	106.1	59.4	0	0	51	212.7	75.8	129.6	127	121.5	39.4	74.2
DH10B	ECDH10B_0123	pcnB	226.6	268.1	521.2	416.6	374.5	283.1	416.9	221.9	315.2	440.5	352.1	466.7	219.9	334.9	180.8	208.9
DH10B	ECDH10B_0124	yadB	97.3	76.4	79.8	61.3	79	39	0	136.9	23.9	68.8	62.2	60.7	60	54	0	35.5
DH10B	ECDH10B_0125	dksA	3317.8	1071.5	994.6	1064.8	575.9	1285.2	1837.1	0	1027.2	799.2	1277.4	1286.3	552.4	972.8	1045.8	1094.4
DH10B	ECDH10B_0126	sfsA	384	151.7	155.2	141.6	354.4	158.4	0	0	174.9	125.4	264.6	201.5	209.8	264.9	325.3	256.4
DH10B	ECDH10B_0127	ligT	41.5	44.9	74.3	47.5	86.9	62.4	0	0	39.9	77.3	41.4	52.5	55.7	128.6	62.7	111.4
DH10B	ECDH10B_0128	hrpB	47	45.3	53.6	64	74	88.7	0	127.7	79.2	61.5	57.1	46.8	98.1	100.9	80.7	58.9
DH10B	ECDH10B_0129	mrcB	198.1	229.5	190.2	204.9	310.1	174.4	124.5	300.4	127.8	169.3	169.3	170.3	165.1	195	186.3	174.5
DH10B	ECDH10B_0130	fhuA	75.1	63.1	340.5	365.8	445.4	124.6	216.4	157.1	45.1	106	360	358.9	430.6	593.4	278.6	367.6
DH10B	ECDH10B_0131	fhuC	85.4	40.5	24.7	33.4	125.6	64.7	0	0	1.2	45.7	31.4	24.9	65.2	48.2	39.8	27.6
DH10B	ECDH10B_0132	fhuD	29.3	52.7	81.9	48	8.9	21.6	0	0	12.2	24.3	33.2	23.5	16.1	9	0	23.4
DH10B	ECDH10B_0133	fhuB	13.1	38.4	42.8	46.4	73.8	66	0	0	56.5	45.9	50.5	19.7	25.8	38.2	34.7	34.5
DH10B	ECDH10B_0134	hemL	425.8	416.9	151.6	169.2	214.9	204.4	265.4	0	192.9	214.5	183.5	177.9	172.8	207	146	142.5
DH10B	ECDH10B_0135	clcA	106.5	58.4	16.6	57.9	54.8	86.6	0	0	65.9	54.6	115.2	36.2	35.9	35.3	38.9	33.1
DH10B	ECDH10B_0136	yadR	26.2	131.6	200.1	245.7	143	223.2	492.7	0	66.9	99.7	237.4	287.5	436.5	254.8	495.9	202
DH10B	ECDH10B_0137	yadS	57.8	48.1	23.7	155.2	211.7	103.7	155.7	203.4	95.8	95.1	130.1	159	122.1	137.7	172.3	148.4
DH10B	ECDH10B_0138	btuF	55.1	14.4	49.2	66.6	51.7	72.1	0	0	48.8	65.2	72.9	56.2	134.3	83.1	96.4	114.5
DH10B	ECDH10B_0139	pfs	417.4	533.9	342.8	327	296	191.7	0	262.2	307.1	235.3	167.1	329.8	330.9	442.8	337.9	487.8
DH10B	ECDH10B_0140	dgt	116.9	100.9	59.8	71.9	103.8	78.1	0	111.5	91.2	95.6	85.4	94.3	139.4	173.7	133.6	192.2
DH10B	ECDH10B_0141	degP	225.1	214.9	501.6	352.2	970.5	542.6	903.1	1612.8	238.5	279.3	212.4	210.3	203.2	233.2	217.8	274.8
DH10B	ECDH10B_0142	cdaR	104.8	70.4	61.3	93.2	170.4	103.1	0	219.2	136.6	77.1	62.9	40.7	85.2	78.8	61.4	83.9
DH10B	ECDH10B_0143	yaeH	494.8	276.4	127.4	88.7	65.8	224.9	0	0	192.2	181.1	166.6	72	203.8	253	179.9	208.2
DH10B	ECDH10B_0144	yaeI	34.5	76.7	47.3	53.2	0	50.2	0	0	69.5	89.5	79.3	48.1	27.6	36.3	65.2	36
DH10B	ECDH10B_0145	dapD	717	961.6	282	416.3	237.3	334.2	0	546.9	386.3	356.6	586.5	640.1	347.7	483.3	348.7	417.7
DH10B	ECDH10B_0146	glnD	140.7	108.2	92.2	99.6	87.5	87.3	40.9	0	108.8	147.6	71.5	64.2	143.2	131.4	115.5	93.4
DH10B	ECDH10B_0147	map	604.1	677.5	434.1	716.4	526.5	374.9	0	195.1	562.5	488	729.8	948.9	778	935.9	537	776.9
DH10B	ECDH10B_0149	rpsB	4036.6	4045.6	4123.1	4550	3371.5	3523.8	2408.1	2350	3502.1	5384.3	3899.8	5329	2743.6	2006.6	1713	1519
DH10B	ECDH10B_0150	tsf	3311.4	3094.2	3702	3434.6	3166.1	2786.6	1296.7	1175	3009.6	3101.8	3510.9	6034.8	2911.3	2733.3	1764.4	1364.5
DH10B	ECDH10B_0151	pyrH	388.1	474.8	364	469	278.4	307.6	719.1	330.2	584.2	515.5	452.4	263.6	323.5	230.1	224.2	152.9
DH10B	ECDH10B_0152	frr	966.7	1795.4	1228	1150.4	581.8	1330.4	174.1	126.3	709.5	1268.3	530.1	1263.5	756.7	748.9	584.7	602.9
DH10B	ECDH10B_0153	dxr	185.9	246.2	176.3	158.9	97.1	178.9	263.7	11.8	154.2	139.5	162.2	141.5	106.3	105.8	103.1	110.9
DH10B	ECDH10B_0154	ispU	305.3	366.6	951	744.5	559.7	785.3	31.9	0	1101.5	910.5	730.6	866.8	280	295.5	330.8	287.1
DH10B	ECDH10B_0155	cdsA	315.5	224.2	373.5	461.9	293.1	334.8	42.5	180.8	607.9	508.3	326.2	451.2	256	206.8	213.5	208.2
DH10B	ECDH10B_0156	rseP	566.9	569.3	815.4	722.5	731.6	743.9	511.5	239.7	644	673	639.6	542.1	542.6	373.2	338.5	444
DH10B	ECDH10B_0157	ecfK	585.2	741.3	1104.3	1189.9	849.1	917.3	843.3	765	934.3	1062.5	1084.8	939.6	865.1	959.7	886.7	958.9
DH10B	ECDH10B_0158	skp	876.8	937.3	1756.9	1413.9	1041.3	1236	674.5	0	1290.2	987.3	1300	1383.4	1058.8	1133.9	1141.6	1066
DH10B	ECDH10B_0159	lpxD	562.9	663.7	1279.1	1408.8	1129.2	1107.1	473.3	920.8	1013.1	989.4	1057.8	826.2	842.3	1042.6	843.3	871.4
DH10B	ECDH10B_0160	fabZ	490.3	639.5	942.7	695.2	492.1	641.7	0	309.2	430.5	493.6	864.9	678.4	446.3	371.8	531.2	281.9
DH10B	ECDH10B_0161	lpxA	1022.9	678.8	926	867.5	869.4	687.1	184.7	411	618.7	614.3	993	771.9	874.8	650.7	429.8	730
DH10B	ECDH10B_0162	lpxB	281.8	364.3	572.4	472.9	526.3	544.2	158.5	220.9	589.2	445.3	483.2	541.8	411.9	403.3	426.9	402
DH10B	ECDH10B_0163	rnhB	292.2	165	295.6	380.8	495.8	267	223.7	755.8	439.2	478	452.3	632.2	340.9	382.5	341.1	274.9
DH10B	ECDH10B_0164	dnaE	157.2	158	395.2	431.7	408	431.1	66.2	166	413	402.3	396.1	444.7	331.5	327.8	246.9	250
DH10B	ECDH10B_0165	accA	805.2	1341.8	1554.9	1187.3	1409.1	1037.2	518.5	73.4	963.6	956.5	925.9	1702.8	1097.2	1373.9	765.6	920
DH10B	ECDH10B_0166	ldcC	55.7	88	60.8	60.6	23.8	37.7	0	0	73.2	60.9	49.6	56.8	21.3	40.4	39.2	38.7
DH10B	ECDH10B_0167	yaeR	0	21.7	48	66.5	32.6	33.6	155.7	0	31.4	34	62.2	66	20.7	68	0	48.7
DH10B	ECDH10B_0168	tilS	88	64.6	75.9	82.6	102.9	72.9	121.5	76	71.8	73.6	143.6	94.5	117.3	99.1	62.9	113.8
DH10B	ECDH10B_0169	rof	0	0	0	48.4	181	0	0	0	7.4	6.8	0	10.5	98.4	38.8	38.6	67.4
DH10B	ECDH10B_0170	yaeP	79.8	0	0	1.2	7.9	114.9	0	0	46.8	24.3	30.2	8	102.6	34.9	67.8	10.5
