gene_name	N13	N14	N15	N16	N17	N5	Rhizobium_1	Rhizobium_2	Rhizobium_synnifI4_1	Rhizobium_synnifI4_2
BN877_I0074_locusTag_BN877_I0074	75	0	169	815	303	56	512	1477	0	0
BN877_I0075_locusTag_BN877_I0075	9	0	280	502	129	16	198	539	0	0
BN877_I0076_locusTag_BN877_I0076	0	0	78	262	67	7	159	159	0	0
BN877_I0077_locusTag_BN877_I0077	0	1	152	633	50	87	190	514	0	0
BN877_I0084_locusTag_BN877_I0084	18	11	331	741	110	31	157	447	0	0
BN877_I0087_locusTag_BN877_I0087	9	0	105	241	72	43	202	202	0	0
BN877_I0088_locusTag_BN877_I0088	7	0	169	554	142	23	225	720	0	0
BN877_I0090_locusTag_BN877_I0090	0	0	17	148	17	7	5	137	0	0
BN877_I0091_locusTag_BN877_I0091	5	5	250	297	368	35	176	498	0	0
BN877_I0092_locusTag_BN877_I0092	22	12	717	1807	367	87	357	877	0	0
BN877_I0093_locusTag_BN877_I0093	7	16	23	141	72	9	152	469	0	0
BN877_I0094_locusTag_BN877_I0094	13	10	132	440	124	41	551	1553	0	0
BN877_I0097_locusTag_BN877_I0097	85	43	417	1216	526	54	767	1871	0	0
BN877_I0099_locusTag_BN877_I0099	51	22	312	2155	189	80	518	1210	0	0
BN877_I0100_locusTag_BN877_I0100	0	0	92	296	30	8	48	79	0	0
BN877_I0101_locusTag_BN877_I0101	17	17	93	404	25	22	19	14	0	0
BN877_I0103_locusTag_BN877_I0103	87	10	186	477	277	57	503	1163	0	0
BN877_I0104_locusTag_BN877_I0104	6	14	96	600	272	33	231	604	0	0
BN877_I0105_locusTag_BN877_I0105	1	10	22	51	65	6	112	223	0	0
BN877_I0106_locusTag_BN877_I0106	3	0	27	61	73	1	71	189	0	0
BN877_I0109_locusTag_BN877_I0109	0	0	12	37	0	0	18	57	0	0
BN877_I0113_locusTag_BN877_I0113	0	0	33	60	15	32	5	109	0	0
BN877_I0114_locusTag_BN877_I0114	0	0	0	13	0	11	0	0	0	0
BN877_I0115_locusTag_BN877_I0115	0	0	0	45	3	12	0	4	0	0
BN877_I0117_locusTag_BN877_I0117	0	0	32	124	35	2	3	132	0	0
BN877_I0121_locusTag_BN877_I0121	0	0	7	16	11	0	0	0	0	0
BN877_I0122_locusTag_BN877_I0122	0	0	0	0	0	0	0	0	0	0
BN877_I0124_locusTag_BN877_I0124	78	19	1101	1513	987	156	829	2082	0	0
BN877_I0126_locusTag_BN877_I0126	6	0	114	223	25	40	49	131	0	0
BN877_I0127_locusTag_BN877_I0127	1	0	69	199	11	30	52	112	0	0
BN877_I0134_locusTag_BN877_I0134	5	11	83	233	99	4	109	267	0	0
BN877_I0136_locusTag_BN877_I0136	0	1	142	197	71	5	282	567	0	0
BN877_I0141_locusTag_BN877_I0141	15	0	108	273	94	33	117	73	0	0
BN877_I0142_locusTag_BN877_I0142	0	0	17	6	11	8	0	40	0	0
BN877_I0143_locusTag_BN877_I0143	16	0	64	150	27	0	33	148	0	0
BN877_I0145_locusTag_BN877_I0145	1	0	48	86	48	16	67	64	0	0
BN877_I0146_locusTag_BN877_I0146	32	35	130	546	56	23	149	267	0	0
BN877_I0150_locusTag_BN877_I0150	0	0	4	4	0	0	10	21	0	0
BN877_I0152_locusTag_BN877_I0152	15	8	71	185	53	14	96	136	0	0
BN877_I0153_locusTag_BN877_I0153	6	0	0	140	113	0	76	296	0	0
BN877_I0154_locusTag_BN877_I0154	10	0	31	75	18	13	31	86	0	0
BN877_I0155_locusTag_BN877_I0155	17	39	475	739	121	80	225	588	0	0
BN877_I0156_locusTag_BN877_I0156	10	21	96	247	44	21	43	185	0	0
BN877_I0157_locusTag_BN877_I0157	0	0	52	148	20	3	21	39	0	0
BN877_I0158_locusTag_BN877_I0158	0	0	35	93	0	11	0	6	0	0
BN877_I0163_locusTag_BN877_I0163	11	0	98	834	53	22	67	200	0	0
BN877_I0164_locusTag_BN877_I0164	0	0	40	105	65	0	178	189	0	0
BN877_I0168_locusTag_BN877_I0168	0	0	0	10	0	0	0	9	0	0
BN877_I0169_locusTag_BN877_I0169	2	0	3	11	0	0	0	8	0	0
BN877_I0170_locusTag_BN877_I0170	2	0	16	74	29	13	19	51	0	0
BN877_I0172_locusTag_BN877_I0172	0	0	9	13	0	0	24	27	0	0
BN877_I0174_locusTag_BN877_I0174	0	0	38	18	15	0	0	8	0	0
BN877_I0175_locusTag_BN877_I0175	6	0	2	35	25	0	104	86	0	0
BN877_I0176_locusTag_BN877_I0176	0	20	43	101	30	6	40	123	0	0
BN877_I0177_locusTag_BN877_I0177	6	0	20	172	76	0	0	75	0	0
BN877_I0179_locusTag_BN877_I0179	44	42	545	1969	231	119	346	825	0	0
BN877_I0183_locusTag_BN877_I0183	36	3	226	1025	308	103	669	1400	0	0
BN877_I0184_locusTag_BN877_I0184	35	19	253	768	254	38	490	1253	0	0
BN877_I0185_locusTag_BN877_I0185	3	9	110	320	152	34	397	692	0	0
BN877_I0186_locusTag_BN877_I0186	0	0	21	149	46	11	152	216	0	0
BN877_I0187_locusTag_BN877_I0187	6	13	110	338	64	25	165	654	0	0
BN877_I0188_locusTag_BN877_I0188	29	21	56	165	88	31	116	494	0	0
BN877_I0189_locusTag_BN877_I0189	11	4	91	157	65	27	530	923	0	0
BN877_I0196_locusTag_BN877_I0196	2	2	89	848	29	3	95	204	0	0
BN877_I0198_locusTag_BN877_I0198	0	6	0	12	7	0	12	28	0	0
BN877_I0201_locusTag_BN877_I0201	10	0	29	49	25	3	23	91	0	0
BN877_I0202_locusTag_BN877_I0202	3	5	45	120	28	14	13	57	0	0
BN877_I0203_locusTag_BN877_I0203	8	12	2	23	33	0	0	27	0	0
BN877_I0204_locusTag_BN877_I0204	4	4	122	211	79	75	152	312	0	0
BN877_I0205_locusTag_BN877_I0205	0	15	43	68	12	0	39	4	0	0
BN877_I0206_locusTag_BN877_I0206	27	5	189	330	183	29	202	567	0	0
BN877_I0207_locusTag_BN877_I0207	14	5	115	176	182	29	87	223	0	0
BN877_I0209_locusTag_BN877_I0209	0	0	126	270	190	44	231	558	0	0
BN877_I0210_locusTag_BN877_I0210	1	0	61	169	101	13	355	485	0	0
BN877_I0211_locusTag_BN877_I0211	0	0	10	11	10	12	80	162	0	0
BN877_I0212_locusTag_BN877_I0212	0	0	79	108	15	34	175	273	0	0
BN877_I0213_locusTag_BN877_I0213	0	0	63	198	51	35	317	622	0	0
BN877_I0214_locusTag_BN877_I0214	6	0	80	196	23	22	271	574	0	0
BN877_I0215_locusTag_BN877_I0215	15	0	95	103	3	22	142	350	0	0
BN877_I0216_locusTag_BN877_I0216	4	25	198	464	125	27	398	649	0	0
BN877_I0217_locusTag_BN877_I0217	40	3	239	623	128	19	259	642	0	0
BN877_I0218_locusTag_BN877_I0218	763	179	1219	2927	1973	289	868	1294	0	0
BN877_I0219_locusTag_BN877_I0219	1138	300	2683	4306	2489	229	1229	1240	0	0
BN877_I0220_locusTag_BN877_I0220	63	10	138	414	208	28	591	884	0	0
BN877_I0221_locusTag_BN877_I0221	0	0	273	552	72	33	224	130	0	0
BN877_I0223_locusTag_BN877_I0223	1	0	3	30	29	0	54	82	0	0
BN877_I0224_locusTag_BN877_I0224	4	2	17	151	52	21	282	581	0	0
BN877_I0225_locusTag_BN877_I0225	20	9	57	83	75	26	98	162	0	0
BN877_I0227_locusTag_BN877_I0227	12	1	48	64	153	26	78	229	0	0
BN877_I0228_locusTag_BN877_I0228	0	0	0	0	0	0	4	0	0	0
BN877_I0229_locusTag_BN877_I0229	0	0	4	0	0	0	0	0	0	0
BN877_I0230_locusTag_BN877_I0230	157	33	221	720	272	114	675	1554	0	0
BN877_I0231_locusTag_BN877_I0231	0	0	10	23	6	15	36	94	0	0
BN877_I0232_locusTag_BN877_I0232	24	1	53	298	152	44	62	233	0	0
BN877_I0233_locusTag_BN877_I0233	0	0	13	37	8	0	0	7	0	0
BN877_I0234_locusTag_BN877_I0234	3	0	20	47	20	0	18	98	0	0
BN877_I0235_locusTag_BN877_I0235	0	0	45	72	22	8	6	27	0	0
BN877_I0236_locusTag_BN877_I0236	13	8	50	214	123	68	264	652	0	0
BN877_I0238_locusTag_BN877_I0238	0	0	0	2	8	0	14	19	0	0
BN877_I0240_locusTag_BN877_I0240	5	0	11	64	66	11	41	146	0	0
BN877_I0241_locusTag_BN877_I0241	0	0	81	122	73	0	38	94	0	0
BN877_I0242_locusTag_BN877_I0242	0	0	48	132	100	40	14	91	0	0
BN877_I0243_locusTag_BN877_I0243	0	0	21	81	17	2	12	40	0	0
BN877_I0245_locusTag_BN877_I0245	0	0	54	151	34	8	52	152	0	0
BN877_I0246_locusTag_BN877_I0246	0	0	48	49	16	0	6	31	0	0
BN877_I0247_locusTag_BN877_I0247	0	5	86	281	87	18	368	878	0	0
BN877_I0248_locusTag_BN877_I0248	17	13	35	374	425	50	606	2193	0	0
BN877_I0249_locusTag_BN877_I0249	8	16	568	2593	218	129	0	79	0	0
BN877_I0250_locusTag_BN877_I0250	29	21	211	551	309	42	394	784	0	0
BN877_I0251_locusTag_BN877_I0251	5	25	224	750	81	16	134	415	0	0
BN877_I0255_locusTag_BN877_I0255	14	9	192	461	52	14	139	149	0	0
BN877_I0258_locusTag_BN877_I0258	15	4	70	169	222	5	199	640	0	0
BN877_I0259_locusTag_BN877_I0259	7	12	43	318	18	34	87	167	0	0
BN877_I0260_locusTag_BN877_I0260	0	8	20	50	7	0	48	165	0	0
BN877_I0261_locusTag_BN877_I0261	21	0	109	124	168	42	115	380	0	0
BN877_I0262_locusTag_BN877_I0262	0	0	0	84	21	1	52	85	0	0
BN877_I0263_locusTag_BN877_I0263	9	0	30	44	80	0	7	71	0	0
BN877_I0264_locusTag_BN877_I0264	24	6	210	341	315	38	170	370	0	0
BN877_I0265_locusTag_BN877_I0265	36	11	15	37	40	6	22	0	0	0
BN877_I0266_locusTag_BN877_I0266	11	0	20	18	19	0	0	0	0	0
BN877_I0267_locusTag_BN877_I0267	19	28	221	553	144	53	274	604	0	0
BN877_I0268_locusTag_BN877_I0268	0	0	12	67	13	0	19	19	0	0
BN877_I0269_locusTag_BN877_I0269	6	0	32	205	15	14	30	114	0	0
BN877_I0272_locusTag_BN877_I0272	46	26	318	557	430	47	502	1128	0	0
BN877_I0273_locusTag_BN877_I0273	9	0	11	75	42	0	39	56	0	0
BN877_I0274_locusTag_BN877_I0274	2	0	51	96	26	2	0	30	0	0
BN877_I0275_locusTag_BN877_I0275	716	576	3404	9156	3620	355	1737	3998	0	0
BN877_I0276_locusTag_BN877_I0276	56	27	192	730	218	55	56	126	0	0
BN877_I0277_locusTag_BN877_I0277	0	0	0	3	0	0	0	0	0	0
BN877_I0278_locusTag_BN877_I0278	6	33	28	1057	32	4	0	16	0	0
BN877_I0279_locusTag_BN877_I0279	10	23	40	476	39	26	19	40	0	0
BN877_I0281_locusTag_BN877_I0281	4	0	61	35	53	0	96	98	0	0
BN877_I0282_locusTag_BN877_I0282	0	0	60	159	143	0	75	195	0	0
BN877_I0284_locusTag_BN877_I0284	0	0	82	74	35	0	59	208	0	0
BN877_I0285_locusTag_BN877_I0285	0	0	97	145	58	0	80	207	0	0
BN877_I0286_locusTag_BN877_I0286	6	0	73	94	22	13	89	316	0	0
BN877_I0287_locusTag_BN877_I0287	31	29	581	660	323	66	1267	3104	0	0
BN877_I0288_locusTag_BN877_I0288	57	18	817	2129	169	70	385	1103	0	0
BN877_I0289_locusTag_BN877_I0289	48	43	844	1699	73	81	349	459	0	0
BN877_I0290_locusTag_BN877_I0290	11	1	77	207	90	43	86	356	0	0
BN877_I0291_locusTag_BN877_I0291	32	7	322	1035	230	29	148	281	0	0
BN877_I0292_locusTag_BN877_I0292	57	13	222	439	103	24	181	557	0	0
BN877_I0294_locusTag_BN877_I0294	60	9	230	1021	251	41	215	325	0	0
BN877_I0295_locusTag_BN877_I0295	39	51	630	1174	560	55	830	1406	0	0
BN877_I0296_locusTag_BN877_I0296	7	0	71	246	18	0	43	89	0	0
BN877_I0298_locusTag_BN877_I0298	21	19	92	451	73	32	85	419	0	0
BN877_I0301_locusTag_BN877_I0301	11	9	131	253	57	23	50	185	0	0
BN877_I0302_locusTag_BN877_I0302	0	0	5	82	16	0	0	46	0	0
BN877_I0304_locusTag_BN877_I0304	0	0	38	35	4	0	17	44	0	0
BN877_I0305_locusTag_BN877_I0305	0	0	0	4	0	0	0	0	0	0
BN877_I0306_locusTag_BN877_I0306	0	0	0	11	0	0	0	0	0	0
BN877_I0307_locusTag_BN877_I0307	0	0	29	11	0	3	0	11	0	0
BN877_I0308_locusTag_BN877_I0308	0	0	0	0	0	0	0	0	0	0
BN877_I0309_locusTag_BN877_I0309	28	32	219	362	153	25	54	93	0	0
BN877_I0311_locusTag_BN877_I0311	0	18	305	1115	139	73	74	137	0	0
BN877_I0313_locusTag_BN877_I0313	2	10	184	273	98	30	174	277	0	0
BN877_I0318_locusTag_BN877_I0318	5	0	80	81	107	11	410	569	0	0
BN877_I0322_locusTag_BN877_I0322	11	15	230	349	124	38	183	437	0	0
BN877_I0324_locusTag_BN877_I0324	0	0	0	0	0	0	0	0	0	0
BN877_I0326_locusTag_BN877_I0326	10	7	137	651	85	1	110	250	0	0
BN877_I0327_locusTag_BN877_I0327	0	9	226	411	71	27	74	118	0	0
BN877_I0332_locusTag_BN877_I0332	157	44	1088	5710	2161	196	2266	6296	0	0
BN877_I0335_locusTag_BN877_I0335	21	18	395	853	315	16	402	963	0	0
BN877_I0336_locusTag_BN877_I0336	35	24	500	1241	267	6	233	644	0	0
BN877_I0337_locusTag_BN877_I0337	19	9	614	1879	477	46	292	718	0	0
BN877_I0339_locusTag_BN877_I0339	0	0	154	343	142	26	107	256	0	0
BN877_I0340_locusTag_BN877_I0340	8	8	270	927	233	19	494	762	0	0
BN877_I0341_locusTag_BN877_I0341	2	29	138	352	43	20	177	300	0	0
BN877_I0343_locusTag_BN877_I0343	96	35	385	1770	407	6	322	520	0	0
BN877_I0344_locusTag_BN877_I0344	34	34	393	1435	403	99	848	2103	0	0
BN877_I0349_locusTag_BN877_I0349	0	0	0	0	0	0	0	0	0	0
BN877_I0351_locusTag_BN877_I0351	12	5	224	781	165	47	191	1108	0	0
BN877_I0352_locusTag_BN877_I0352	104	47	2587	5647	829	184	464	1000	0	0
BN877_I0353_locusTag_BN877_I0353	5	0	602	1457	109	50	170	336	0	0
BN877_I0354_locusTag_BN877_I0354	13	0	93	387	56	1	89	297	0	0
BN877_I0355_locusTag_BN877_I0355	0	2	104	355	106	9	80	300	0	0
BN877_I0356_locusTag_BN877_I0356	4	0	94	295	50	7	18	23	0	0
BN877_I0357_locusTag_BN877_I0357	60	51	1385	3998	727	128	856	2253	0	0
BN877_I0358_locusTag_BN877_I0358	100	24	436	1574	612	133	1651	3435	0	0
BN877_I0359_locusTag_BN877_I0359	13	2	66	237	98	14	134	360	0	0
BN877_I0360_locusTag_BN877_I0360	57	45	623	1465	343	99	696	3129	0	0
BN877_I0362_locusTag_BN877_I0362	108	40	378	902	453	70	1003	2373	0	0
BN877_I0365_locusTag_BN877_I0365	4	0	107	393	70	34	131	158	0	0
BN877_I0366_locusTag_BN877_I0366	37	46	176	960	224	92	230	534	0	0
BN877_I0370_locusTag_BN877_I0370	13	10	62	83	45	1	36	54	0	0
BN877_I0373_locusTag_BN877_I0373	19	0	134	270	120	47	31	201	0	0
BN877_I0374_locusTag_BN877_I0374	186	32	668	662	234	70	264	510	0	0
BN877_I0375_locusTag_BN877_I0375	34	10	225	482	354	51	180	416	0	0
BN877_I0376_locusTag_BN877_I0376	101	57	812	1932	1166	157	172	841	0	0
BN877_I0377_locusTag_BN877_I0377	248	32	250	869	419	55	1019	1896	0	0
BN877_I0378_locusTag_BN877_I0378	1530	340	537	2329	8025	175	139	672	0	0
BN877_I0379_locusTag_BN877_I0379	5	0	93	333	101	10	161	405	0	0
BN877_I0380_locusTag_BN877_I0380	3	3	81	551	56	2	63	190	0	0
BN877_I0382_locusTag_BN877_I0382	0	1	12	69	0	0	0	27	0	0
BN877_I0383_locusTag_BN877_I0383	20	16	46	127	199	42	165	470	0	0
BN877_I0384_locusTag_BN877_I0384	0	0	243	684	42	36	203	337	0	0
BN877_I0388_locusTag_BN877_I0388	63	9	304	359	217	120	349	808	0	0
BN877_I0389_locusTag_BN877_I0389	23	34	145	502	194	34	362	1262	0	0
BN877_I0390_locusTag_BN877_I0390	0	0	14	13	11	0	0	16	0	0
BN877_I0391_locusTag_BN877_I0391	12	9	78	437	93	30	177	259	0	0
BN877_I0392_locusTag_BN877_I0392	0	0	0	19	0	0	0	0	0	0
BN877_I0393_locusTag_BN877_I0393	0	0	5	9	0	0	0	0	0	0
BN877_I0394_locusTag_BN877_I0394	0	3	19	69	11	1	21	68	0	0
BN877_I0395_locusTag_BN877_I0395	0	0	12	75	0	1	27	38	0	0
BN877_I0396_locusTag_BN877_I0396	0	0	2	33	0	0	0	0	0	0
BN877_I0397_locusTag_BN877_I0397	0	0	0	0	0	0	0	0	0	0
BN877_I0398_locusTag_BN877_I0398	0	0	15	51	0	0	0	4	0	0
BN877_I0399_locusTag_BN877_I0399	0	0	9	46	3	0	28	29	0	0
BN877_I0400_locusTag_BN877_I0400	115	39	229	479	1072	63	776	2118	0	0
BN877_I0401_locusTag_BN877_I0401	25	22	307	1090	309	92	506	991	0	0
BN877_I0402_locusTag_BN877_I0402	11	0	82	368	107	8	109	310	0	0
BN877_I0406_locusTag_BN877_I0406	17	0	81	290	63	22	64	131	0	0
BN877_I0407_locusTag_BN877_I0407	6	0	9	41	0	0	0	56	0	0
BN877_I0408_locusTag_BN877_I0408	0	3	43	55	28	9	52	101	0	0
BN877_I0411_locusTag_BN877_I0411	9	15	205	301	98	17	151	322	0	0
BN877_I0412_locusTag_BN877_I0412	14	0	537	872	50	41	315	964	0	0
BN877_I0413_locusTag_BN877_I0413	0	0	50	273	2	19	55	71	0	0
BN877_I0414_locusTag_BN877_I0414	0	0	0	0	0	0	0	0	0	0
BN877_I0416_locusTag_BN877_I0416	2	8	134	478	0	20	364	900	0	0
BN877_I0417_locusTag_BN877_I0417	16	0	48	125	58	11	36	276	0	0
BN877_I0418_locusTag_BN877_I0418	71	34	245	1361	596	83	504	1778	0	0
BN877_I0419_locusTag_BN877_I0419	0	0	55	209	8	10	0	34	0	0
BN877_I0420_locusTag_BN877_I0420	27	4	52	336	3	37	89	68	0	0
BN877_I0421_locusTag_BN877_I0421	9	0	45	151	102	56	113	249	0	0
BN877_I0422_locusTag_BN877_I0422	0	0	199	449	115	17	295	820	0	0
BN877_I0423_locusTag_BN877_I0423	6	11	79	210	196	29	55	441	0	0
BN877_I0424_locusTag_BN877_I0424	15	10	87	449	45	29	139	309	0	0
BN877_I0425_locusTag_BN877_I0425	32	16	1977	2334	509	113	180	295	0	0
BN877_I0426_locusTag_BN877_I0426	5	0	149	335	62	8	94	271	0	0
BN877_I0427_locusTag_BN877_I0427	2	6	18	150	72	7	69	117	0	0
BN877_I0431_locusTag_BN877_I0431	17	18	587	1805	956	47	1144	2122	0	0
BN877_I0434_locusTag_BN877_I0434	0	0	5	28	10	0	0	7	0	0
BN877_I0439_locusTag_BN877_I0439	14	0	91	183	99	11	0	164	0	0
BN877_I0440_locusTag_BN877_I0440	8	26	237	1199	248	121	912	2007	0	0
BN877_I0441_locusTag_BN877_I0441	1	0	24	99	8	54	52	253	0	0
BN877_I0442_locusTag_BN877_I0442	18	0	158	404	173	21	340	730	0	0
BN877_I0443_locusTag_BN877_I0443	4	0	13	14	16	0	11	111	0	0
BN877_I0444_locusTag_BN877_I0444	0	0	5	42	0	0	5	0	0	0
BN877_I0445_locusTag_BN877_I0445	0	0	0	0	0	0	0	0	0	0
BN877_I0446_locusTag_BN877_I0446	0	0	9	24	7	0	25	10	0	0
BN877_I0447_locusTag_BN877_I0447	57	22	276	431	405	54	746	1609	0	0
BN877_I0448_locusTag_BN877_I0448	0	0	9	28	15	11	51	56	0	0
BN877_I0449_locusTag_BN877_I0449	0	0	15	32	24	0	37	49	0	0
BN877_I0450_locusTag_BN877_I0450	0	0	5	43	14	0	20	18	0	0
BN877_I0451_locusTag_BN877_I0451	0	0	0	25	0	0	2	32	0	0
BN877_I0452_locusTag_BN877_I0452	0	0	55	84	75	19	21	163	0	0
BN877_I0454_locusTag_BN877_I0454	5	11	42	72	213	39	214	740	0	0
BN877_I0455_locusTag_BN877_I0455	2	0	24	95	30	2	42	95	0	0
BN877_I0456_locusTag_BN877_I0456	17	1	112	282	199	61	257	741	0	0
BN877_I0457_locusTag_BN877_I0457	44	0	171	229	36	28	270	288	0	0
BN877_I0458_locusTag_BN877_I0458	0	0	0	0	0	0	0	0	0	0
BN877_I0459_locusTag_BN877_I0459	22	20	63	360	49	20	322	417	0	0
BN877_I0460_locusTag_BN877_I0460	20	0	63	78	30	19	34	108	0	0
BN877_I0461_locusTag_BN877_I0461	58	3	277	687	537	85	571	1101	0	0
BN877_I0463_locusTag_BN877_I0463	0	4	75	155	48	16	54	130	0	0
BN877_I0465_locusTag_BN877_I0465	0	0	191	578	61	3	65	338	0	0
BN877_I0466_locusTag_BN877_I0466	2	4	98	195	37	0	55	313	0	0
BN877_I0467_locusTag_BN877_I0467	0	5	40	169	9	4	43	97	0	0
BN877_I0468_locusTag_BN877_I0468	180	45	398	1344	226	191	106	79	0	0
BN877_I0469_locusTag_BN877_I0469	48	28	68	429	60	26	83	166	0	0
BN877_I0470_locusTag_BN877_I0470	14	0	12	145	14	4	0	41	0	0
BN877_I0471_locusTag_BN877_I0471	11	15	94	302	83	0	0	68	0	0
BN877_I0472_locusTag_BN877_I0472	19	10	509	1516	282	55	224	454	0	0
BN877_I0473_locusTag_BN877_I0473	17	5	121	389	134	23	309	717	0	0
BN877_I0474_locusTag_BN877_I0474	61	27	170	608	539	54	310	1601	0	0
BN877_I0475_locusTag_BN877_I0475	0	1	26	73	42	9	137	171	0	0
BN877_I0476_locusTag_BN877_I0476	26	3	124	342	59	38	480	555	0	0
BN877_I0477_locusTag_BN877_I0477	66	13	307	693	301	48	1395	3198	0	0
BN877_I0478_locusTag_BN877_I0478	45	56	345	383	746	222	765	2644	0	0
BN877_I0479_locusTag_BN877_I0479	53	44	622	486	610	55	167	654	0	0
BN877_I0481_locusTag_BN877_I0481	0	18	48	141	22	9	12	122	0	0
BN877_I0482_locusTag_BN877_I0482	1	0	7	16	7	0	1	17	0	0
BN877_I0483_locusTag_BN877_I0483	4	6	215	641	204	35	486	1051	0	0
BN877_I0490_locusTag_BN877_I0490	10	14	142	188	140	27	244	538	0	0
BN877_I0499_locusTag_BN877_I0499	2	0	112	154	15	5	102	144	0	0
BN877_I0501_locusTag_BN877_I0501	34	16	194	353	336	52	512	1675	0	0
BN877_I0502_locusTag_BN877_I0502	55	43	93	235	230	12	375	728	0	0
BN877_I0503_locusTag_BN877_I0503	239	20	427	727	334	92	313	879	0	0
BN877_I0504_locusTag_BN877_I0504	10	10	20	134	36	6	104	224	0	0
BN877_I0506_locusTag_BN877_I0506	8	18	98	250	118	50	244	551	0	0
BN877_I0508_locusTag_BN877_I0508	0	0	56	204	9	9	8	53	0	0
BN877_I0509_locusTag_BN877_I0509	0	0	66	260	28	1	29	90	0	0
BN877_I0510_locusTag_BN877_I0510	11	11	376	1610	238	77	325	818	0	0
BN877_I0512_locusTag_BN877_I0512	0	0	64	193	47	15	9	67	0	0
BN877_I0513_locusTag_BN877_I0513	0	0	36	24	23	0	0	51	0	0
BN877_I0515_locusTag_BN877_I0515	20	24	711	1699	437	140	202	346	0	0
BN877_I0517_locusTag_BN877_I0517	7	5	49	124	92	0	53	191	0	0
BN877_I0520_locusTag_BN877_I0520	127	10	22	32	18	8	3	27	0	0
BN877_I0532_locusTag_BN877_I0532	2	0	43	78	13	5	65	177	0	0
BN877_I0535_locusTag_BN877_I0535	0	2	20	39	12	6	117	278	0	0
BN877_I0541_locusTag_BN877_I0541	0	0	15	54	0	2	103	36	0	0
BN877_I0543_locusTag_BN877_I0543	0	0	65	96	71	40	320	661	0	0
BN877_I0547_locusTag_BN877_I0547	0	0	34	32	3	7	125	274	0	0
BN877_I0558_locusTag_BN877_I0558	0	0	12	6	8	0	10	143	0	0
BN877_I0559_locusTag_BN877_I0559	4	0	36	113	22	26	247	442	0	0
BN877_I0560_locusTag_BN877_I0560	0	0	36	39	36	15	62	91	0	0
BN877_I0561_locusTag_BN877_I0561	0	0	38	82	28	15	192	294	0	0
BN877_I0562_locusTag_BN877_I0562	147	9	334	1718	354	53	167	359	0	0
BN877_I0563_locusTag_BN877_I0563	60	1	238	943	236	75	798	1126	0	0
BN877_I0570_locusTag_BN877_I0570	0	7	182	245	34	23	51	351	0	0
