gene_name	N8	N9
PST_0378	75	152
PST_0379	4	22
PST_0380	12	38
PST_0381	84	61
PST_0382	4	20
PST_0383	45	93
PST_0384	60	294
PST_0385	28	203
PST_0386	331	1630
PST_0387	189	681
PST_0391	41	203
PST_0392	194	90
PST_0393	129	60
PST_0395	49	334
PST_0396	99	169
PST_0397	0	3
PST_0399	236	1101
PST_0400	106	290
PST_0401	66	198
PST_0402	48	155
PST_0403	1639	7798
PST_0406	11	40
PST_0407	57	220
PST_0408	150	723
PST_0409	868	2478
PST_0411	51	136
PST_0412	107	609
PST_0415	268	689
PST_0416	17	81
PST_0417	0	14
PST_0418	0	2
PST_0419	0	31
PST_0420	40	74
PST_0421	122	292
PST_0422	910	3623
PST_0423	77	742
PST_0424	404	156
PST_0425	251	827
PST_0429	33	179
PST_0435	181	797
PST_0436	463	2198
PST_0440	20	140
PST_0441	3	35
PST_0443	16	27
PST_0444	20	20
PST_0445	189	557
PST_0446	566	613
PST_0447	481	1317
PST_0448	139	372
PST_0449	14	22
PST_0450	666	2678
PST_0451	70	264
PST_0452	660	2000
PST_0453	47	39
PST_0454	57	81
PST_0455	28	60
PST_0456	185	191
PST_0457	142	85
PST_0458	160	344
PST_0462	162	655
PST_0464	180	787
PST_0467	580	2579
PST_0468	362	1280
PST_0470	552	563
PST_0474	12	108
PST_0475	77	343
PST_0477	145	853
PST_0478	463	1850
PST_0479	385	1533
PST_0480	213	139
PST_0481	433	1841
PST_0484	866	3735
PST_0486	380	285
PST_0488	103	2
PST_0489	274	106
PST_0490	398	264
PST_0491	2495	7662
PST_0492	516	2270
PST_0493	102	449
PST_0495	12	229
PST_0496	16	142
PST_0498	434	1169
PST_0499	247	385
PST_0500	40	255
PST_0501	149	567
PST_0505	247	917
PST_0506	42	237
PST_0507	43	87
PST_0509	153	390
PST_0515	12	31
PST_0517	2387	5148
PST_0518	293	921
PST_0519	135	60
PST_0520	2	19
PST_0522	256	2316
PST_0532	205	906
PST_0533	33	242
PST_0534	33	343
PST_0535	29	97
PST_0536	16	29
PST_0537	149	438
PST_0538	57	95
PST_0544	53	539
PST_0545	92	202
PST_0546	50	147
PST_0552	0	0
PST_0560	512	1595
PST_0564	80	356
PST_0565	809	593
PST_0566	364	128
PST_0569	318	928
PST_0570	228	720
PST_0571	74	726
PST_0572	446	2639
PST_0573	3	82
PST_0574	155	737
PST_0575	117	414
PST_0576	76	92
PST_0577	83	370
PST_0578	2249	16271
PST_0579	245	3523
PST_0580	187	1242
PST_0581	16	62
PST_0582	540	1947
PST_0583	1401	4738
PST_0584	113	567
PST_0585	16	175
PST_0586	76	386
PST_0587	185	1292
PST_0588	327	2284
PST_0589	92	246
PST_0590	6	56
PST_0591	616	1627
PST_0592	373	483
PST_0593	291	352
PST_0594	82	137
PST_0595	197	641
PST_0596	640	983
PST_0597	149	513
PST_0598	0	0
PST_0599	11	46
PST_0600	50	194
PST_0601	611	1501
PST_0602	224	1052
PST_0603	0	0
PST_0605	50	41
PST_0606	43	110
PST_0607	24	34
PST_0608	4	35
PST_0609	30	68
PST_0610	96	213
PST_0611	34	98
PST_0612	24	300
PST_0613	198	551
PST_0614	135	365
PST_0615	64	423
PST_0616	45	159
PST_0617	219	715
PST_0618	191	695
PST_0619	6	13
PST_0620	163	308
PST_0621	7	87
PST_0622	9	11
PST_0623	27	161
PST_0624	9	31
PST_0625	73	265
PST_0626	165	970
PST_0627	50	155
PST_0628	91	404
PST_0629	92	405
PST_0630	0	56
PST_0631	43	282
PST_0632	80	343
PST_0633	27	82
PST_0634	25	196
PST_0636	0	0
PST_0637	0	10
PST_0638	113	826
PST_0639	187	636
PST_0640	75	623
PST_0641	145	530
PST_0642	0	21
PST_0643	0	8
PST_0644	0	0
PST_0645	0	0
PST_0646	46	115
PST_0647	234	612
PST_0648	0	3
PST_0649	0	0
PST_0650	400	1744
PST_0651	580	1941
PST_0652	51	213
PST_0653	13	106
PST_0654	0	0
PST_0655	0	6
PST_0656	273	1420
PST_0657	1722	7296
PST_0658	0	6
PST_0659	197	912
PST_0660	139	539
PST_0661	615	3500
PST_0662	131	569
PST_0665	79	315
PST_0666	155	376
PST_0667	14623	28485
PST_0668	0	0
PST_0669	82	171
PST_0670	18	175
PST_0671	652	3421
PST_0672	122	350
PST_0673	51	222
PST_0678	27	95
PST_0679	59	368
PST_0680	28	235
PST_0681	213	946
PST_0682	158	666
PST_0688	40	110
PST_0691	707	1201
PST_0694	197	831
PST_0695	58	442
PST_0696	74	400
PST_0697	39	402
PST_0698	156	620
PST_0699	188	628
PST_0700	0	0
PST_0701	35	133
PST_0702	4	92
PST_0703	179	977
PST_0704	0	3
PST_0705	159	599
PST_0706	346	1136
PST_0707	256	986
PST_0708	287	819
PST_0709	29	89
PST_0710	0	21
PST_0711	0	0
PST_0716	148	341
PST_0721	2957	12566
PST_0730	287	1285
PST_0731	57	366
PST_0733	150	219
PST_0734	69	341
PST_0736	12	24
PST_0737	38	66
PST_0738	41	60
PST_0739	34	45
PST_0748	7	90
PST_0749	1220	7589
PST_0750	926	2798
PST_0751	842	2725
PST_0752	136	375
PST_0754	249	605
PST_0755	333	944
PST_0757	4163	14969
PST_0759	17	142
PST_0760	0	0
PST_0761	0	0
PST_0762	1420	3932
PST_0762a	7	26
PST_0765	705	2750
PST_0766	58	805
PST_0767	1	235
PST_0768	8	177
PST_0770	8	25
PST_0813	281	1778
PST_0815	59	180
PST_0816	53	175
PST_0818	351	1360
PST_0819	71	384
PST_0823	96	99
PST_0824	104	390
PST_0825	108	221
PST_0826	218	166
PST_0827	702	318
PST_0828	230	1481
PST_0830	97	296
PST_0831	5	22
PST_0833	132	450
PST_0834	73	238
PST_0841	32	86
PST_0842	27	164
PST_0845	105	240
PST_0846	269	1165
PST_0849	114	365
PST_0850	65	385
PST_0851	125	321
PST_0852	64	309
PST_0853	119	312
PST_0854	122	75
PST_0855	60	158
PST_0856	564	226
PST_0857	61	141
PST_0858	161	47
PST_0859	681	3373
PST_0860	2348	6038
PST_0861	57	167
PST_0862	23	70
PST_0863	22	13
PST_0864	177	507
PST_0865	21	145
PST_0866	4711	1850
PST_0868	39	74
PST_0870	66	68
PST_0871	38	18
PST_0872	23	82
PST_0873	42	182
PST_0875	1324	449
PST_0876	246	686
PST_0877	69	130
PST_0878	245	364
PST_0879	3	24
PST_0880	63	217
PST_0881	33	187
PST_0882	32	221
PST_0883	678	817
PST_0885	50	129
PST_0886	290	709
PST_0887	539	1295
PST_0888	1770	802
PST_0890	44	79
PST_0894	84	1201
PST_0900	271	4861
PST_0904	98	116
PST_0905	35	100
PST_0906	26	83
PST_0907	0	0
PST_0908	0	6
PST_0909	12	0
PST_0910	0	33
PST_0911	2	37
PST_0912	275	1929
PST_0915	475	2257
PST_0916	152	486
PST_0917	53	92
PST_0918	149	222
PST_0920	114	369
PST_0921	91	143
PST_0922	56	140
PST_0923	0	1
PST_0924	74	41
PST_0925	136	125
PST_0926	292	272
PST_0927	125	67
PST_0928	135	91
PST_0929	104	73
PST_0930	6	19
PST_0931	0	17
PST_0932	76	135
PST_0933	230	498
PST_0935	78	262
PST_0936	106	243
PST_0937	310	523
PST_0938	369	1422
PST_0939	441	1283
PST_0941	916	1057
PST_0942	411	1372
PST_0944	382	868
PST_0945	2414	2013
PST_0948	604	2797
PST_0949	2232	2071
PST_0950	342	735
PST_0951	65	120
PST_0952	52	174
PST_0954	7	51
PST_0962	126	350
PST_0976	377	1762
PST_0977	148	537
PST_0979	241	947
PST_0981	232	63
PST_0982	139	148
PST_0983	173	612
PST_0984	261	440
PST_0985	286	306
PST_0986	277	642
PST_0991	672	374
PST_0992	16	108
PST_0994	539	1442
PST_0995	42	60
PST_0996	41	101
PST_0997	34	95
PST_0998	0	50
PST_0999	0	22
PST_1000	0	59
PST_1001	186	529
PST_1002	522	712
PST_1003	768	2863
PST_1004	708	3187
PST_1005	109	902
PST_1006	6	40
PST_1007	14	16
PST_1008	50	106
PST_1009	222	884
PST_1010	130	205
PST_1011	154	62
PST_1018	316	1265
PST_1021	263	849
PST_1022	58	96
PST_1023	749	3217
PST_1024	269	2150
PST_1025	253	682
PST_1028	259	2013
PST_1032	170	672
PST_1033	297	1087
PST_1034	79	535
PST_1035	97	411
PST_1036	393	1003
PST_1042	27	100
PST_1049	304	1322
PST_1052	76	165
PST_1053	116	591
PST_1054	226	823
PST_1059	50	123
PST_1060	910	710
PST_1068	233	687
PST_1070	184	566
PST_1071	428	1452
PST_1072	359	1774
PST_1073	170	4217
PST_1089	0	9
PST_1090	1008	675
PST_1091	730	284
PST_1093	542	2108
PST_1094	149	240
PST_1095	189	1009
PST_1096	149	63
PST_1097	64	47
PST_1098	93	327
PST_1099	19	81
PST_1100	105	176
PST_1101	140	1411
PST_1103	6	11
PST_1104	259	581
PST_1105	286	1434
PST_1106	58	303
PST_1107	340	1420
PST_1108	330	663
PST_1109	18	163
PST_1110	21	245
PST_1111	273	1528
PST_1113	531	1498
PST_1114	25	91
PST_1115	29	132
PST_1118	199	594
PST_1120	218	310
PST_1121	68	108
PST_1122	217	887
PST_1123	2376	1883
PST_1124	1298	1345
PST_1125	90	259
PST_1127	150	1803
PST_1129	391	780
PST_1130	3	45
PST_1131	38	210
PST_1133	165	738
PST_1134	126	343
PST_1136	132	499
PST_1137	1612	2961
PST_1138	41	209
PST_1139	3	35
PST_1140	198	591
PST_1141	0	10
PST_1142	4	0
PST_1143	198	379
PST_1144	312	467
PST_1145	103	478
PST_1146	94	271
PST_1147	207	969
PST_1148	403	1063
PST_1149	169	106
PST_1151	49	251
PST_1152	94	308
PST_1153	274	933
PST_1154	23	65
PST_1155	8	85
PST_1156	41	384
PST_1157	22	62
PST_1158	16	104
PST_1159	92	415
PST_1162	88	636
PST_1163	10	41
PST_1164	110	225
PST_1166	76	277
PST_1167	533	2129
PST_1168	418	1883
PST_1170	30	244
PST_1171	216	470
PST_1172	1864	4747
PST_1176	1372	2813
PST_1178	100	194
PST_1179	1387	5090
PST_1181	26	63
PST_1182	202	874
PST_1183	296	435
PST_1184	754	2765
PST_1185	224	2126
PST_1186	28	45
PST_1188	284	416
PST_1189	807	1281
PST_1197	67	115
PST_1202	720	1051
PST_1205	164	420
PST_1207	35	39
PST_1208	2	24
PST_1209	136	541
PST_1210	112	366
PST_1211	33	128
PST_1212	57	409
PST_1213	359	1921
PST_1214	484	2985
PST_1215	509	1229
PST_1217	1488	272
PST_1218	173	617
PST_1219	294	977
PST_1220	92	250
PST_1221	81	261
PST_1230	87	300
PST_1235	9	87
PST_1236	130	346
PST_1237	19	129
PST_1238	26	183
PST_1239	168	238
PST_1241	85	272
PST_1244	457	149
PST_1245	97	187
PST_1247	762	236
PST_1252	37	84
PST_1260	23	179
PST_1261	38	173
PST_1263	114	508
PST_1264	4239	33207
PST_1271	193	305
PST_1272	164	258
PST_1273	951	202
PST_1274	101	222
PST_1275	359	791
PST_1276	1033	1331
PST_1278	198	1550
PST_1279	2107	9551
PST_1280	4442	22820
PST_1283	1152	11299
PST_1284	0	0
PST_1285	738	3915
PST_1286	491	1511
PST_1287	152	616
PST_1288	162	175
PST_1289	205	1412
PST_1290	76	224
PST_1293	27	54
PST_1294	11	67
PST_1302	586	26
PST_1303	1392	17
PST_1307	627	1294
PST_1308	21	57
PST_1309	54	172
PST_1310	72	158
PST_1324	2753	56
PST_1325	3055	32
PST_1332	541	56
PST_1336	2396	5
PST_1337	721	0
PST_1338	616	0
PST_1339	578	3
PST_1340	364	11
PST_1341	78	4
PST_1342	610	18
PST_1343	372	21
PST_1344	923	15
PST_1348	339	347
PST_1354	474	15
PST_1360	1407	547
PST_1361	231	459
PST_1362	161	443
PST_1365	2694	9808
PST_1366	196	836
PST_1367	189	544
PST_1368	134	292
PST_1372	130	1136
PST_1373	92	1026
PST_1374	3	102
PST_1375	86	357
PST_1377	111	626
PST_1378	46	117
PST_1380	6111	1618
PST_1381	108	264
PST_1382	498	1001
PST_1383	313	1097
PST_1399	272	636
PST_1401	339	1439
PST_1402	1152	5114
PST_1403	35	112
PST_1405	1386	6165
PST_1406	3556	9295
PST_1407	239	899
PST_1408	253	233
PST_1409	151	273
PST_1410	32	152
PST_1411	208	416
PST_1412	44	53
PST_1415	81	135
PST_1416	82	215
PST_1417	48	154
PST_1418	153	221
PST_1419	10	24
PST_1420	29	123
PST_1421	136	569
PST_1427	163	857
PST_1428	216	819
PST_1429	1027	2774
PST_1430	27	188
PST_1431	105	2603
PST_1432	215	3409
PST_1433	67	285
PST_1434	42	219
PST_1435	9	178
PST_1436	68	423
PST_1437	585	1442
PST_1438	283	94
PST_1439	960	688
PST_1441	56	179
PST_1442	488	296
PST_1443	529	218
PST_1444	785	451
PST_1445	144	135
PST_1446	300	104
PST_1447	412	1459
PST_1448	336	49
PST_1449	185	166
PST_1450	377	1192
PST_1451	285	804
PST_1452	159	434
PST_1453	1273	1898
PST_1454	284	253
PST_1455	578	942
PST_1456	169	759
PST_1457	319	275
PST_1458	244	334
PST_1459	165	924
PST_1460	1102	337
PST_1461	524	114
PST_1462	889	450
PST_1463	0	12
PST_1464	77	118
PST_1465	14	8
PST_1466	39	227
PST_1468	49	261
PST_1469	107	334
PST_1470	2	24
PST_1472	5	72
PST_1473	6	209
PST_1474	50	68
PST_1475	12	29
PST_1476	8	46
PST_1477	0	0
PST_1478	0	0
PST_1479	53	218
PST_1480	465	1328
PST_1481	182	1106
PST_1482	63	215
PST_1483	20	157
PST_1484	91	159
PST_1485	12	25
PST_1486	16	25
PST_1487	0	0
PST_1488	24	91
PST_1489	411	1304
PST_1490	3	7
PST_1491	12	99
PST_1492	58	114
PST_1495	10	56
PST_1497	610	1126
PST_1498	2960	764
PST_1499	609	571
PST_1500	688	338
PST_1501	176	138
PST_1502	158	99
PST_1503	14153	5550
PST_1506	21	203
PST_1507	50	294
PST_1510	1345	3727
PST_1511	3119	9199
PST_1512	3644	10087
PST_1513	865	264
PST_1514	55	473
PST_1515	117	302
PST_1516	1006	4526
PST_1517	160	798
PST_1519	129	474
PST_1520	213	419
PST_1521	17603	57481
PST_1522	115	237
PST_1525	804	2264
PST_1527	41	643
PST_1528	3252	11849
PST_1529	413	1701
PST_1530	0	7
PST_1531	41	112
PST_1532	1	24
PST_1533	7	11
PST_1534	41	187
PST_1544	1552	9822
PST_1545	429	2686
PST_1554	55	201
PST_1558	194	546
PST_1560	1579	329
PST_1561	263	99
PST_1562	25	178
PST_1564	204	367
PST_1570	478	549
PST_1573	578	365
PST_1574	198	263
PST_1575	144	579
PST_1576	135	395
PST_1577	170	165
PST_1578	102	61
PST_1579	32	190
PST_1580	10498	40906
PST_1581	255	690
PST_1582	154	614
PST_1583	0	30
PST_1584	167	406
PST_1585	12286	21778
PST_1586	39	131
PST_1587	56	82
PST_1589	293	132
PST_1590	128	159
PST_1591	317	150
PST_1592	311	184
PST_1593	137	211
PST_1594	425	980
PST_1595	4431	9188
PST_1596	1086	1807
PST_1597	361	3076
PST_1598	349	370
PST_1599	31	58
PST_1600	19	55
PST_1605	34	85
PST_1606	141	460
PST_1607	12	33
PST_1608	78	90
PST_1609	282	131
PST_1610	79	221
PST_1611	0	21
PST_1612	104	307
PST_1613	44	207
PST_1614	87	334
PST_1615	7	41
PST_1616	97	86
PST_1617	80	265
PST_1618	97	106
PST_1619	26	80
PST_1620	6	0
PST_1622	104	470
PST_1623	37	108
PST_1624	65	393
PST_1625	88	140
PST_1626	0	34
PST_1627	53	163
PST_1628	141	844
PST_1630	36	221
PST_1631	110	246
PST_1632	7	55
PST_1633	458	481
PST_1634	23	95
PST_1635	20	61
PST_1638	236	480
PST_1639	3	142
PST_1641	196	111
PST_1642	205	317
PST_1643	202	134
PST_1644	327	445
PST_1645	139	304
PST_1646	31	874
PST_1647	397	1636
PST_1648	139	357
PST_1650	167	664
PST_1652	170	171
PST_1653	61	106
PST_1655	308	2164
PST_1657	186	340
PST_1658	1894	5178
PST_1659	631	701
PST_1661	87	700
PST_1662	4	42
PST_1663	0	1
PST_1664	43	40
PST_1665	51	97
PST_1677	93	490
PST_1678	0	0
PST_1679	0	0
PST_1680	5720	22566
PST_1680a	0	0
PST_1681	802	979
PST_1684	1339	3228
PST_1685	103	475
PST_1686	21	198
PST_1687	66	738
PST_1688	141	340
PST_1689	89	43
PST_1690	36	112
PST_1691	207	1144
PST_1692	84	84
PST_1693	29	62
PST_1694	13	43
PST_1695	0	9
PST_1696	9	15
PST_1697	29	31
PST_1698	3	11
PST_1699	14	53
PST_1700	22	46
PST_1701	88	357
PST_1702	0	54
PST_1703	0	6
PST_1704	761	2330
PST_1705	428	2676
PST_1706	95	260
PST_1707	27	48
PST_1708	24	54
PST_1709	97	382
PST_1710	104	181
PST_1713	704	99
PST_1714	1891	212
PST_1715	3913	199
PST_1717	107	218
PST_1718	80	179
PST_1719	5	3
PST_1720	47	217
PST_1721	112	86
PST_1724	361	216
PST_1725	180	212
PST_1728	132	485
PST_1730	375	553
PST_1731	36	150
PST_1732	351	2410
PST_1733	324	655
PST_1736	106	1041
PST_1738	64	623
PST_1739	250	876
PST_1740	130	690
PST_1741	274	753
PST_1742	79	351
PST_1743	336	1035
PST_1744	159	210
PST_1748	23	4
PST_1749	4	7
PST_1750	14	5
PST_1751	10	36
PST_1752	4	49
PST_1753	4	12
PST_1754	10	40
PST_1755	8	42
PST_1756	26	45
PST_1757	105	389
PST_1758	140	671
PST_1759	20	25
PST_1760	18	37
PST_1761	5	21
PST_1762	2	88
PST_1763	71	789
PST_1764	42	333
PST_1765	204	119
PST_1766	177	170
PST_1767	429	188
PST_1768	302	179
PST_1769	208	862
PST_1771	64	80
PST_1777	1428	8962
PST_1783	271	1197
PST_1788	4	45
PST_1789	3	110
PST_1790	0	0
PST_1792	15	34
PST_1793	12	13
PST_1794	32	46
PST_1795	1	36
PST_1797	16	155
PST_1800	219	142
PST_1801	14	217
PST_1802	26	39
PST_1803	194	860
PST_1804	2698	199
PST_1805	86	685
PST_1806	236	787
PST_1810	9	47
PST_1811	74	297
PST_1813	72	392
PST_1814	355	1434
PST_1815	40	189
PST_1816	186	915
PST_1817	101	331
PST_1819	439	1436
PST_1821	184	682
PST_1823	300	1539
PST_1824	4	172
PST_1825	23	115
PST_1826	15	67
PST_1827	96	454
PST_1830	12909	16888
PST_1832	252	945
PST_1834	316	1131
PST_1835	438	872
PST_1836	4966	9898
PST_1837	1090	1953
PST_1839	37	159
PST_1841	4796	9633
PST_1842	2016	3588
PST_1844	237	946
PST_1847	55	300
PST_1848	64	245
PST_1849	127	98
PST_1850	170	139
PST_1851	335	347
PST_1852	72	41
PST_1853	139	228
PST_1855	883	1281
PST_1858	1049	3830
PST_1859	15	44
PST_1860	4	53
PST_1861	92	601
PST_1862	102	407
PST_1863	1048	4051
PST_1864	70	296
PST_1865	12	54
PST_1868	114	612
PST_1869	80	209
PST_1881	227	662
PST_1882	124	257
PST_1883	79	274
PST_1884	31	170
PST_1886	131	247
PST_1887	381	338
PST_1888	45	131
PST_1889	182	482
PST_1890	1707	10022
PST_1891	244	628
PST_1895	313	1022
PST_1897	228	623
PST_1898	147	619
PST_1899	17	268
PST_1900	362	872
PST_1901	102	603
PST_1902	367	845
PST_1904	145	440
PST_1905	178	116
PST_1906	10	9
PST_1907	96	364
PST_1908	21	69
PST_1909	18	141
PST_1910	69	324
PST_1911	699	723
PST_1912	1193	2547
PST_1913	456	1968
PST_1914	104	595
PST_1915	1113	529
PST_1917	565	276
PST_1919	15	79
PST_1920	2407	20459
PST_1921	179	505
PST_1923	28	215
PST_1927	227	251
PST_1928	24	73
PST_1929	1353	7495
PST_1930	237	268
PST_1931	448	2783
PST_1932	84	152
PST_1933	103	120
PST_1934	635	503
PST_1935	344	683
PST_1936	218	654
PST_1937	8	78
PST_1938	65	361
PST_1939	88	85
PST_1940	53	90
PST_1941	56	165
PST_1942	0	15
PST_1943	6	44
PST_1944	41	164
PST_1945	123	490
PST_1950	129	483
PST_1951	108	593
PST_1952	3	29
PST_1953	52	105
PST_1954	204	13
PST_1955	1968	42
PST_1956	71	40
PST_1957	4424	6392
PST_1958	67	194
PST_1959	19	81
PST_1960	0	0
PST_1961	2	31
PST_1962	12	80
PST_1963	0	7
PST_1966	273	297
PST_1967	387	1556
PST_1969	128	962
PST_1970	307	683
PST_1971	8	33
PST_1972	10	9
PST_1973	15	43
PST_1976	74	202
PST_1977	678	2364
PST_1979	31	95
PST_1980	4	66
PST_1981	37	139
PST_1982	86	85
PST_1983	32	46
PST_1984	80	168
PST_1985	121	270
PST_1986	199	314
PST_1987	15	87
PST_1988	1847	4505
PST_1989	21	97
PST_1990	19	78
PST_1992	1486	236
PST_1993	1874	47
PST_1994	266	148
PST_1995	128	0
PST_1996	170	25
PST_1997	236	0
PST_1998	106	7
PST_1999	90	7
PST_2000	147	12
PST_2001	81	10
PST_2002	448	23
PST_2003	3872	75
PST_2004	150	30
PST_2005	87	20
PST_2006	203	29
PST_2008	181	12
PST_2009	122	0
PST_2010	111	19
PST_2011	1273	0
PST_2012	193	539
PST_2014	89	860
PST_2018	96	193
PST_2019	34	289
PST_2021	1103	4371
PST_2023	661	1419
PST_2030	254	195
PST_2031	381	415
PST_2032	183	919
PST_2033	276	1392
PST_2036	283	1189
PST_2037	146	607
PST_2038	524	1600
PST_2047	26	172
PST_2048	9267	19767
PST_2049	383	1235
PST_2055	66	569
PST_2056	56	1666
PST_2057	5	141
PST_2058	40	101
PST_2059	67	241
PST_2066	26	44
PST_2067	0	19
PST_2068	26	36
PST_2069	6	0
PST_2070	19	0
PST_2071	53	146
PST_2075	72	512
PST_2076	138	422
PST_2077	137	602
PST_2078	62	230
PST_2079	58	169
PST_2080	51	37
PST_2081	10	13
PST_2082	11	40
PST_2083	55	195
PST_2084	104	87
PST_2088	18	103
PST_2089	1267	3676
PST_2090	4	47
PST_2091	511	1590
PST_2092	520	2001
PST_2093	3395	7437
PST_2094	98	122
PST_2095	33	216
PST_2098	20	1
PST_2099	0	7
PST_2100	37	283
PST_2101	83	148
PST_2102	27	69
PST_2103	2	17
PST_2104	39	139
PST_2105	84	366
PST_2106	0	49
PST_2107	57	192
PST_2108	30	245
PST_2109	1198	3288
PST_2110	1736	8445
PST_2112	186	72
PST_2114	1125	2356
PST_2115	9	106
PST_2116	65	266
PST_2117	80	358
PST_2118	41	70
PST_2120	41	159
PST_2121	0	0
PST_2122	16	20
PST_2123	0	28
PST_2124	0	9
PST_2125	18	78
