gene	length
PST_1989	90
PST_3618	3045
PST_3619	1467
PST_3925	1002
era	918
PST_3922	114
PST_1294	801
holC	420
PST_1293	579
PST_1290	570
PST_3923	882
PST_1969	2661
mnmC	1983
mnmA	1128
PST_1960	816
PST_1961	1248
PST_1962	768
PST_1963	429
PST_1966	1011
PST_1967	903
glgX	2151
PST_3502	1428
gatA	1467
gatB	1446
gatC	288
PST_4066	1002
PST_4065	1617
PST_4060	606
PST_3720	1269
PST_3721	1572
PST_3722	1080
hom	1296
PST_3724	699
PST_3725	3549
eno	1365
agmR	666
PST_3767	453
mpl	1458
PST_2055	77
PST_2057	85
PST_2056	76
PST_3734	873
PST_0962	1548
PST_2059	762
PST_2058	708
strU	1188
amiB	1428
PST_3265	264
PST_3264	789
PST_3267	885
PST_3266	885
PST_3261	669
PST_3260	327
PST_3263	1644
PST_4028	513
PST_3463	2484
PST_3462	1167
PST_3461	2220
carA	1149
PST_3467	150
PST_3466	165
PST_3465	405
PST_3464	654
PST_3469	378
PST_3468	183
hslO	804
malK-2	1116
hslR	399
hslV	537
hslU	1344
engA	1500
engB	684
PST_1432	1656
PST_1433	810
PST_0819	1347
PST_0818	786
PST_1436	228
PST_1437	2745
PST_1434	1158
PST_1435	429
PST_0813	1368
PST_1438	1206
PST_1439	1740
PST_0816	930
PST_0815	639
fadB	2148
fadA	1176
PST_2386	345
fadE	2445
coaBC	1209
creA	465
PST_3434	213
alkK-1	1692
PST_2187	1374
fis	321
PST_2185	636
PST_2184	1821
PST_2183	3681
gmhA	531
rnfH	261
pqqC	660
rnfG	687
rnfD	1101
rnfE	720
rnfB	525
rnfC	1464
rnfA	573
PST_3597	1083
PST_3596	711
PST_3595	375
PST_3594	1182
PST_3593	1113
PST_3592	900
PST_3591	459
PST_3590	471
gpmA	1548
ompH	540
gcdH	1182
PST_3598	747
PST_4144	1836
PST_2067	504
ureC	1782
gcvT	1083
PST_0621	483
PST_1507	642
PST_1502	993
PST_1503	192
PST_1500	1095
PST_1501	762
PST_2235	216
PST_2234	531
pgi	1665
PST_2231	1029
PST_2230	1041
PST_2233	450
PST_2232	1311
mtnA	1356
PST_3395	1704
ftsE	669
arsR-2	357
ftsA	1248
PST_3394	1659
PST_3047	588
ftsL	291
ftsK	2577
ftsJ	636
ftsI	1728
ftsH	1782
ftsW	1224
PST_1586	609
PST_3288	1236
ftsQ	858
PST_1587	189
PST_3283	948
PST_3282	1251
PST_3281	2844
ftsZ	1182
PST_3285	900
PST_3284	732
PST_0585	1362
PST_0584	1035
PST_0587	2049
PST_0586	1935
PST_0581	756
PST_0580	1515
PST_0583	2496
PST_0582	2439
PST_1582	699
PST_3392	192
PST_0589	924
PST_0588	468
PST_2533	678
PST_3254	1008
PST_1618	2097
PST_1619	648
PST_1580	345
ksgA	795
PST_1612	471
PST_1613	1407
PST_0749	603
PST_0748	669
PST_1616	402
PST_1617	837
PST_1614	2124
PST_1615	1035
ligD	2556
PST_2520	1221
PST_2523	1749
PST_2522	864
PST_2525	381
ligA	2409
PST_2527	435
PST_2526	420
PST_2529	291
PST_2528	318
cumB	438
cumA	1371
sfsA	618
ligT	522
PST_3133	1983
PST_3135	894
PST_3134	684
PST_3137	1335
PST_3136	573
PST_3139	1077
PST_3138	1419
amtB1	1317
amtB2	1176
pssA	840
prfA	1083
prfC	1584
phoU	645
qor-1	753
sahH	1407
nth	639
PST_2428	561
PST_2429	192
PST_2424	957
PST_2425	342
PST_2421	963
PST_2422	1221
PST_2423	753
etfA	930
etfB	750
PST_3555	420
PST_1768	909
PST_1769	735
PST_1766	426
PST_1767	294
PST_1764	77
PST_1765	77
PST_1762	1179
PST_1763	774
PST_1760	933
PST_1761	1563
cpg2	1302
PST_3639	76
upp	639
mmsA-2	1512
mmsA-1	1503
glyS	2055
glyQ	867
PST_3869	840
PST_3868	975
PST_3867	705
PST_3861	249
PST_3860	1860
PST_3632	495
glyA	1254
PST_0369	480
PST_0368	675
PST_0365	459
PST_0364	1389
PST_0367	342
PST_0366	1269
PST_0361	867
PST_0360	540
PST_0363	1479
PST_0362	498
PST_2730	1419
PST_0656	735
PST_0569	1797
PST_2733	843
PST_2734	561
PST_2735	729
trkA	1374
PST_2737	636
PST_2738	1197
PST_2739	777
PST_0560	1572
PST_0566	291
PST_0565	1458
PST_0564	900
asnB	1773
PST_4155	489
treA	1671
dnaJ	1044
msrA	738
PST_3913	342
PST_3912	474
PST_3911	2256
PST_3910	330
PST_3917	336
PST_3915	381
PST_3914	624
PST_2889	1155
PST_2929	399
PST_1354	540
ipk	855
PST_2886	1686
nifH	882
nifK	1572
PST_2885	1527
nifM	879
nifL	1614
PST_2880	837
nifN	1377
nifA	1566
PST_1197	489
nifB	1344
nifE	1419
nifD	1482
PST_1816	984
nifF	543
nifY	735
nifX	480
nifZ	471
PST_2928	2109
nifQ	558
PST_2756	717
nifS	1209
nifU	951
nifT	222
nifW	348
nifV	1146
xdhB	2397
PST_3092	354
ccmB	672
PST_4105	696
PST_4104	756
PST_4107	903
PST_2736	3072
PST_0178	909
PST_1841	936
PST_4103	960
tolB	1155
PST_0174	2796
PST_0175	1452
PST_0176	219
PST_0177	1299
PST_0170	951
PST_0171	843
PST_0172	1191
PST_1995	879
PST_1994	1023
PST_1997	660
PST_1996	810
PST_3603	363
PST_1990	273
PST_1993	1365
estC	1149
minC	726
minD	651
slyD	486
PST_3609	165
adhC	1125
PST_1280	552
PST_1283	1302
PST_1285	633
PST_1284	105
PST_1287	1254
PST_1286	525
PST_1289	1818
PST_1288	1122
PST_2952	1557
PST_2953	840
iscS	1215
PST_2861	1287
PST_1979	1191
PST_2862	798
PST_1973	522
PST_1972	1236
PST_1971	516
PST_1970	441
PST_1977	948
PST_1976	441
PST_1464	306
PST_4079	414
PST_2925	849
PST_2317a	120
PST_4071	570
PST_4073	606
PST_4072	210
PST_4075	504
epd	1047
PST_4076	1086
PST_3829	681
PST_2940	417
PST_0006	1371
PST_0007	750
PST_0008	579
PST_3732	726
gloB	879
PST_3730	1182
PST_3735	570
PST_2924	426
cheY	375
PST_2945	888
trpI	891
PST_3828	897
norC	441
cheZ	795
yajC	330
acnB	2610
acnA	2676
menG	489
PST_3456	372
sbcB	1434
PST_3454	648
PST_3455	2181
PST_3452	309
PST_3453	387
PST_3450	288
PST_3451	768
priA	2397
PST_2926	570
PST_3458	198
PST_3459	513
ectA	582
ectB	1278
ectC	402
pfpI	540
PST_1427	843
ldh	963
PST_1421	1290
PST_1420	1437
PST_0828	387
PST_0826	708
PST_0827	615
PST_0824	525
PST_0825	1266
PST_1429	1293
PST_0823	1092
aer-2	1569
ttgA	1140
ttgB	3138
nirY	720
czrR-2	732
PST_0952	1536
PST_4008	948
PST_0950	489
PST_0951	306
PST_0954	228
PST_1519	537
dctM	1281
petA	594
PST_2923	1743
petC	780
petB	1212
PST_1511	1518
PST_1510	1092
PST_1513	396
dctD	1395
lsfA	639
dctB	1806
PST_1517	927
PST_1516	579
norB	1425
dctQ	630
dctP	1071
PST_3906	2259
PST_2922	1056
PST_2088	76
PST_2089	246
PST_2084	777
PST_2082	1497
PST_2083	3150
PST_2080	345
PST_2081	1254
PST_4162	267
PST_3387	2355
braC	1119
braB	1320
PST_1609	597
PST_1608	813
PST_0770	76
braD	924
PST_1605	765
PST_1607	777
PST_1606	2361
hisF1	771
PST_1600	1161
PST_3908	1182
PST_3755	2001
PST_2556	1431
PST_2557	333
PST_3708	681
PST_3709	429
PST_2558	441
PST_2559	414
PST_3144	222
PST_3140	1095
PST_3141	1623
PST_3142	1134
ung	621
rimM	537
rimO	1383
PST_3148	708
rimI	453
PST_3754	1860
rimK	906
thrH	618
PST_4168	738
maf-2	591
PST_0489	1623
maf-1	579
PST_0484	549
PST_0486	537
PST_0480	1518
PST_0481	1371
pilY1	3393
PST_2987	807
xseB	342
pilY2	330
putA	3162
PST_2439	918
PST_2438	843
mucC	453
mucB	945
mucA	630
PST_2434	963
PST_2432	1152
PST_2431	546
mucD	1422
PST_1771	873
exsB	726
prc	2298
PST_1777	2745
frr	522
PST_2981	348
PST_2980	768
dnrP	258
PST_1732	237
PST_3857	105
PST_3854	528
gltX	1482
PST_3858	1779
PST_3859	1203
PST_0391	411
exbB2	546
PST_0393	615
PST_0395	1713
PST_0396	1071
PST_0397	591
znuC	690
PST_0399	1395
znuA	993
PST_2623	939
PST_2723	192
PST_2722	699
PST_2249	813
PST_2720	486
PST_2727	780
PST_2729	366
PST_2728	711
PST_0552	1038
hepA	2850
sugE	405
lepA	1800
gltS	1167
gnl	1173
lepB	855
hupA	318
hupB	273
PST_2133	387
PST_4124	954
PST_2938	660
PST_1362	846
PST_2898	750
PST_1360	549
PST_1361	1302
PST_1366	480
PST_1367	1221
dnrS	678
PST_1365	408
PST_1368	1017
PST_2895	1212
PST_2897	981
PST_3929	1026
glnK	339
mqoB	1437
PST_1162	420
PST_1163	1506
PST_1164	525
PST_1166	207
PST_1167	1476
PST_1168	324
PST_2939	420
glnA	1407
glnE	2946
glnD	2703
PST_3752	897
glnS	1668
PST_3835	1053
mexT	843
PST_2205	1245
dadA	1299
cynS	450
glxR	891
PST_3638	77
PST_1497	1506
dadX	1077
PST_0168	837
PST_0167	591
PST_3631	627
PST_3636	159
cspD	282
PST_3634	2259
PST_0160	768
mmsB	849
nirL	513
PST_2949	1677
moeA1	1233
PST_2943	1656
PST_2942	1314
PST_2941	1164
PST_2758	2385
PST_2947	768
topB	1848
topA	2604
PST_2944	1014
rsmC	999
ilvD	1839
PST_3171	2619
PST_1944	2382
PST_1945	1917
PST_1942	1038
PST_1943	915
PST_1940	798
PST_1941	789
PST_3838	699
PST_4005	1791
PST_4006	375
ilvA-2	1515
PST_4000	582
PST_4001	1596
PST_0013	402
PST_0012	888
mexE	1230
PST_0017	858
PST_0016	705
PST_0015	660
PST_0014	840
pgm	1665
PST_3707	594
PST_3702	1785
PST_3703	762
PST_3700	1128
PST_3701	588
sufE	408
PST_3897	525
PST_1380	465
PST_1381	77
PST_1382	747
PST_1383	111
rnk	405
rnc	627
nudE	567
nudC	831
rne	3213
rnd	1206
PST_3449	441
PST_3448	2874
PST_3627	726
PST_3441	6333
PST_3440	2088
PST_3443	675
PST_3442	1674
PST_3445	1908
PST_3444	822
PST_3447	4908
rnt	612
PST_3900	708
fdnH-1	936
PST_3902	1770
fdnH-2	939
PST_3903	519
PST_3904	510
PST_0831	150
PST_0830	1227
PST_0833	1230
PST_0834	396
fruR	990
PST_3907	729
fruK	936
PST_1344	273
fruB	2883
fruA	1740
oadA	1812
PST_4096	2223
PST_1340	498
PST_1341	375
PST_0949	435
PST_0948	2280
PST_2936	708
PST_0945	270
PST_0944	435
PST_0941	462
sixA	369
PST_0942	369
algZ	441
nirH	507
algR	795
algP	858
algQ	462
PST_1560	1167
algW	1152
PST_1562	900
algU	582
ribH	477
algH	570
algI	1296
ribA	729
algA	1446
ribD	1080
ribF	951
PST_2091	183
PST_2090	74
PST_2093	1377
PST_2092	243
PST_2095	1074
PST_2094	1083
PST_2099	369
PST_2098	495
PST_3043	552
PST_1728	297
pheS	1017
corR	657
ileS	2832
atzB	1356
dnrO	519
htpG	1905
ppc	2640
PST_0768	76
coIII	897
PST_0761	76
PST_0760	77
PST_0762	2901
PST_0765	672
PST_0767	74
PST_0766	85
relA	2244
ppx	1503
PST_1720	999
PST_2546	441
PST_2545	297
PST_1721	1324
PST_2541	660
PST_2540	678
PST_2209	1641
PST_3184	1785
PST_3157	591
PST_3156	2016
pykF	1428
PST_3154	966
PST_3153	480
pykA	1449
PST_3150	1005
PST_3239	771
PST_3159	780
PST_3158	1029
PST_2518	933
PST_0499	1974
PST_0498	1638
PST_0496	618
PST_0495	795
PST_0493	1167
PST_0492	684
PST_0491	1011
PST_0490	1536
PST_2402	921
PST_2403	444
pckA	1716
gdhA	1254
PST_2404	936
PST_2405	180
PST_2408	309
PST_2409	2466
PST_1704	1029
PST_1705	534
PST_1706	1617
PST_1707	1026
PST_1700	261
PST_1701	423
PST_1702	801
PST_1703	267
PST_1708	1071
PST_1709	2055
PST_2524	1779
gstA	672
truA	861
truB	918
truD	1041
msbA	1839
PST_3845	717
PST_3844	705
PST_2485	1917
PST_3841	1101
PST_3840	864
PST_3843	1452
PST_3187	75
dacA	1158
dacB	1458
phnA	345
tesA	606
tesB	909
PST_0383	1425
PST_0382	282
PST_0381	909
PST_0380	294
PST_0387	444
PST_0386	1644
PST_0385	1650
PST_0384	1497
pcoA	1458
PST_1018	1149
PST_2714	447
PST_0545	1077
PST_0544	1467
PST_2710	1323
PST_0546	666
PST_1010	1086
PST_1011	501
PST_2718	657
PST_2719	540
proA	1266
tig	1311
tpmA	708
lipA	978
mltR	906
PST_3933	450
PST_3932	381
PST_3234	645
PST_3937	1830
PST_1375	483
PST_1374	77
PST_1377	1785
lipB	660
PST_1373	77
PST_1372	91
mltB	978
PST_1378	1137
mltD	1554
PST_1172	1389
PST_1171	984
PST_1170	780
PST_3747	1788
PST_1176	165
PST_1179	594
PST_1178	657
xthA	906
fsr	1212
PST_3744	741
aspA	1425
arcB-1	1011
aspC	1197
PST_4208	402
PST_0152	1305
PST_0153	1884
PST_0150	1242
PST_0151	1344
PST_0156	1182
PST_0157	375
PST_0154	1488
PST_0155	852
PST_3625	837
PST_3624	1998
PST_0158	465
PST_0159	504
PST_3621	1041
PST_3620	1005
PST_3623	741
nqrB	1212
arsC-1	588
PST_2978	756
PST_2979	834
PST_2976	279
PST_2977	852
PST_2974	888
PST_2975	813
PST_2972	1404
PST_2973	783
PST_2970	924
PST_1951	1998
PST_1950	2985
PST_1953	813
PST_1952	1539
ccoS	207
PST_1954	384
PST_1957	1329
PST_1956	759
PST_1959	1266
PST_1958	1494
PST_3637	76
PST_3999	1380
lrp	489
PST_3617	1080
PST_4019	1395
PST_3610	1275
PST_4015	456
PST_4014	1122
PST_4013	1881
PST_2385	1032
PST_3611	648
PST_3711	807
PST_3710	828
PST_0024	558
PST_3712	2526
PST_0022	1125
PST_0023	1098
PST_3717	393
PST_3716	570
PST_3719	630
PST_3718	189
fliF	1758
PST_3613	2379
PST_0028	507
PST_0029	306
PST_1821	282
PST_1399	120
cyaA	2817
eutC	783
glmM	1239
PST_2384	1332
hscB	522
hscA	1863
acpP	237
PST_3789	363
PST_3997	465
PST_3996	1197
PST_3438	894
braF-2	777
PST_2775	327
PST_3376	270
PST_3435	2994
PST_3436	411
PST_3437	240
PST_3430	183
ribBA-1	1080
PST_3432	351
PST_3433	276
PST_1564	846
sigX	609
pmbA	1347
PST_2392	222
PST_0845	801
PST_0846	1866
cysN	1899
cysI	1659
PST_0841	498
PST_0842	648
PST_2395	963
cysE	744
cysD	918
cysG	1443
PST_2399	1716
cysA	987
PST_0849	873
cysC	603
PST_1561	315
PST_2150	1245
PST_2151	825
PST_3380	651
PST_2154	2013
PST_2155	453
htrB	1086
cysZ	756
cysT	816
cysW	876
PST_3389	183
cysQ	819
cysP	999
cysS	1386
PST_3540	1038
PST_3541	405
PST_3542	1095
PST_3543	744
PST_3544	1191
PST_2318	2901
holB	987
glf	1221
PST_2380	1293
holA	1032
fbp	1011
PST_2012	1416
mvaT	408
PST_1578	603
PST_1577	792
PST_1576	477
PST_1575	861
PST_1574	2124
thrB	954
thrC	1410
PST_1998	762
PST_0416	987
mvaB	1017
algB	1347
alkK-2	1635
phhR	1560
livM	1257
ppiD	1857
ppiB	591
ppiA	615
PST_3097	1230
PST_3094	516
cmaX	1059
leuD	648
PST_3093	990
PST_3090	1389
PST_3091	627
PST_3098	2745
PST_3099	810
PST_2382	381
mscL	423
xerC	900
xerD	897
htpX	873
mgoH	2559
PST_0716	579
PST_0710	135
PST_0711	77
gabD-2	2235
gabD-1	1467
rdgC	957
leuB	1083
PST_2379	306
PST_3168	528
PST_3169	255
PST_2370	77
PST_2371	1284
PST_2372	960
PST_2373	402
PST_2374	318
PST_2375	1029
PST_3164	633
PST_2377	255
PST_3368	336
PST_3369	330
PST_3360	348
cdsA	681
PST_3362	1638
PST_3363	1287
PST_3364	525
PST_0348	393
PST_3366	549
gph-2	672
lexA-2	438
purU	834
purT	1182
trxB1	948
dxs	1899
dxr	1191
PST_0620	663
trxC	438
PST_0622	564
PST_0623	1791
PST_0624	270
PST_0625	1197
PST_0626	2466
PST_0627	759
purK	1086
PST_0629	1830
purH	1605
PST_2419	969
PST_2418	858
purM	975
purL	3897
PST_1717	1203
PST_1715	1446
PST_1714	1350
PST_1713	858
PST_1710	2700
PST_1719	204
PST_1718	684
irlR	519
fpr	777
PST_3178	630
PST_3891	759
map	783
pheT	2379
PST_2709	678
PST_2701	345
PST_2700	705
PST_2702	414
PST_2704	672
PST_0534	759
PST_0535	633
PST_0536	456
PST_0537	2133
PST_0532	1911
PST_0533	582
PST_1003	1254
PST_1002	705
PST_1001	2223
PST_1000	678
spoT	2109
PST_1006	996
PST_1005	942
PST_1004	561
sucA	2832
sucC	1167
sucB	1227
sucD	885
PST_4187	783
PST_3930	1332
bioB	1056
PST_3723	852
PST_3948	7335
bioC	798
PST_3945	717
PST_3946	471
PST_3947	1053
PST_3941	576
PST_3942	555
PST_3943	189
bioA	1251
chev-2	933
bioF	1179
uvrD	2190
uvrC	1758
uvrB	2016
ntrB	1245
ntrC	1437
PST_1146	267
PST_1147	1524
PST_1144	1161
PST_1145	687
PST_1142	744
PST_1143	888
PST_1140	570
PST_1141	795
PST_0440	375
PST_0441	903
PST_0443	1224
PST_0444	1014
PST_0445	672
PST_0446	702
PST_0447	753
ppk	2217
tktA	1998
ssb	480
bioH	726
PST_4129	1170
PST_1482	312
PST_3177	312
PST_0145	2787
PST_0144	1263
PST_0147	2283
PST_0146	972
PST_0141	948
PST_0140	933
PST_0143	1194
PST_0142	1422
PST_0149	357
PST_0148	462
PST_3898	2181
PST_3899	1959
PST_1911	1113
PST_3892	513
PST_3893	909
PST_3890	1377
PST_1910	675
PST_2961	1689
PST_2608	567
PST_2963	3321
PST_3431	399
PST_2965	198
PST_2964	111
PST_2967	639
PST_2609	762
PST_2968	297
mtgA	729
djlA	768
cobT	1050
cobU	519
PST_1927	891
PST_1920	267
cobQ	1458
cobS	738
PST_1928	423
PST_1929	2511
cobD	912
PST_4020	1374
PST_4021	870
PST_4026	2277
cobA	840
cobB	1293
cobC	990
PST_0031	2151
PST_2118	189
PST_0033	1704
PST_0032	1602
PST_0035	606
PST_0034	2070
PST_3764	843
nrdA	2886
nrdB	1248
hexR	798
PST_3760	537
PST_3762	1008
PST_3763	483
PST_3170	270
rbfA	390
PST_3769	606
PST_1810	1038
PST_1811	1014
PST_1813	423
PST_1814	1341
PST_1815	948
cheV-3	933
PST_1817	1395
PST_1819	1740
blc	534
orn	543
PST_2864	960
PST_3429	1038
PST_3428	921
PST_3427	255
PST_3426	96
PST_3425	3099
PST_3424	1308
PST_3423	1242
PST_3422	1320
PST_3420	945
PST_3506	1374
PST_2268	309
ilvE	924
PST_2393	4851
argS	1740
argH	1395
argJ	1218
PST_2865	519
hisC2	1074
carB	3222
argA	1206
argB	903
argC	1035
argD	1221
argE	1152
argF	921
argG	1218
PST_0857	885
PST_0856	336
PST_0855	780
PST_0854	525
PST_0853	375
PST_0852	306
PST_0851	666
PST_0850	1317
PST_3336	1695
PST_2531	1020
PST_0859	897
PST_0858	894
PST_2143	849
coaE	804
PST_2141	345
PST_3396	651
PST_2147	1254
PST_2146	921
PST_2145	828
PST_2144	840
PST_2149	804
PST_2148	918
PST_3399	1506
PST_3398	420
PST_3553	441
PST_3552	1251
PST_3557	1284
PST_3556	999
PST_2391	1080
PST_3554	354
accD	894
fmt	945
PST_3558	1224
accA	951
accC	1350
accB	459
PST_3743	1470
ilvC	1017
prpC	1128
PST_3152	825
smpB	483
PST_2396	495
serS	1281
PST_1544	1353
PST_1545	2316
pnp	2106
PST_2860	534
PST_3089	216
PST_3088	756
PST_3460	330
serB	1251
serC	1152
serA	1230
PST_3080	975
PST_3083	744
PST_3085	819
PST_3086	760
copB	1161
PST_2397	1020
copA	1881
alaS	2703
gcvP-2	2877
PST_3011	825
PST_2394	1026
PST_0709	456
PST_0708	273
PST_0707	459
PST_0706	690
PST_0705	345
PST_0704	138
PST_0703	969
PST_0702	249
PST_0701	156
PST_0700	1038
anr	735
kefC	1782
PST_2564	627
ureE	501
PST_2561	831
PST_2562	789
prsA	930
PST_1495	2135
PST_0234	567
PST_1490	70
PST_1491	1479
PST_1492	638
PST_2863	534
PST_2362	357
PST_2361	77
PST_2360	402
PST_1498	984
PST_1499	798
PST_3173	1806
PST_3172	1302
ftsH-2	1806
PST_3379	291
PST_3378	345
alkA	876
PST_3373	390
PST_3372	294
PST_3371	336
PST_3370	198
PST_3377	1539
grpE	570
PST_3375	192
PST_3374	426
mttC	807
gyrB	2415
PST_3740	360
gyrA	2865
PST_0633	1548
PST_0632	1419
PST_0631	705
PST_0630	621
PST_0637	1539
PST_0636	345
PST_0634	861
PST_0639	3198
PST_0638	648
PST_1724	360
PST_1725	1953
np20	486
surE	750
folE-1	645
surA	1356
betB	1473
betA	1674
PST_3888	198
putP-1	1320
putP-2	1668
PST_3606	330
PST_1430	186
PST_1431	315
PST_2778	162
PST_2779	3468
rrmA	756
PST_2774	1410
PST_1739	498
PST_2777	561
PST_2771	77
PST_2772	76
PST_3605	645
cycH	1221
PST_0522	954
PST_0520	1149
PST_1036	957
fadH1	2148
PST_1034	480
PST_1035	525
PST_1032	726
PST_1033	546
PST_4207	384
osmC	426
osmE	342
leuC	1428
leuA	1671
PST_3955	954
PST_1159	714
PST_1158	981
leuS	2721
PST_1151	378
PST_1153	438
PST_1152	423
PST_1155	1014
PST_1154	1332
PST_1157	1554
PST_1156	1173
PST_2600	792
PST_2601	357
PST_0458	381
PST_2606	201
PST_2607	1656
PST_0453	1230
PST_0452	2370
PST_0451	921
PST_0450	690
PST_0457	540
PST_0456	675
PST_0455	453
PST_0454	2199
dksA	447
folK-1	543
crfX	243
hisD	1308
hisE	333
hisG	747
radC	675
hisA	744
radA	1362
hisC	1047
lnt	1554
fadD	1410
hisI	396
rmf	216
hisS	1290
hisZ	1188
PST_3881	1461
PST_3880	3291
PST_3883	504
PST_3882	1191
PST_3885	3513
PST_3884	819
PST_3887	1011
PST_3886	159
PST_3889	834
PST_3020	663
PST_2914	477
PST_2915	1848
PST_2916	1194
PST_2917	2166
PST_2910	726
PST_2911	501
PST_2912	1230
PST_2918	1227
PST_2919	927
PST_1937	648
PST_1936	1329
PST_1935	2454
PST_1934	732
PST_1933	699
PST_1932	801
PST_1931	2982
PST_1930	1098
cysM	975
PST_1939	2265
PST_1938	390
PST_4035	888
PST_4037	1023
pcnB	1401
PST_0048	1404
PST_0049	1038
ccmE	468
PST_0045	1320
PST_0046	1494
PST_0047	1548
PST_0040	498
PST_0041	786
tuf	1194
PST_2182	1344
lpxH	723
PST_2501	1137
PST_3773	399
ompR	735
PST_3771	201
PST_0282	735
PST_0283	1626
PST_0280	2223
lpxC	912
lpxD	1047
PST_0284	1539
PST_0285	387
PST_1803	768
PST_1802	1179
PST_1801	627
PST_1800	909
PST_1806	1044
PST_1805	333
PST_1804	2127
glcD	1500
glcE	1062
glcF	1218
glcG	405
metQ-2	774
PST_2825	1176
cycB	426
PST_4212	246
nadC	849
PST_3412	1245
PST_3413	957
PST_3410	756
PST_3411	468
rluA	735
PST_3417	639
rluC	801
ccmD	177
PST_3418	345
PST_3419	1029
ccmG	516
panC	861
ccmF	1974
panB	684
ccmA	636
PST_3842	1755
PST_3241	1194
PST_4038	1515
ccmC	756
polA	2796
PST_0199	2685
PST_0196	1317
lspA	504
PST_0195	819
PST_0192	810
PST_0190	909
PST_0191	699
metI-2	678
pcm	678
PST_2176	3081
PST_2177	1302
PST_2174	1422
PST_2175	3105
PST_2172	360
PST_2173	1032
PST_2170	156
PST_2171	789
pobA	1185
PST_1591	237
PST_2178	1467
PST_3772	1341
PST_3567	555
PST_3565	942
rubA	168
PST_3560	4281
rubB	1185
nusG	534
nusB	486
nusA	1482
PST_0996	2262
PST_0997	1446
PST_0994	1164
PST_0995	681
PST_0992	369
polB	2361
fdx1	252
PST_0991	2391
PST_1590	933
lpxB	1005
PST_0998	873
PST_0999	495
cysK	1101
PST_1554	1149
pepN	2661
PST_2284	831
PST_2285	792
PST_2286	564
PST_2280	2166
PST_1558	327
PST_2282	477
PST_2283	972
pepP	1287
PST_3778	993
PST_2828	672
cycL	474
fklB-2	735
fklB-1	618
PST_0868	1410
PST_1992	1068
PST_0862	1392
PST_0863	1341
PST_0860	1641
PST_0861	771
PST_0866	3471
PST_0864	417
PST_0865	513
PST_0733	1011
PST_0730	1020
PST_0731	672
PST_0736	1110
PST_0737	1032
