chr	locus_id	gene_names	dir	tss_bp	tss_pos_to_atg
DH10B	ECDH10B_1689	cspB	-	1729364	-161
DH10B	ECDH10B_0950	cspD	-	975827	-86
DH10B	ECDH10B_2864	csrA	-	2909816	-106
DH10B	ECDH10B_2961	csrB	-	3016421	-6
DH10B	ECDH10B_4055	csrC	+	4147772	-207
DH10B	ECDH10B_1244	cvrA	-	1281573	-38
DH10B	ECDH10B_3998	cyaY	-	4091026	-24
DH10B	ECDH10B_0799	cydA	+	823273	0
DH10B	ECDH10B_0957	cydD	-	984150	-37
DH10B	ECDH10B_0388	cyoA	-	390208	-43
DH10B	ECDH10B_0385	cyoD	-	386742	-141
DH10B	ECDH10B_2918	cysC	-	2964793	-237
DH10B	ECDH10B_2920	cysD	-	2966931	-38
DH10B	ECDH10B_2932	cysJ	-	2982527	-65
DH10B	ECDH10B_2579	cysK	+	2622130	-66
DH10B	ECDH10B_0908	dacC	+	933769	-109
DH10B	ECDH10B_1242	dadA	+	1277034	-1
DH10B	ECDH10B_2644	dapA	-	2689570	-23
DH10B	ECDH10B_0145	dapD	-	160080	-29
DH10B	ECDH10B_2637	dapE	+	2681309	-85
DH10B	ECDH10B_1464	dbpA	+	1496703	-228
DH10B	ECDH10B_2215	dcd	-	2231329	-82
DH10B	ECDH10B_3646	dcrB	+	3705685	-38
DH10B	ECDH10B_4331	dcuA	-	4465228	-70
DH10B	ECDH10B_0689	dcuC	-	707821	-38
DH10B	ECDH10B_4317	dcuS	-	4450070	-23
DH10B	ECDH10B_4540	deoA	+	4662642	-72
DH10B	ECDH10B_4541	deoB	+	4664052	-36
DH10B	ECDH10B_0909	deoR	-	936177	-292
DH10B	ECDH10B_1253	dhaK	-	1290371	-69
DH10B	ECDH10B_0125	dksA	-	134761	-53
DH10B	ECDH10B_1724	dmsD	+	1753294	-197
DH10B	ECDH10B_0880	dps	-	902100	-38
DH10B	ECDH10B_4077	dtd	+	4174460	-275
DH10B	ECDH10B_1991	eda	-	2021700	-349
DH10B	ECDH10B_4340	efp	+	4474041	-43
DH10B	ECDH10B_3856	emrD	+	3948943	-586
DH10B	ECDH10B_1246	emtA	+	1282594	-50
DH10B	ECDH10B_2946	eno	-	2998532	-27
DH10B	ECDH10B_0664	entA	+	680104	-262
DH10B	ECDH10B_3579	envZ	-	3631822	-187
DH10B	ECDH10B_3102	epd	-	3165715	-132
DH10B	ECDH10B_2134	erfK	-	2152559	-204
DH10B	ECDH10B_3182	exbB	-	3247783	-32
DH10B	ECDH10B_1985	exoX	+	2014699	-16
DH10B	ECDH10B_1024	fabA	-	1069633	-12
DH10B	ECDH10B_2485	fabB	-	2531392	0
DH10B	ECDH10B_1163	fabH	+	1203213	-214
DH10B	ECDH10B_1405	fabI	-	1438538	-79
DH10B	ECDH10B_0160	fabZ	+	176180	-25
DH10B	ECDH10B_4427	fbp	-	4555477	-37
DH10B	ECDH10B_1607	fdnI	+	1639922	-35
DH10B	ECDH10B_4084	fdoG	-	4183651	-109
DH10B	ECDH10B_4082	fdoI	-	4179726	-146
DH10B	ECDH10B_4489	fecA	-	4616539	-31
DH10B	ECDH10B_4491	fecI	-	4618093	-27
DH10B	ECDH10B_3583	feoA	+	3635825	-105
DH10B	ECDH10B_0658	fepD	-	674005	-1
DH10B	ECDH10B_4523	fhuF	-	4650172	-24
DH10B	ECDH10B_4402	fklB	+	4527293	-27
DH10B	ECDH10B_3522	fkpA	-	3573235	-49
DH10B	ECDH10B_0749	fldA	-	763336	-56
DH10B	ECDH10B_1143	flgA	-	1185554	-23
DH10B	ECDH10B_1148	flgF	+	1188186	-284
DH10B	ECDH10B_2021	flhB	-	2054810	-24
DH10B	ECDH10B_2086	fliL	+	2108616	-34
DH10B	ECDH10B_2146	flu	+	2160535	-36
DH10B	ECDH10B_0485	folD	-	496333	-37
DH10B	ECDH10B_4349	frdA	-	4480799	-96
DH10B	ECDH10B_4346	frdD	-	4477857	-106
DH10B	ECDH10B_4033	fre	+	4123470	0
DH10B	ECDH10B_0311	frmA	-	318156	-30
DH10B	ECDH10B_0960	ftsK	+	986286	-89
DH10B	ECDH10B_0075	ftsQ	+	77078	-181
DH10B	ECDH10B_3638	ftsY	-	3700095	-84
DH10B	ECDH10B_2974	fucR	+	3031221	-47
DH10B	ECDH10B_1745	fumA	-	1777432	-70
DH10B	ECDH10B_0748	fur	-	762640	-179
DH10B	ECDH10B_3515	fusA	-	3569462	-181
DH10B	ECDH10B_0827	galE	-	845232	-26
DH10B	ECDH10B_2192	galF	-	2203381	-22
DH10B	ECDH10B_0823	galM	-	840861	-209
DH10B	ECDH10B_3009	galR	+	3068461	-30
DH10B	ECDH10B_1917	gapA	+	1951192	-174
DH10B	ECDH10B_3301	garD	+	3370974	-75
DH10B	ECDH10B_3300	garP	-	3370974	-300
DH10B	ECDH10B_3298	garR	-	3368728	-204
DH10B	ECDH10B_2244	gatD	-	2262349	-444
DH10B	ECDH10B_2249	gatY	-	2266263	-29
DH10B	ECDH10B_3078	gcvH	-	3141496	-55
DH10B	ECDH10B_3621	ggt	-	3682621	-30
DH10B	ECDH10B_3157	glcC	+	3223970	-69
DH10B	ECDH10B_3603	glgA	-	3664088	-287
DH10B	ECDH10B_3350	glmM	-	3419948	-111
DH10B	ECDH10B_3917	glmU	-	4010829	-22
DH10B	ECDH10B_4060	glnA	-	4155049	-72
DH10B	ECDH10B_2720	glnB	-	2777310	-115
DH10B	ECDH10B_3228	glnE	-	3295421	-13
DH10B	ECDH10B_0736	glnU	-	748930	-176
DH10B	ECDH10B_1785	gloA	+	1816409	-23
DH10B	ECDH10B_2401	glpB	+	2443056	-219
DH10B	ECDH10B_2402	glpC	+	2444446	-85
DH10B	ECDH10B_3600	glpD	+	3657739	-42
DH10B	ECDH10B_3599	glpE	-	3657624	-33
DH10B	ECDH10B_2398	glpQ	-	2440367	-346
DH10B	ECDH10B_2399	glpT	-	2441384	0
DH10B	ECDH10B_4114	glpX	-	4213323	-24
DH10B	ECDH10B_0787	gltA	-	806723	-440
DH10B	ECDH10B_4158	gltT	+	4265954	-138
DH10B	ECDH10B_3946	gltU	+	4040326	-52
DH10B	ECDH10B_4197	gltV	+	4307441	-52
DH10B	ECDH10B_2758	gltW	-	2819369	-138
DH10B	ECDH10B_2564	gltX	-	2610492	-33
DH10B	ECDH10B_4166	glyT	+	4273233	-159
DH10B	ECDH10B_4358	glyV	+	4490697	-48
DH10B	ECDH10B_2052	glyW	-	2081340	-191
DH10B	ECDH10B_3611	gntR	-	3674521	-27
DH10B	ECDH10B_0822	gpmA	-	839447	-37
DH10B	ECDH10B_3355	greA	-	3424619	-137
DH10B	ECDH10B_4335	groS	+	4469001	-72
DH10B	ECDH10B_2780	grpE	-	2840532	-37
DH10B	ECDH10B_3792	grxC	-	3880054	-12
DH10B	ECDH10B_1788	grxD	-	1822784	-88
DH10B	ECDH10B_2856	gshA	-	2907148	-145
DH10B	ECDH10B_2674	guaB	-	2723874	-17
DH10B	ECDH10B_0085	guaC	+	87503	-45
DH10B	ECDH10B_2390	gyrA	-	2428465	-35
DH10B	ECDH10B_3686	hdeA	-	3752559	-51
DH10B	ECDH10B_3685	hdeB	-	3752391	-331
DH10B	ECDH10B_0325	hemB	-	328309	-27
DH10B	ECDH10B_4370	hflC	+	4501477	-208
DH10B	ECDH10B_4367	hfq	+	4498606	-67
DH10B	ECDH10B_1175	hinT	+	1216340	-213
DH10B	ECDH10B_2170	hisB	+	2182064	-436
DH10B	ECDH10B_2167	hisG	+	2179169	-55
DH10B	ECDH10B_2174	hisI	+	2185261	-385
DH10B	ECDH10B_2680	hisS	-	2730793	-431
DH10B	ECDH10B_1297	hns	-	1332422	-36
DH10B	ECDH10B_4452	holC	-	4584311	-200
DH10B	ECDH10B_4529	holD	+	4652266	-22
DH10B	ECDH10B_0105	hpt	+	115465	-70
DH10B	ECDH10B_2693	hscA	-	2748777	-55
DH10B	ECDH10B_4121	hslV	-	4220068	-61
DH10B	ECDH10B_0429	htpG	+	433630	-45
DH10B	ECDH10B_1968	htpX	-	2001213	-42
DH10B	ECDH10B_4189	hupA	+	4297948	-52
DH10B	ECDH10B_0396	hupB	+	399889	-117
DH10B	ECDH10B_3174	hybO	-	3242055	-27
DH10B	ECDH10B_1848	ihfA	-	1884315	-168
DH10B	ECDH10B_0027	ileS	+	22024	-367
DH10B	ECDH10B_0183	ileV	+	199471	-14
DH10B	ECDH10B_3854	ilvB	-	3948444	-53
DH10B	ECDH10B_3959	ilvE	+	4049331	-96
DH10B	ECDH10B_3962	ilvY	-	4054806	-43
DH10B	ECDH10B_2396	inaA	-	2438597	-115
DH10B	ECDH10B_3361	ispB	+	3429403	-74
DH10B	ECDH10B_2681	ispG	-	2731710	-119
DH10B	ECDH10B_0202	ivy	+	214438	-9
DH10B	ECDH10B_1870	katE	+	1902409	-53
DH10B	ECDH10B_3799	kbl	-	3888176	-25
DH10B	ECDH10B_4099	kdgT	+	4198952	-458
DH10B	ECDH10B_0421	kefA	+	425044	-47
DH10B	ECDH10B_1355	lacA	-	1380880	-260
DH10B	ECDH10B_4225	lamB	+	4345658	-32
DH10B	ECDH10B_1245	ldcA	-	1282571	-27
DH10B	ECDH10B_2737	lepA	-	2796996	-85
DH10B	ECDH10B_0737	leuW	-	748900	-38
DH10B	ECDH10B_4232	lexA	+	4354806	-28
DH10B	ECDH10B_2998	lgt	-	3058008	-79
DH10B	ECDH10B_3629	livG	-	3689988	-14
DH10B	ECDH10B_3631	livH	-	3692444	-273
DH10B	ECDH10B_3634	livJ	-	3695527	-101
DH10B	ECDH10B_3632	livK	-	3693726	-398
DH10B	ECDH10B_0726	lnt	-	742771	-75
DH10B	ECDH10B_1188	lolC	+	1230072	-23
DH10B	ECDH10B_1190	lolE	+	1231500	-488
DH10B	ECDH10B_0096	lpd	+	101966	-50
DH10B	ECDH10B_1811	lpp	+	1845978	-38
DH10B	ECDH10B_0028	lspA	+	25100	-107
DH10B	ECDH10B_0940	ltaE	-	962470	-25
DH10B	ECDH10B_4213	lysC	-	4331012	-60
DH10B	ECDH10B_2313	lysP	-	2337570	-27
DH10B	ECDH10B_0810	lysT	+	832327	-42
DH10B	ECDH10B_4322	lysU	-	4453187	-85
DH10B	ECDH10B_2628	maeB	-	2668282	-118
DH10B	ECDH10B_4223	malE	-	4344182	-44
DH10B	ECDH10B_4226	malM	+	4347218	-55
DH10B	ECDH10B_1746	manA	+	1777280	-281
DH10B	ECDH10B_3897	mdtL	+	3987196	-26
DH10B	ECDH10B_4310	melR	-	4440034	-21
DH10B	ECDH10B_2423	menB	-	2465849	-20
DH10B	ECDH10B_2422	menC	-	2465055	-83
DH10B	ECDH10B_2421	menE	-	2464124	-111
DH10B	ECDH10B_4128	metB	+	4226355	-37
DH10B	ECDH10B_4130	metF	+	4229888	-448
DH10B	ECDH10B_2267	metG	+	2283298	-32
DH10B	ECDH10B_4127	metJ	-	4226186	-71
DH10B	ECDH10B_0738	metT	-	748985	-37
DH10B	ECDH10B_1229	minC	-	1265610	-66
DH10B	ECDH10B_1920	mipA	-	1955100	-33
DH10B	ECDH10B_0192	mltD	-	208085	-26
DH10B	ECDH10B_1205	mnmA	-	1248470	-29
DH10B	ECDH10B_0849	moaA	+	870064	-131
DH10B	ECDH10B_0850	moaB	+	871166	-40
DH10B	ECDH10B_0831	modA	+	848213	-27
DH10B	ECDH10B_0829	modE	-	847809	-14
DH10B	ECDH10B_0896	moeA	-	919545	-30
DH10B	ECDH10B_2031	motA	-	2065800	-66
DH10B	ECDH10B_0064	mraW	+	64141	-57
DH10B	ECDH10B_0069	mraY	+	70051	-55
DH10B	ECDH10B_3427	mreB	-	3496894	-40
DH10B	ECDH10B_2266	mrp	-	2283224	-26
DH10B	ECDH10B_3465	mscL	+	3533766	-25
DH10B	ECDH10B_1916	msrB	-	1951336	-312
DH10B	ECDH10B_3780	mtlA	+	3867789	-92
DH10B	ECDH10B_0067	murE	+	67187	-83
DH10B	ECDH10B_0068	murF	+	68551	-203
DH10B	ECDH10B_4365	mutL	+	4495485	-312
DH10B	ECDH10B_3817	mutM	-	3906775	-23
DH10B	ECDH10B_1878	nadE	+	1911025	-28
DH10B	ECDH10B_1191	nagK	+	1233094	-167
DH10B	ECDH10B_3402	nanA	-	3469380	-37
DH10B	ECDH10B_3399	nanK	-	3466334	-217
DH10B	ECDH10B_2363	napA	-	2391969	-206
DH10B	ECDH10B_2360	napB	-	2388032	-304
DH10B	ECDH10B_2362	napG	-	2389284	-14
DH10B	ECDH10B_1285	narJ	+	1324070	-533
DH10B	ECDH10B_1282	narK	+	1317396	-25
DH10B	ECDH10B_1181	ndh	+	1220694	-59
DH10B	ECDH10B_2684	ndk	-	2734700	-49
DH10B	ECDH10B_2316	nfo	+	2339822	-29
DH10B	ECDH10B_0021	nhaR	+	18486	-229
DH10B	ECDH10B_3650	nikA	+	3709396	-39
DH10B	ECDH10B_3652	nikC	+	3711896	-54
DH10B	ECDH10B_2393	nrdA	+	2433768	-107
DH10B	ECDH10B_2394	nrdB	+	2436362	-32
DH10B	ECDH10B_0369	nrdR	+	371533	-24
DH10B	ECDH10B_4373	nsrR	+	4504040	-535
DH10B	ECDH10B_1767	nth	+	1799688	-430
DH10B	ECDH10B_1206	nudJ	-	1249218	-262
DH10B	ECDH10B_2448	nuoC	-	2493940	-296
DH10B	ECDH10B_2439	nuoM	-	2483176	-348
DH10B	ECDH10B_2438	nuoN	-	2481370	-258
DH10B	ECDH10B_0631	ompT	-	637479	-31
DH10B	ECDH10B_1371	ompW	+	1401412	-28
DH10B	ECDH10B_0882	ompX	+	903569	-32
DH10B	ECDH10B_1305	oppA	+	1339712	-512
DH10B	ECDH10B_1613	osmC	+	1645224	-20
DH10B	ECDH10B_1877	osmE	-	1910878	-27
DH10B	ECDH10B_3536	pabA	-	3586618	-22
DH10B	ECDH10B_0808	pal	+	830777	-105
DH10B	ECDH10B_0114	panB	-	123734	-29
DH10B	ECDH10B_0113	panC	-	123287	-388
DH10B	ECDH10B_2583	pdxK	-	2627105	-81
DH10B	ECDH10B_4453	pepA	-	4585942	-160
DH10B	ECDH10B_2690	pepB	-	2746600	-455
DH10B	ECDH10B_0219	pepD	-	229911	-91
DH10B	ECDH10B_3082	pepP	-	3146781	-49
DH10B	ECDH10B_4036	pepQ	+	4128090	-14
DH10B	ECDH10B_4105	pfkA	+	4205194	-78
DH10B	ECDH10B_1861	pfkB	+	1894947	-18
DH10B	ECDH10B_0972	pflA	-	1004663	-432
DH10B	ECDH10B_0973	pflB	-	1007073	-368
DH10B	ECDH10B_4214	pgi	+	4331445	-32
DH10B	ECDH10B_3101	pgk	-	3164751	-237
DH10B	ECDH10B_0753	pgm	+	765156	-217
DH10B	ECDH10B_0374	pgpA	+	375027	-117
DH10B	ECDH10B_0642	pheP	+	653744	-30
DH10B	ECDH10B_0356	phoR	+	356195	-249
DH10B	ECDH10B_3669	pitA	+	3733381	-29
DH10B	ECDH10B_4016	pldB	+	4106080	-33
DH10B	ECDH10B_1001	pncB	-	1043565	-58
DH10B	ECDH10B_4052	polA	+	4143882	-27
DH10B	ECDH10B_1198	potA	-	1240328	-66
DH10B	ECDH10B_4421	ppa	-	4548069	-32
DH10B	ECDH10B_4144	ppc	-	4250907	-89
DH10B	ECDH10B_2996	ppdA	-	3056536	-467
DH10B	ECDH10B_3964	ppiC	-	4056891	-135
DH10B	ECDH10B_0397	ppiD	+	400408	-62
DH10B	ECDH10B_2667	ppk	+	2712765	-66
DH10B	ECDH10B_1020	pqiA	+	1064812	-340
DH10B	ECDH10B_3065	prfB	-	3128217	-43
DH10B	ECDH10B_4124	priA	-	4224555	-25
DH10B	ECDH10B_0423	priC	-	429443	-76
DH10B	ECDH10B_3531	prkB	+	3580096	-161
DH10B	ECDH10B_3674	prlC	-	3741017	-67
DH10B	ECDH10B_3434	prmA	+	3504750	-87
DH10B	ECDH10B_1265	prmC	+	1305437	-121
DH10B	ECDH10B_0225	proA	+	234447	-384
DH10B	ECDH10B_0224	proB	+	233237	-479
DH10B	ECDH10B_1970	proQ	-	2004176	-47
DH10B	ECDH10B_2753	pssA	+	2812456	-58
DH10B	ECDH10B_4372	purA	+	4503045	-27
DH10B	ECDH10B_2725	purL	-	2785376	-46
DH10B	ECDH10B_2665	purM	+	2710944	-40
DH10B	ECDH10B_1133	pyrC	-	1177314	-39
DH10B	ECDH10B_1398	pyrF	+	1429290	-51
DH10B	ECDH10B_4240	qor	-	4362023	-73
DH10B	ECDH10B_0361	queA	+	363541	-25
DH10B	ECDH10B_0400	queC	-	404123	-21
DH10B	ECDH10B_3341	rbfA	-	3409333	-388
DH10B	ECDH10B_0177	rcsF	-	194178	-79
DH10B	ECDH10B_3834	recG	+	3920790	-27
DH10B	ECDH10B_4013	recQ	+	4102778	-29
DH10B	ECDH10B_0428	recR	+	432929	-31
DH10B	ECDH10B_3967	rep	+	4057592	-28
DH10B	ECDH10B_4097	rhaT	-	4198297	-52
DH10B	ECDH10B_3969	rhlB	-	4062573	0
DH10B	ECDH10B_3972	rho	+	4062975	-385
DH10B	ECDH10B_3971	rhoL	+	4063105	-69
DH10B	ECDH10B_0454	rhsD	+	461771	-45
DH10B	ECDH10B_4014	rhtC	+	4104669	-31
DH10B	ECDH10B_1394	ribA	-	1426610	-30
DH10B	ECDH10B_3215	ribB	-	3280269	-36
DH10B	ECDH10B_1796	ribC	-	1831982	-145
DH10B	ECDH10B_0371	ribE	+	373187	-15
DH10B	ECDH10B_0031	rihC	+	27263	-30
DH10B	ECDH10B_4375	rlmB	+	4507608	-52
DH10B	ECDH10B_4211	rluF	+	4328056	-17
DH10B	ECDH10B_1403	rnb	-	1436549	-217
DH10B	ECDH10B_1155	rne	-	1199545	-510
DH10B	ECDH10B_0163	rnhB	+	178309	-288
DH10B	ECDH10B_3296	rnpB	-	3366360	-1
DH10B	ECDH10B_3089	rpiA	-	3151244	-27
DH10B	ECDH10B_4172	rplA	+	4276357	-241
DH10B	ECDH10B_3495	rplC	-	3548693	0
DH10B	ECDH10B_3494	rplD	-	3548155	-102
DH10B	ECDH10B_3480	rplF	-	3541915	-8
DH10B	ECDH10B_4398	rplI	+	4524448	-45
DH10B	ECDH10B_4173	rplJ	+	4277342	-373
DH10B	ECDH10B_4171	rplK	+	4276073	-93
DH10B	ECDH10B_4174	rplL	+	4278016	-263
DH10B	ECDH10B_3408	rplM	-	3474575	-157
DH10B	ECDH10B_3485	rplN	-	3543988	-72
DH10B	ECDH10B_3476	rplO	-	3540406	-100
DH10B	ECDH10B_2773	rplS	-	2834319	-2
DH10B	ECDH10B_1852	rplT	-	1888388	-44
DH10B	ECDH10B_3493	rplW	-	3547731	-280
DH10B	ECDH10B_2343	rplY	+	2371451	-76
DH10B	ECDH10B_3359	rpmA	-	3428988	-102
DH10B	ECDH10B_3819	rpmB	-	3907595	-321
DH10B	ECDH10B_1161	rpmF	+	1202032	-3
DH10B	ECDH10B_3889	rpmH	+	3979839	-104
DH10B	ECDH10B_3474	rpmJ	-	3538925	-424
DH10B	ECDH10B_3470	rpoA	-	3537067	-271
DH10B	ECDH10B_3635	rpoH	-	3696772	-221
DH10B	ECDH10B_2909	rpoS	-	2958680	-565
DH10B	ECDH10B_3831	rpoZ	+	3917690	-17
DH10B	ECDH10B_3471	rpsD	-	3537685	-243
DH10B	ECDH10B_3516	rpsG	-	3569949	-101
DH10B	ECDH10B_3496	rpsJ	-	3549206	-169
DH10B	ECDH10B_3472	rpsK	-	3537963	-98
DH10B	ECDH10B_3473	rpsM	-	3538330	-92
DH10B	ECDH10B_3339	rpsO	-	3407553	-102
DH10B	ECDH10B_2776	rpsP	-	2836041	-69
DH10B	ECDH10B_3491	rpsS	-	3546763	-470
DH10B	ECDH10B_0024	rpsT	-	21114	-36
DH10B	ECDH10B_4118	rraA	-	4217071	-21
DH10B	ECDH10B_4043	rrlA	+	4134337	-125
DH10B	ECDH10B_4159	rrlB	+	4266236	-125
DH10B	ECDH10B_3947	rrlC	+	4040495	-152
DH10B	ECDH10B_3450	rrlD	-	3522666	-116
DH10B	ECDH10B_2757	rrlG	-	2819088	-117
DH10B	ECDH10B_0185	rrlH	+	199741	-122
DH10B	ECDH10B_1960	rrmA	-	1995734	-79
DH10B	ECDH10B_4040	rrsA	+	4132470	-4
DH10B	ECDH10B_3945	rrsC	+	4038577	-174
DH10B	ECDH10B_3453	rrsD	-	3524814	-285
DH10B	ECDH10B_2759	rrsG	-	2821120	-176
DH10B	ECDH10B_0182	rrsH	+	197589	-286
DH10B	ECDH10B_2740	rseA	-	2799431	-240
DH10B	ECDH10B_2739	rseB	-	2798778	-237
DH10B	ECDH10B_0156	rseP	+	170527	-123
DH10B	ECDH10B_4356	rsgA	-	4489925	-31
DH10B	ECDH10B_1294	rssA	+	1328474	-196
DH10B	ECDH10B_1761	rsxA	+	1794056	-306
DH10B	ECDH10B_1763	rsxC	+	1795222	-292
DH10B	ECDH10B_3384	ryhA	+	3446344	0
DH10B	ECDH10B_1409	sapC	-	1441993	-55
DH10B	ECDH10B_4106	sbp	+	4206130	-424
DH10B	ECDH10B_1952	sdaA	+	1985478	-49
DH10B	ECDH10B_0790	sdhA	+	807698	-24
DH10B	ECDH10B_0791	sdhB	+	809482	-22
DH10B	ECDH10B_0788	sdhC	+	806770	-222
DH10B	ECDH10B_0789	sdhD	+	807222	-153
DH10B	ECDH10B_3791	secB	-	3880163	-435
DH10B	ECDH10B_4169	secE	+	4274897	-180
DH10B	ECDH10B_1902	selD	-	1936625	-22
DH10B	ECDH10B_0963	serS	+	992516	-63
DH10B	ECDH10B_3644	sirA	-	3704975	-211
DH10B	ECDH10B_2503	sixA	-	2546786	-187
DH10B	ECDH10B_1775	slyB	+	1808347	-124
DH10B	ECDH10B_3524	slyD	-	3574325	-61
DH10B	ECDH10B_3460	smf	-	3529617	-290
DH10B	ECDH10B_3459	smg	-	3528432	-201
DH10B	ECDH10B_2783	smpA	+	2843342	-50
DH10B	ECDH10B_2786	smpB	+	2844619	-64
DH10B	ECDH10B_4098	sodA	+	4198479	-51
DH10B	ECDH10B_1790	sodB	+	1823920	-53
DH10B	ECDH10B_1780	sodC	-	1813254	-4
DH10B	ECDH10B_3112	speB	-	3176916	-28
DH10B	ECDH10B_1717	speG	+	1745136	-33
DH10B	ECDH10B_1904	sppA	+	1936936	-496
DH10B	ECDH10B_2333	spr	+	2358820	-169
DH10B	ECDH10B_2873	srlD	+	2918267	-34
DH10B	ECDH10B_2687	sseA	+	2742236	-45
DH10B	ECDH10B_3406	sspA	-	3473332	-145
DH10B	ECDH10B_3085	ssrS	+	3147849	-26
DH10B	ECDH10B_1818	sufA	-	1853014	-33
DH10B	ECDH10B_1813	sufE	-	1848071	-186
DH10B	ECDH10B_1028	sulA	-	1074093	-23
DH10B	ECDH10B_2912	surE	-	2961183	-345
DH10B	ECDH10B_2727	tadA	-	2787858	-214
DH10B	ECDH10B_3728	tag	+	3808591	-101
DH10B	ECDH10B_0008	talB	+	8193	-45
DH10B	ECDH10B_4027	tatA	+	4118853	-35
DH10B	ECDH10B_3291	tdcB	-	3361824	-29
DH10B	ECDH10B_0451	tesA	-	458635	-315
DH10B	ECDH10B_0408	tesB	-	413756	-40
DH10B	ECDH10B_0379	thiI	+	380024	-80
DH10B	ECDH10B_0002	thrA	-	363	-26
DH10B	ECDH10B_0004	thrC	+	3701	-33
DH10B	ECDH10B_1855	thrS	-	1891323	-158
DH10B	ECDH10B_4164	thrU	+	4273100	-7
DH10B	ECDH10B_0392	tig	+	393677	-11
DH10B	ECDH10B_3110	tktA	-	3174800	-74
