tss_id	locus_id	gene_name	tss_bp	dir	5utr_len
tss-45	ECDH10B_0046	yaaU	45807	fwd	0
tss-46	ECDH10B_0047	kefF	47246	fwd	0
tss-47	ECDH10B_0048	kefC	47769	fwd	0
tss-48	ECDH10B_0049	folA	49823	fwd	0
tss-49	ECDH10B_0050	apaH	51222	rev	0
tss-50	ECDH10B_0051	apaG	51606	rev	0
tss-51	ECDH10B_0052	ksgA	52430	rev	0
tss-52	ECDH10B_0053	pdxA	53416	rev	0
tss-53	ECDH10B_0054	surA	54702	rev	0
tss-54	ECDH10B_0055	imp	57109	rev	0
tss-55	ECDH10B_0056	djlA	57364	fwd	0
tss-56	ECDH10B_0058	yabP	58474	fwd	0
tss-57	ECDH10B_0060	rluA	60346	rev	0
tss-58	ECDH10B_0061	hepA	62378	rev	0
tss-59	ECDH10B_0062	fruR	62379	fwd	0
tss-60	ECDH10B_0063	mraZ	63738	fwd	0
tss-61	ECDH10B_0064	mraW	64198	fwd	0
tss-62	ECDH10B_0065	ftsL	65136	fwd	0
tss-63	ECDH10B_0066	ftsI	65517	fwd	0
tss-64	ECDH10B_0067	murE	67270	fwd	0
tss-65	ECDH10B_0068	murF	68754	fwd	0
tss-66	ECDH10B_0069	mraY	70106	fwd	0
tss-67	ECDH10B_0070	murD	71191	fwd	0
tss-68	ECDH10B_0071	ftsW	72507	fwd	0
tss-69	ECDH10B_0072	murG	73748	fwd	0
tss-70	ECDH10B_0073	murC	74869	fwd	0
tss-71	ECDH10B_0074	ddlB	76337	fwd	0
tss-72	ECDH10B_0075	ftsQ	77259	fwd	0
tss-73	ECDH10B_0076	ftsA	78086	fwd	0
tss-74	ECDH10B_0077	ftsZ	79409	fwd	0
tss-75	ECDH10B_0078	lpxC	80661	fwd	0
tss-76	ECDH10B_0079	secM	81809	fwd	0
tss-77	ECDH10B_0080	secA	82383	fwd	0
tss-78	ECDH10B_0081	mutT	85148	fwd	0
tss-79	ECDH10B_0082	yacG	85950	rev	0
tss-80	ECDH10B_0083	yacF	86703	rev	0
tss-81	ECDH10B_0084	coaE	87323	rev	0
tss-82	ECDH10B_0085	guaC	87548	fwd	0
tss-83	ECDH10B_0086	hofC	89828	rev	0
tss-84	ECDH10B_0087	hofB	91203	rev	0
tss-85	ECDH10B_0088	ppdD	91653	rev	0
tss-86	ECDH10B_0089	nadC	92749	rev	0
tss-87	ECDH10B_0090	ampD	92837	fwd	0
tss-88	ECDH10B_0091	ampE	93385	fwd	0
tss-89	ECDH10B_0092	aroP	95655	rev	0
tss-90	ECDH10B_0093	pdhR	96196	fwd	0
tss-91	ECDH10B_0094	aceE	97121	fwd	0
tss-92	ECDH10B_0095	aceF	99799	rev	0
tss-93	ECDH10B_0096	lpd	102016	fwd	0
tss-94	ECDH10B_0097	yacH	105364	rev	0
tss-95	ECDH10B_0098	acnB	105719	fwd	0
tss-96	ECDH10B_0099	yacL	108492	fwd	0
tss-97	ECDH10B_0100	speD	109686	rev	0
tss-98	ECDH10B_0101	speE	110568	rev	0
tss-99	ECDH10B_0102	yacC	111021	rev	0
tss-100	ECDH10B_0103	cueO	111187	fwd	0
tss-101	ECDH10B_0104	gcd	115329	rev	0
tss-102	ECDH10B_0105	hpt	115535	fwd	0
tss-103	ECDH10B_0106	can	116774	rev	0
tss-104	ECDH10B_0107	yadG	116883	fwd	0
tss-105	ECDH10B_0108	yadH	117806	fwd	0
tss-106	ECDH10B_0109	yadI	118681	fwd	0
tss-107	ECDH10B_0110	yadE	119185	fwd	0
tss-108	ECDH10B_0111	panD	120798	rev	0
tss-109	ECDH10B_0112	yadD	121072	fwd	0
tss-110	ECDH10B_0113	panC	122899	rev	0
tss-111	ECDH10B_0114	panB	123705	rev	0
tss-112	ECDH10B_0115	yadC	125057	rev	0
tss-113	ECDH10B_0116	yadK	125703	rev	0
tss-114	ECDH10B_0117	yadL	126335	rev	0
tss-115	ECDH10B_0118	yadM	126916	rev	0
tss-116	ECDH10B_0119	htrE	129530	rev	0
tss-117	ECDH10B_0120	ecpD	130305	rev	0
tss-118	ECDH10B_0121	yadN	130987	rev	0
tss-119	ECDH10B_0122	folK	131836	rev	0
tss-120	ECDH10B_0123	pcnB	133230	rev	0
tss-121	ECDH10B_0124	yadB	134216	rev	0
tss-122	ECDH10B_0125	dksA	134708	rev	0
tss-123	ECDH10B_0126	sfsA	135590	rev	0
tss-124	ECDH10B_0127	ligT	136135	rev	0
tss-125	ECDH10B_0128	hrpB	136209	fwd	0
tss-126	ECDH10B_0129	mrcB	138834	fwd	0
tss-127	ECDH10B_0130	fhuA	141588	fwd	0
tss-128	ECDH10B_0131	fhuC	143882	fwd	0
tss-129	ECDH10B_0132	fhuD	144679	fwd	0
tss-130	ECDH10B_0133	fhuB	145566	fwd	0
tss-131	ECDH10B_0134	hemL	148986	rev	0
tss-132	ECDH10B_0135	clcA	149211	fwd	0
tss-133	ECDH10B_0136	yadR	150714	fwd	0
tss-134	ECDH10B_0137	yadS	151728	rev	0
tss-135	ECDH10B_0138	btuF	152566	rev	0
tss-136	ECDH10B_0139	pfs	153257	rev	0
tss-137	ECDH10B_0140	dgt	153341	fwd	0
tss-138	ECDH10B_0141	degP	154988	fwd	0
tss-139	ECDH10B_0142	cdaR	156567	fwd	0
tss-140	ECDH10B_0143	yaeH	158199	rev	0
tss-141	ECDH10B_0144	yaeI	159173	rev	0
tss-142	ECDH10B_0145	dapD	160051	rev	0
tss-143	ECDH10B_0146	glnD	162754	rev	0
tss-144	ECDH10B_0147	map	163610	rev	0
tss-145	ECDH10B_0148	tff	163816	fwd	0
tss-146	ECDH10B_0149	rpsB	163978	fwd	0
tss-147	ECDH10B_0150	tsf	164961	fwd	0
tss-148	ECDH10B_0151	pyrH	165959	fwd	0
tss-149	ECDH10B_0152	frr	166976	fwd	0
tss-150	ECDH10B_0153	dxr	167625	fwd	0
tss-151	ECDH10B_0154	ispU	169007	fwd	0
tss-152	ECDH10B_0155	cdsA	169781	fwd	0
tss-153	ECDH10B_0156	rseP	170650	fwd	0
tss-154	ECDH10B_0157	ecfK	172032	fwd	0
tss-155	ECDH10B_0158	skp	174586	fwd	0
tss-156	ECDH10B_0159	lpxD	175075	fwd	0
tss-157	ECDH10B_0160	fabZ	176205	fwd	0
tss-158	ECDH10B_0161	lpxA	176664	fwd	0
tss-159	ECDH10B_0162	lpxB	177452	fwd	0
tss-160	ECDH10B_0163	rnhB	178597	fwd	0
tss-161	ECDH10B_0164	dnaE	179230	fwd	0
tss-162	ECDH10B_0165	accA	182725	fwd	0
tss-163	ECDH10B_0166	ldcC	183783	fwd	0
tss-164	ECDH10B_0167	yaeR	185981	fwd	0
tss-165	ECDH10B_0168	tilS	186435	fwd	0
tss-166	ECDH10B_0169	rof	188036	rev	0
tss-167	ECDH10B_0170	yaeP	188229	rev	0
tss-168	ECDH10B_0171	yaeQ	188395	fwd	0
tss-169	ECDH10B_0172	yaeJ	188937	fwd	0
tss-170	ECDH10B_0173	nlpE	189373	fwd	0
tss-171	ECDH10B_0174	yaeF	191107	rev	0
tss-172	ECDH10B_0175	proS	192879	rev	0
tss-173	ECDH10B_0176	yaeB	193698	rev	0
tss-174	ECDH10B_0177	rcsF	194099	rev	0
tss-175	ECDH10B_0178	metQ	195032	rev	0
tss-176	ECDH10B_0179	metI	195725	rev	0
tss-177	ECDH10B_0180	metN	196749	rev	0
tss-178	ECDH10B_0181	gmhB	196937	fwd	0
tss-179	ECDH10B_0182	rrsH	197875	fwd	0
tss-180	ECDH10B_0183	ileV	199485	fwd	0
tss-181	ECDH10B_0184	alaV	199604	fwd	0
tss-182	ECDH10B_0185	rrlH	199863	fwd	0
tss-183	ECDH10B_0186	rrfH	202860	fwd	0
tss-184	ECDH10B_0187	aspU	203032	fwd	0
tss-185	ECDH10B_0188	dkgB	203271	fwd	0
tss-186	ECDH10B_0189	yafC	204985	rev	0
tss-187	ECDH10B_0190	yafD	205226	fwd	0
tss-188	ECDH10B_0191	yafE	206030	fwd	0
tss-189	ECDH10B_0192	mltD	208059	rev	0
tss-190	ECDH10B_0193	gloB	208886	rev	0
tss-191	ECDH10B_0194	yafS	208920	fwd	0
tss-192	ECDH10B_0195	rnhA	210106	rev	0
tss-193	ECDH10B_0196	dnaQ	210171	fwd	0
tss-194	ECDH10B_0197	aspV	211035	fwd	0
tss-195	ECDH10B_0198	yafT	211439	fwd	0
tss-196	ECDH10B_0199	yafU	213206	rev	0
tss-197	ECDH10B_0200	yafF	213294	fwd	0
tss-198	ECDH10B_0201	yafV	214293	rev	0
tss-199	ECDH10B_0202	ivy	214447	fwd	0
tss-200	ECDH10B_0203	fadE	217407	rev	0
tss-201	ECDH10B_0204	lpcA	217647	fwd	0
tss-202	ECDH10B_0205	yafJ	218431	fwd	0
tss-203	ECDH10B_0206	yafK	219909	rev	0
tss-204	ECDH10B_0207	yafQ	220343	rev	0
tss-205	ECDH10B_0208	dinJ	220606	rev	0
tss-206	ECDH10B_0209	yafL	220816	fwd	0
tss-207	ECDH10B_0210	yafM	221741	fwd	0
tss-208	ECDH10B_0211	lfhA	224174	rev	0
tss-209	ECDH10B_0212	lafU	224176	fwd	0
tss-210	ECDH10B_0213	dinB	225002	fwd	0
tss-211	ECDH10B_0214	yafN	226109	fwd	0
tss-212	ECDH10B_0215	yafO	226405	fwd	0
tss-213	ECDH10B_0216	yafP	226813	fwd	0
tss-214	ECDH10B_0217	ykfJ	227583	fwd	0
tss-215	ECDH10B_0218	prfH	227806	fwd	0
tss-216	ECDH10B_0219	pepD	229820	rev	0
tss-217	ECDH10B_0220	gpt	230081	fwd	0
tss-218	ECDH10B_0221	frsA	230631	fwd	0
tss-219	ECDH10B_0222	crl	231933	fwd	0
tss-220	ECDH10B_0223	phoE	233428	rev	0
tss-221	ECDH10B_0224	proB	233716	fwd	0
tss-222	ECDH10B_0225	proA	234831	fwd	0
tss-223	ECDH10B_0226	thrW	236199	fwd	0
tss-224	ECDH10B_0227	ykfI	236997	rev	0
tss-225	ECDH10B_0228	yafW	237335	rev	0
tss-226	ECDH10B_0229	ykfH	237575	rev	0
tss-227	ECDH10B_0230	ykfG	238060	rev	0
tss-228	ECDH10B_0231	yafX	238534	rev	0
tss-229	ECDH10B_0232	ykfF	238871	rev	0
tss-230	ECDH10B_0233	ykfB	239415	rev	0
tss-231	ECDH10B_0234	yafY	239881	rev	0
tss-232	ECDH10B_0235	ykfL	240102	rev	0
tss-233	ECDH10B_0236	ykfK	240295	rev	0
tss-234	ECDH10B_0237	yafZ	241333	rev	0
tss-235	ECDH10B_0238	ykfA	242288	rev	0
tss-236	ECDH10B_0239	perR	243510	rev	0
tss-237	ECDH10B_0240	insN-1	243570	fwd	0
tss-238	ECDH10B_0241	insI-1	243931	fwd	0
tss-239	ECDH10B_0243	insO-1	245158	fwd	0
tss-240	ECDH10B_0244	ykfC	246175	fwd	0
tss-241	ECDH10B_0245	insH-1	248445	rev	0
tss-242	ECDH10B_0246	mmuP	248653	fwd	0
tss-243	ECDH10B_0247	mmuM	250043	fwd	0
tss-244	ECDH10B_0248	afuC	252130	rev	0
tss-245	ECDH10B_0249	afuB	252504	rev	0
tss-246	ECDH10B_0250	insB-2	253009	rev	0
tss-247	ECDH10B_0251	insA-2	253203	rev	0
tss-248	ECDH10B_0252	ykgN	253690	rev	0
tss-249	ECDH10B_0253	yagB	254063	rev	0
tss-250	ECDH10B_0254	yagA	255311	rev	0
tss-251	ECDH10B_0255	yagE	255585	fwd	0
tss-252	ECDH10B_0256	yagF	256529	fwd	0
tss-253	ECDH10B_0257	yagG	258723	fwd	0
tss-254	ECDH10B_0258	yagH	260117	fwd	0
tss-255	ECDH10B_0259	yagI	263936	rev	0
tss-256	ECDH10B_0261	argF	265079	rev	0
tss-257	ECDH10B_0262	insB-3	265926	rev	0
tss-258	ECDH10B_0263	insA-3	266120	rev	0
tss-259	ECDH10B_0264	yagJ	266274	fwd	0
tss-260	ECDH10B_0265	yagK	267722	rev	0
tss-261	ECDH10B_0266	yagL	268692	rev	0
tss-262	ECDH10B_0267	yagM	269573	rev	0
tss-263	ECDH10B_0268	yagN	270353	rev	0
tss-264	ECDH10B_0269	intF	271870	rev	0
tss-265	ECDH10B_0270	yagP	272565	rev	0
tss-266	ECDH10B_0271	yagQ	273500	rev	0
tss-267	ECDH10B_0272	yagR	275708	rev	0
tss-268	ECDH10B_0273	yagS	276661	rev	0
tss-269	ECDH10B_0274	yagT	277347	rev	0
tss-270	ECDH10B_0275	yagU	277765	fwd	0
tss-271	ECDH10B_0276	ykgJ	278956	rev	0
tss-272	ECDH10B_0277	yagV	279979	rev	0
tss-273	ECDH10B_0278	yagW	281591	rev	0
tss-274	ECDH10B_0279	yagX	284106	rev	0
tss-275	ECDH10B_0280	matC	284800	rev	0
tss-276	ECDH10B_0281	matB	285445	rev	0
tss-277	ECDH10B_0282	matA	286110	rev	0
tss-278	ECDH10B_0283	ykgL	286886	fwd	0
tss-279	ECDH10B_0284	ykgO	287288	rev	0
tss-280	ECDH10B_0285	ykgM	287551	rev	0
tss-281	ECDH10B_0286	eaeH	289131	fwd	0
tss-282	ECDH10B_0287	insE-1	290056	fwd	0
tss-283	ECDH10B_0288	insF-1	290361	fwd	0
tss-284	ECDH10B_0289	ykgA	291910	rev	0
tss-285	ECDH10B_0290	ykgB	293093	rev	0
tss-286	ECDH10B_0291	ykgI	293341	rev	0
tss-287	ECDH10B_0292	ykgC	294775	rev	0
tss-288	ECDH10B_0293	ykgD	295001	fwd	0
tss-289	ECDH10B_0294	ykgE	296382	fwd	0
tss-290	ECDH10B_0295	ykgF	297112	fwd	0
tss-291	ECDH10B_0296	ykgG	298532	fwd	0
tss-292	ECDH10B_0297	ykgH	300138	rev	0
tss-293	ECDH10B_0298	betA	302021	rev	0
tss-294	ECDH10B_0299	betB	303507	rev	0
tss-295	ECDH10B_0300	betI	304108	rev	0
tss-296	ECDH10B_0301	betT	304237	fwd	0
tss-297	ECDH10B_0302	yahA	307145	fwd	0
tss-298	ECDH10B_0303	yahB	309207	rev	0
tss-299	ECDH10B_0304	yahC	309796	rev	0
tss-300	ECDH10B_0305	yahD	310054	fwd	0
tss-301	ECDH10B_0306	yahE	310699	fwd	0
tss-302	ECDH10B_0307	yahF	311552	fwd	0
tss-303	ECDH10B_0308	mhpT	314014	fwd	0
tss-304	ECDH10B_0309	yaiL	315327	fwd	0
tss-305	ECDH10B_0310	frmB	316923	rev	0
tss-306	ECDH10B_0311	frmA	318126	rev	0
tss-307	ECDH10B_0312	frmR	318436	rev	0
tss-308	ECDH10B_0313	yaiO	319397	rev	0
tss-309	ECDH10B_0315	yaiX	321427	rev	0
tss-310	ECDH10B_0316	insC-1	319861	fwd	0
tss-311	ECDH10B_0317	insD-1	320229	fwd	0
tss-312	ECDH10B_0319	yaiP	322490	rev	0
tss-313	ECDH10B_0320	yaiS	323171	rev	0
tss-314	ECDH10B_0321	tauA	323787	fwd	0
tss-315	ECDH10B_0322	tauB	324762	fwd	0
tss-316	ECDH10B_0323	tauC	325526	fwd	0
tss-317	ECDH10B_0324	tauD	326350	fwd	0
tss-318	ECDH10B_0325	hemB	328282	rev	0
tss-319	ECDH10B_0326	ykiB	328721	rev	0
tss-320	ECDH10B_0328	yaiT	328806	fwd	0
tss-321	ECDH10B_0329	insF-2	331160	rev	0
tss-322	ECDH10B_0330	insE-2	331465	rev	0
tss-323	ECDH10B_0332	yaiV	333016	fwd	0
tss-324	ECDH10B_0333	ampH	334842	rev	0
tss-325	ECDH10B_0334	sbmA	335194	fwd	0
tss-326	ECDH10B_0335	yaiW	336427	fwd	0
tss-327	ECDH10B_0336	yaiY	337888	rev	0
tss-328	ECDH10B_0337	yaiZ	338148	fwd	0
tss-329	ECDH10B_0338	ddlA	339478	rev	0
tss-330	ECDH10B_0339	iraP	339941	fwd	0
tss-331	ECDH10B_0340	phoA	340302	fwd	0
tss-332	ECDH10B_0341	psiF	341836	fwd	0
tss-333	ECDH10B_0342	adrA	342258	fwd	0
tss-334	ECDH10B_0343	proC	344199	rev	0
tss-335	ECDH10B_0344	yaiI	344319	fwd	0
tss-336	ECDH10B_0345	aroL	344960	fwd	0
tss-337	ECDH10B_0346	yaiA	345534	fwd	0
tss-338	ECDH10B_0347	aroM	345983	fwd	0
tss-339	ECDH10B_0348	yaiE	346732	fwd	0
tss-340	ECDH10B_0349	ykiA	347224	fwd	0
tss-341	ECDH10B_0350	rdgC	348574	rev	0
tss-342	ECDH10B_0351	mak	348699	fwd	0
tss-343	ECDH10B_0352	araJ	351036	rev	0
tss-344	ECDH10B_0353	sbcC	354308	rev	0
tss-345	ECDH10B_0354	sbcD	355507	rev	0
tss-346	ECDH10B_0355	phoB	355697	fwd	0
tss-347	ECDH10B_0356	phoR	356444	fwd	0
tss-348	ECDH10B_0357	brnQ	358146	fwd	0
tss-349	ECDH10B_0358	proY	359541	fwd	0
tss-350	ECDH10B_0359	malZ	361070	fwd	0
tss-351	ECDH10B_0360	acpH	363473	rev	0
tss-352	ECDH10B_0361	queA	363566	fwd	0
tss-353	ECDH10B_0362	tgt	364692	fwd	0
tss-354	ECDH10B_0363	yajC	365842	fwd	0
tss-355	ECDH10B_0364	secD	366202	fwd	0
tss-356	ECDH10B_0365	secF	368060	fwd	0
tss-357	ECDH10B_0366	yajD	369160	fwd	0
tss-358	ECDH10B_0367	tsx	370568	rev	0
tss-359	ECDH10B_0368	yajI	371406	rev	0
tss-360	ECDH10B_0369	nrdR	371557	fwd	0
tss-361	ECDH10B_0370	ribD	372010	fwd	0
tss-362	ECDH10B_0371	ribE	373202	fwd	0
tss-363	ECDH10B_0372	nusB	373692	fwd	0
tss-364	ECDH10B_0373	thiL	374189	fwd	0
tss-365	ECDH10B_0374	pgpA	375144	fwd	0
tss-366	ECDH10B_0375	yajO	376690	rev	0
tss-367	ECDH10B_0376	dxs	378732	rev	0
tss-368	ECDH10B_0377	ispA	379656	rev	0
tss-369	ECDH10B_0378	xseB	379898	rev	0
tss-370	ECDH10B_0379	thiI	380104	fwd	0
tss-371	ECDH10B_0380	yajL	382196	rev	0
tss-372	ECDH10B_0381	panE	383070	rev	0
tss-373	ECDH10B_0382	yajQ	383238	fwd	0
tss-374	ECDH10B_0383	yajR	385221	rev	0
tss-375	ECDH10B_0384	cyoE	386260	rev	0
tss-376	ECDH10B_0385	cyoD	386601	rev	0
tss-377	ECDH10B_0386	cyoC	387215	rev	0
tss-378	ECDH10B_0387	cyoB	389196	rev	0
tss-379	ECDH10B_0388	cyoA	390165	rev	0
tss-380	ECDH10B_0389	ampG	392100	rev	0
tss-381	ECDH10B_0390	yajG	392722	rev	0
tss-382	ECDH10B_0391	bolA	393027	fwd	0
tss-383	ECDH10B_0392	tig	393688	fwd	0
tss-384	ECDH10B_0393	clpP	395232	fwd	0
tss-385	ECDH10B_0394	clpX	395981	fwd	0
tss-386	ECDH10B_0395	lon	397443	fwd	0
tss-387	ECDH10B_0396	hupB	400006	fwd	0
tss-388	ECDH10B_0397	ppiD	400470	fwd	0
tss-389	ECDH10B_0398	ybaV	402492	fwd	0
tss-390	ECDH10B_0399	ybaW	402957	fwd	0
tss-391	ECDH10B_0400	queC	404102	rev	0
tss-392	ECDH10B_0401	ybaE	405867	rev	0
tss-393	ECDH10B_0402	cof	405967	fwd	0
tss-394	ECDH10B_0403	ybaO	406938	fwd	0
tss-395	ECDH10B_0404	mdlA	407426	fwd	0
tss-396	ECDH10B_0405	mdlB	409191	fwd	0
tss-397	ECDH10B_0406	glnK	411153	fwd	0
tss-398	ECDH10B_0407	amtB	411521	fwd	0
tss-399	ECDH10B_0408	tesB	413716	rev	0
tss-400	ECDH10B_0409	ybaY	413934	fwd	0
tss-401	ECDH10B_0410	ybaZ	414926	rev	0
tss-402	ECDH10B_0411	ffs	415003	fwd	0
tss-403	ECDH10B_0412	ybaA	415227	fwd	0
tss-404	ECDH10B_0413	ylaB	417172	rev	0
tss-405	ECDH10B_0414	ylaC	417806	rev	0
tss-406	ECDH10B_0415	maa	418473	rev	0
tss-407	ECDH10B_0416	hha	418863	rev	0
tss-408	ECDH10B_0417	ybaJ	419263	rev	0
tss-409	ECDH10B_0418	acrB	422958	rev	0
tss-410	ECDH10B_0419	acrA	424174	rev	0
tss-411	ECDH10B_0420	acrR	424316	fwd	0
tss-412	ECDH10B_0421	kefA	425091	fwd	0
tss-413	ECDH10B_0422	ybaM	428826	rev	0
tss-414	ECDH10B_0423	priC	429367	rev	0
tss-415	ECDH10B_0424	ybaN	429437	fwd	0
tss-416	ECDH10B_0425	apt	429967	fwd	0
tss-417	ECDH10B_0426	dnaX	430647	fwd	0
tss-418	ECDH10B_0427	ybaB	432631	fwd	0
tss-419	ECDH10B_0428	recR	432960	fwd	0
tss-420	ECDH10B_0429	htpG	433675	fwd	0
tss-421	ECDH10B_0430	adk	435730	fwd	0
tss-422	ECDH10B_0431	hemH	436610	fwd	0
tss-423	ECDH10B_0432	aes	438528	rev	0
tss-424	ECDH10B_0433	gsk	438680	fwd	0
tss-425	ECDH10B_0434	ybaL	441793	rev	0
tss-426	ECDH10B_0435	fsr	443251	rev	0
tss-427	ECDH10B_0436	ushA	443469	fwd	0
tss-428	ECDH10B_0437	ybaK	445637	rev	0
tss-429	ECDH10B_0438	sroB	445759	fwd	0
tss-430	ECDH10B_0439	ybaP	446635	rev	0
tss-431	ECDH10B_0440	ybaQ	446773	fwd	0
tss-432	ECDH10B_0441	copA	449934	rev	0
tss-433	ECDH10B_0442	ybaS	450196	fwd	0
tss-434	ECDH10B_0443	ybaT	451131	fwd	0
tss-435	ECDH10B_0444	cueR	452548	fwd	0
tss-436	ECDH10B_0445	ybbJ	453411	rev	0
tss-437	ECDH10B_0446	qmcA	454328	rev	0
tss-438	ECDH10B_0447	ybbL	454474	fwd	0
tss-439	ECDH10B_0448	ybbM	455138	fwd	0
tss-440	ECDH10B_0449	ybbN	456834	rev	0
tss-441	ECDH10B_0450	ybbO	457704	rev	0
tss-442	ECDH10B_0451	tesA	458320	rev	0
tss-443	ECDH10B_0452	ybbA	458288	fwd	0
tss-444	ECDH10B_0453	ybbP	458971	fwd	0
tss-445	ECDH10B_0454	rhsD	461816	fwd	0
tss-446	ECDH10B_0455	ybbC	466136	fwd	0
tss-447	ECDH10B_0456	ylbH	466504	fwd	0
tss-448	ECDH10B_0457	ybbD	467195	fwd	0
tss-449	ECDH10B_0458	ylbG	468571	rev	0
tss-450	ECDH10B_0459	ybbB	469781	rev	0
tss-451	ECDH10B_0460	allS	470776	rev	0
tss-452	ECDH10B_0461	allA	471006	fwd	0
tss-453	ECDH10B_0462	allR	471566	fwd	0
tss-454	ECDH10B_0463	gcl	472471	fwd	0
tss-455	ECDH10B_0464	hyi	474265	fwd	0
tss-456	ECDH10B_0465	glxR	475141	fwd	0
tss-457	ECDH10B_0466	ybbV	476051	fwd	0
tss-458	ECDH10B_0467	ybbW	476188	fwd	0
tss-459	ECDH10B_0468	allB	477702	fwd	0
tss-460	ECDH10B_0469	ybbY	479120	fwd	0
tss-461	ECDH10B_0470	glxK	480443	fwd	0
tss-462	ECDH10B_0471	ylbA	482601	rev	0
tss-463	ECDH10B_0472	allC	483847	rev	0
tss-464	ECDH10B_0473	allD	484918	rev	0
tss-465	ECDH10B_0474	fdrA	485235	fwd	0
tss-466	ECDH10B_0475	ylbE	486912	fwd	0
tss-467	ECDH10B_0476	ylbF	488182	fwd	0
tss-468	ECDH10B_0477	ybcF	488994	fwd	0
tss-469	ECDH10B_0478	purK	491149	rev	0
tss-470	ECDH10B_0479	purE	491655	rev	0
tss-471	ECDH10B_0480	lpxH	492495	rev	0
tss-472	ECDH10B_0481	ppiB	492992	rev	0
tss-473	ECDH10B_0482	cysS	493166	fwd	0
tss-474	ECDH10B_0483	ybcI	495108	rev	0
tss-475	ECDH10B_0484	ybcJ	495428	rev	0
tss-476	ECDH10B_0485	folD	496296	rev	0
tss-477	ECDH10B_0486	sfmA	496767	fwd	0
tss-478	ECDH10B_0487	sfmC	497529	fwd	0
tss-479	ECDH10B_0488	sfmD	498252	fwd	0
tss-480	ECDH10B_0489	sfmH	500891	fwd	0
tss-481	ECDH10B_0490	sfmF	501885	fwd	0
tss-482	ECDH10B_0491	fimZ	503035	rev	0
tss-483	ECDH10B_0492	argU	503278	fwd	0
tss-484	ECDH10B_0493	intD	504533	rev	0
tss-485	ECDH10B_0494	ybcC	504916	rev	0
tss-486	ECDH10B_0495	ybcD	505006	fwd	0
tss-487	ECDH10B_0496	insE-3	505388	fwd	0
tss-488	ECDH10B_0497	insF-3	505693	fwd	0
tss-489	ECDH10B_0498	renD	506617	fwd	0
tss-490	ECDH10B_0499	emrE	506870	fwd	0
tss-491	ECDH10B_0500	ybcK	507457	fwd	0
tss-492	ECDH10B_0501	ybcL	509448	fwd	0
tss-493	ECDH10B_0502	ybcM	510009	fwd	0
tss-494	ECDH10B_0503	ybcN	511021	fwd	0
tss-495	ECDH10B_0504	ninE	511476	fwd	0
tss-496	ECDH10B_0505	ybcO	511639	fwd	0
tss-497	ECDH10B_0506	rusA	511926	fwd	0
tss-498	ECDH10B_0507	ylcG	512285	fwd	0
tss-499	ECDH10B_0508	ybcQ	512511	fwd	0
