gene_name	N6	N7
AZC_0340	53	37
AZC_0341	0	0
AZC_0342	5	7
AZC_0343	1494	836
AZC_0345	17	0
AZC_0346	94	198
AZC_0347	193	707
AZC_0348	352	596
AZC_0349	29	2
AZC_0350	18	2
AZC_0351	0	0
AZC_0352	14	3
AZC_0353	17	5
AZC_0354	29	27
AZC_0355	153	540
AZC_0356	8	54
AZC_0357	7	6
AZC_0358	6	38
AZC_0359	55	134
AZC_0360	13	38
AZC_0361	0	12
AZC_0362	2	0
AZC_0364	0	2
AZC_0365	10	0
AZC_0366	0	10
AZC_0367	93	111
AZC_0368	0	0
AZC_0369	102	58
AZC_0370	0	0
AZC_0371	15	58
AZC_0372	5	35
AZC_0373	23	2
AZC_0374	8	15
AZC_0375	18	2
AZC_0376	0	15
AZC_0377	7	2
AZC_0378	18	0
AZC_0379	39	0
AZC_0381	1	3
AZC_0382	0	0
AZC_0383	65	9
AZC_0384	18	1
AZC_0385	5	0
AZC_0387	8	14
AZC_0388	0	6
AZC_0389	6	19
AZC_0390	0	0
AZC_0391	5	17
AZC_0392	1	0
AZC_0393	23	68
AZC_0394	32	62
AZC_0395	14	5
AZC_0396	24	28
AZC_0397	0	3
AZC_0398	0	0
AZC_0399	7	0
AZC_0400	108	69
AZC_0401	14	31
AZC_0402	26	46
AZC_0403	0	0
AZC_0404	0	0
AZC_0405	0	17
AZC_0406	0	0
AZC_0407	6	0
AZC_0408	15	35
AZC_0409	9	16
AZC_0410	24	67
AZC_0411	13	16
AZC_0412	6	7
AZC_0413	0	0
AZC_0414	25	55
AZC_0415	2	5
AZC_0416	0	0
AZC_0417	0	1
AZC_0418	0	5
AZC_0419	53	62
AZC_0420	18	24
AZC_0421	0	0
AZC_0422	17	0
AZC_0423	0	0
AZC_0424	161	127
AZC_0425	31	26
AZC_0426	123	367
AZC_0427	0	0
AZC_0428	33	6
AZC_0429	10	3
AZC_0430	60	33
AZC_0431	12	0
AZC_0432	93	40
AZC_0433	0	0
AZC_0435	8	14
AZC_0436	0	9
AZC_0437	76	37
AZC_0438	29	19
AZC_0439	44	197
AZC_0440	66	143
AZC_0441	0	5
AZC_0442	22	18
AZC_0443	0	0
AZC_0444	13	0
AZC_0445	78	39
AZC_0447	55	103
AZC_0448	10	0
AZC_0449	12	32
AZC_0450	0	0
AZC_0452	0	0
AZC_0453	103	313
AZC_0454	9	12
AZC_0455	10	0
AZC_0457	0	5
AZC_0458	7	0
AZC_0459	0	0
AZC_0460	66	94
AZC_0463	17	36
AZC_0464	11	14
AZC_0466	44	39
AZC_0468	14	15
AZC_0469	3	0
AZC_0470	7	79
AZC_0471	59	133
AZC_0472	81	304
AZC_0473	70	182
AZC_0474	5	0
AZC_0476	0	14
AZC_0477	4	0
AZC_0478	0	0
AZC_0479	0	0
AZC_0480	0	0
AZC_0481	10	0
AZC_0482	0	20
AZC_0483	2	97
AZC_0484	2	212
AZC_0485	244	620
AZC_0486	0	16
AZC_0487	5	1
AZC_0488	56	82
AZC_0489	28	40
AZC_0490	0	0
AZC_0491	13	0
AZC_0492	137	187
AZC_0494	12	10
AZC_0495	0	0
AZC_0496	27	19
AZC_0497	23	8
AZC_0498	1	0
AZC_0499	6	0
AZC_0500	0	0
AZC_0501	63	24
AZC_0502	17	2
AZC_0503	21	2
AZC_0504	27	15
AZC_0505	25	21
AZC_0506	10	7
AZC_0507	9	30
AZC_0508	78	96
AZC_0509	0	0
AZC_0510	10	3
AZC_0512	70	101
AZC_0514	0	9
AZC_0516	0	0
AZC_0517	0	0
AZC_0518	0	25
AZC_0520	7	0
AZC_0524	8	3
AZC_0525	114	137
AZC_0526	22	6
AZC_0529	37	0
AZC_0530	3	19
AZC_0531	9	12
AZC_0532	10	0
AZC_0534	2	4
AZC_0535	48	69
AZC_0536	0	7
AZC_0537	32	13
AZC_0538	0	0
AZC_0539	0	1
AZC_0540	0	0
AZC_0541	3	21
AZC_0542	14	7
AZC_0543	13	4
AZC_0544	21	19
AZC_0545	0	0
AZC_0546	17	18
AZC_0548	0	0
AZC_0549	0	11
AZC_0550	76	104
AZC_0551	3	6
AZC_0552	11	0
AZC_0553	2	46
AZC_0554	12	6
AZC_0555	26	9
AZC_0556	62	29
AZC_0557	0	47
AZC_0558	2	12
AZC_0559	0	0
AZC_0560	5	31
AZC_0561	27	12
AZC_0562	0	15
AZC_0563	0	3
AZC_0564	0	42
AZC_0568	14	11
AZC_0570	1	25
AZC_0571	20	22
AZC_0573	0	0
AZC_0574	0	1
AZC_0575	141	173
AZC_0576	37	48
AZC_0577	27	55
AZC_0578	1	5
AZC_0579	39	20
AZC_0581	0	15
AZC_0583	13	38
AZC_0585	21	95
AZC_0586	0	0
AZC_0587	15	72
AZC_0588	6	57
AZC_0589	0	0
AZC_0590	0	0
AZC_0591	0	0
AZC_0592	0	0
AZC_0614	0	1
AZC_0615	43	27
AZC_0616	2	0
AZC_0617	77	41
AZC_0619	11	34
AZC_0621	67	44
AZC_0622	1	17
AZC_0626	0	0
AZC_0630	0	6
AZC_0631	0	0
AZC_0638	0	0
AZC_0642	3	0
AZC_0656	14	24
AZC_0657	14	0
AZC_0658	0	9
AZC_0659	0	7
AZC_0660	42	25
AZC_0664	16	24
AZC_0665	4	21
AZC_0666	0	0
AZC_0667	0	0
AZC_0668	0	7
AZC_0669	24	88
AZC_0670	0	28
AZC_0671	15	6
AZC_0673	50	19
AZC_0674	308	431
AZC_0675	0	8
AZC_0676	109	109
AZC_0677	46	14
AZC_0678	0	0
AZC_0679	0	0
AZC_0680	13	0
AZC_0682	0	0
AZC_0683	0	0
AZC_0684	6	0
AZC_0687	0	0
AZC_0688	0	0
AZC_0691	9	16
AZC_0692	5	0
AZC_0693	48	15
AZC_0694	0	0
AZC_0695	8	1
AZC_0696	0	0
AZC_0697	9	3
AZC_0698	0	0
AZC_0699	177	624
AZC_0700	5	0
AZC_0701	17	8
AZC_0702	6	0
AZC_0703	0	0
AZC_0704	8	0
AZC_0705	3	0
AZC_0706	4	20
AZC_0708	7	0
AZC_0709	45	7
AZC_0710	37	42
AZC_0711	0	5
AZC_0712	10	12
AZC_0713	1	0
AZC_0714	6	0
AZC_0715	217	368
AZC_0716	15	12
AZC_0717	13	7
AZC_0718	394	411
AZC_0719	24	2
AZC_0720	0	0
AZC_0721	7	0
AZC_0722	42	81
AZC_0723	0	23
AZC_0724	0	1
AZC_0725	3	10
AZC_0726	2	0
AZC_0727	0	0
AZC_0728	0	0
AZC_0729	341	440
AZC_0731	55	8
AZC_0732	9	13
AZC_0733	13	11
AZC_0734	79	27
AZC_0735	1	0
AZC_0736	3	0
AZC_0737	50	14
AZC_0738	125	76
AZC_0739	12	6
AZC_0740	29	0
AZC_0741	49	2
AZC_0743	4	4
AZC_0744	15	4
AZC_0745	36	7
AZC_0746	2	8
AZC_0747	105	136
AZC_0748	19	6
AZC_0749	0	1
AZC_0750	3	0
AZC_0751	13	9
AZC_0752	62	41
AZC_0753	58	140
AZC_0754	16	5
AZC_0755	18	113
AZC_0756	31	12
AZC_0757	58	59
AZC_0758	6	1
AZC_0760	0	0
AZC_0761	0	0
AZC_0762	0	0
AZC_0763	0	0
AZC_0765	3	21
AZC_0766	0	0
AZC_0767	0	11
AZC_0768	12	0
AZC_0769	0	0
AZC_0771	4	0
AZC_0772	0	0
AZC_0773	0	0
AZC_0774	0	0
AZC_0775	0	4
AZC_0776	2	0
AZC_0777	22	22
AZC_0778	2	21
AZC_0779	9	55
AZC_0780	61	66
AZC_0782	0	4
AZC_0783	0	0
AZC_0784	0	0
AZC_0785	0	0
AZC_0786	0	0
AZC_0787	0	0
AZC_0788	0	0
AZC_0789	0	0
AZC_0790	0	10
AZC_0792	0	1
AZC_0793	8	8
AZC_0794	48	34
AZC_0795	0	0
AZC_0797	0	10
AZC_0798	0	0
AZC_0799	3	29
AZC_0800	24	14
AZC_0801	0	0
AZC_0802	24	27
AZC_0803	0	16
AZC_0804	3	31
AZC_0805	5	5
AZC_0806	8	0
AZC_0807	2	8
AZC_0808	0	6
AZC_0809	12	0
AZC_0810	0	0
AZC_0811	0	0
AZC_0812	9	47
AZC_0815	2	255
AZC_0816	21	137
AZC_0817	11	5
AZC_0818	0	20
AZC_0819	0	0
AZC_0820	0	0
AZC_0821	212	178
AZC_0822	135	93
AZC_0823	58	57
AZC_0824	0	24
AZC_0825	0	0
AZC_0826	0	0
AZC_0827	6	0
AZC_0828	5	11
AZC_0829	0	0
AZC_0830	3	0
AZC_0831	6	4
AZC_0832	0	0
AZC_0833	0	0
AZC_0835	0	0
AZC_0836	0	0
AZC_0837	0	0
AZC_0838	0	0
AZC_0839	0	0
AZC_0840	0	0
AZC_0841	0	0
AZC_0842	0	0
AZC_0843	0	0
AZC_0844	0	0
AZC_0845	0	8
AZC_0846	0	0
AZC_0847	0	0
AZC_0848	0	0
AZC_0849	0	0
AZC_0850	0	0
AZC_0851	0	19
AZC_0852	0	0
AZC_0853	0	0
AZC_0854	0	0
AZC_0855	0	0
AZC_0856	0	0
AZC_0857	1	0
AZC_0858	0	0
AZC_0859	0	0
AZC_0860	0	0
AZC_0861	130	123
AZC_0862	2	35
AZC_0863	71	70
AZC_0864	61	78
AZC_0865	7	0
AZC_0866	120	135
AZC_0867	0	0
AZC_0868	0	0
AZC_0869	0	0
AZC_0870	10	32
AZC_0871	5	19
AZC_0872	10	35
AZC_0873	9	95
AZC_0874	1	0
AZC_0875	0	0
AZC_0876	0	1
AZC_0877	283	2229
AZC_0879	0	0
AZC_0880	38	12
AZC_0888	302	443
AZC_0889	33	18
AZC_0890	0	0
AZC_0891	14	8
AZC_0892	0	0
AZC_0893	15	32
AZC_0894	1	11
AZC_0895	25	54
AZC_0897	12	0
AZC_0898	12	20
AZC_0899	185	165
AZC_0900	41	24
AZC_0901	196	184
AZC_0902	303	508
AZC_0903	18	26
AZC_0904	54	16
AZC_0905	0	0
AZC_0906	0	0
AZC_0907	19	0
AZC_0908	5	0
AZC_0909	0	0
AZC_0910	0	6
AZC_0911	110	71
AZC_0913	20	3
AZC_0914	6	0
AZC_0915	0	8
AZC_0916	1	3
AZC_0917	0	0
AZC_0918	11	32
AZC_0919	5	10
AZC_0922	0	9
AZC_0923	8	0
AZC_0924	4	0
AZC_0925	1	0
AZC_0926	0	0
AZC_0927	15	3
AZC_0928	27	18
AZC_0929	7	25
AZC_0930	0	0
AZC_0931	35	12
AZC_0932	54	43
AZC_0933	10	51
AZC_0934	8	5
AZC_0935	73	172
AZC_0936	6	8
AZC_0937	0	0
AZC_0938	36	31
AZC_0939	9	5
AZC_0941	10	7
AZC_0944	10	4
AZC_0945	14	23
AZC_0946	13	0
AZC_0948	0	21
AZC_0949	7	9
AZC_0950	4	8
AZC_0951	0	7
AZC_0953	5	1
AZC_0955	0	0
AZC_0956	0	21
AZC_0957	9	22
AZC_0958	0	0
AZC_0959	991	1432
AZC_0960	11	18
AZC_0961	49	12
AZC_0962	0	5
AZC_0963	11	16
AZC_0964	7	50
AZC_0966	0	6
AZC_0967	165	106
AZC_0968	70	42
AZC_0969	12	3
AZC_0970	8	22
AZC_0971	3	62
AZC_0972	2	11
AZC_0973	2	0
AZC_0974	1	0
AZC_0976	10	7
AZC_0977	8	0
AZC_0978	10	21
AZC_0979	0	35
AZC_0980	43	74
AZC_0981	11	24
AZC_0982	106	227
AZC_0983	646	799
AZC_0984	327	113
AZC_0985	13	0
AZC_0986	2	4
AZC_0987	0	0
AZC_0988	17	23
AZC_0989	10	14
AZC_0990	11	0
AZC_0991	37	17
AZC_0992	279	106
AZC_0994	0	9
AZC_0995	0	0
AZC_0996	0	2
AZC_0997	525	348
AZC_0998	2	5
AZC_0999	0	1
AZC_1000	0	0
AZC_1002	175	71
AZC_1004	6	0
AZC_1005	22	6
AZC_1006	18	33
AZC_1007	0	0
AZC_1009	32	47
AZC_1011	10	8
AZC_1013	41	8
AZC_1016	69	27
AZC_1017	5	1
AZC_1018	38	1
AZC_1019	10	1
AZC_1021	319	316
AZC_1022	4	0
AZC_1023	0	0
AZC_1024	34	36
AZC_1025	5	18
AZC_1026	3	0
AZC_1027	0	0
AZC_1028	3	0
AZC_1030	0	12
AZC_1031	0	6
AZC_1032	18	10
AZC_1033	48	59
AZC_1035	0	0
AZC_1048	0	10
AZC_1051	0	0
AZC_1052	5	1
AZC_1054	7	11
AZC_1055	0	0
AZC_1056	0	0
AZC_1057	5	0
AZC_1059	0	3
AZC_1060	1	0
AZC_1062	8	0
AZC_1063	0	0
AZC_1064	5	2
AZC_1065	22	0
AZC_1066	68	58
AZC_1067	13	0
AZC_1068	0	0
AZC_1069	8	66
AZC_1070	14	81
AZC_1071	0	10
AZC_1072	0	6
AZC_1073	10	20
AZC_1074	9	6
AZC_1076	1	0
AZC_1078	11	3
AZC_1080	26	11
AZC_1081	27	29
AZC_1082	4	0
AZC_1083	23	0
AZC_1084	147	298
AZC_1085	249	380
AZC_1087	0	0
AZC_1088	0	0
AZC_1089	0	0
AZC_1090	3	25
AZC_1091	11	64
AZC_1092	139	218
AZC_1093	93	312
AZC_1094	38	59
AZC_1095	2	1
AZC_1096	15	17
AZC_1097	1	0
AZC_1098	0	0
AZC_1099	11	9
AZC_1100	11	8
AZC_1101	0	18
AZC_1102	6	8
AZC_1103	0	46
AZC_1104	1	0
AZC_1105	0	40
AZC_1106	0	0
AZC_1107	0	0
AZC_1109	14	8
AZC_1110	0	0
AZC_1111	9	0
AZC_1112	25	0
AZC_1113	28	46
AZC_1114	6	0
AZC_1115	0	10
AZC_1116	0	13
AZC_1117	0	7
AZC_1118	5	0
AZC_1119	0	8
AZC_1120	0	0
AZC_1121	13	6
AZC_1122	29	22
AZC_1123	53	79
AZC_1124	0	2
AZC_1125	7	17
AZC_1126	2	8
AZC_1127	0	42
AZC_1128	1	6
AZC_1129	18	34
AZC_1130	0	23
AZC_1136	12	13
AZC_1137	14	12
AZC_1138	0	1
AZC_1139	30	29
AZC_1140	1	9
AZC_1141	0	5
AZC_1142	143	94
AZC_1143	14	25
AZC_1144	0	0
AZC_1145	24	31
AZC_1147	6	0
AZC_1148	65	73
AZC_1150	2	4
AZC_1151	0	0
AZC_1152	4	0
AZC_1153	13	8
AZC_1154	0	0
AZC_1155	8	45
AZC_1156	20	108
AZC_1157	18	24
AZC_1158	2	42
AZC_1159	177	86
AZC_1160	132	119
AZC_1161	1	22
AZC_1162	32	26
AZC_1163	1	51
AZC_1164	0	23
AZC_1165	67	15
AZC_1166	1	22
AZC_1167	0	7
AZC_1168	10	3
AZC_1169	0	0
AZC_1170	0	0
AZC_1171	0	0
AZC_1172	0	4
AZC_1173	0	0
AZC_1174	4	0
AZC_1176	15	0
AZC_1177	0	0
AZC_1178	0	0
AZC_1179	0	0
AZC_1181	0	0
AZC_1182	0	0
AZC_1183	1	0
AZC_1184	0	0
AZC_1185	0	0
AZC_1186	0	0
AZC_1187	5	10
AZC_1188	0	0
AZC_1189	0	0
AZC_1192	0	0
AZC_1193	0	0
AZC_1194	2	0
AZC_1195	143	195
AZC_1196	4	23
AZC_1197	14	29
AZC_1198	83	126
AZC_1200	200	168
AZC_1201	110	88
AZC_1202	7	14
AZC_1203	5	18
AZC_1204	14	10
AZC_1206	0	2
AZC_1208	69	18
AZC_1209	41	54
AZC_1210	0	0
AZC_1211	0	3
AZC_1213	1301	1607
AZC_1214	5	6
AZC_1215	0	0
AZC_1216	22	38
AZC_1217	0	0
AZC_1218	3	0
AZC_1220	8	0
AZC_1221	20	7
AZC_1222	0	9
AZC_1223	0	0
AZC_1224	46	0
AZC_1225	2	31
AZC_1226	4	5
AZC_1227	78	16
AZC_1228	0	0
AZC_1229	0	0
AZC_1231	56	26
AZC_1232	4	0
AZC_1233	5	4
AZC_1234	8	0
AZC_1235	0	0
AZC_1236	0	0
AZC_1237	18	0
AZC_1238	0	6
AZC_1239	0	0
AZC_1240	0	0
AZC_1241	9	6
AZC_1242	205	460
AZC_1243	10	42
AZC_1245	0	6
AZC_1246	171	99
AZC_1247	0	0
AZC_1249	6	5
AZC_1250	0	0
AZC_1251	0	0
AZC_1252	14	4
AZC_1253	3	4
AZC_1255	3	8
AZC_1256	1	0
AZC_1257	11	0
AZC_1260	0	0
AZC_1261	21	39
AZC_1262	6	5
AZC_1264	21	15
AZC_1267	6	0
AZC_1268	400	376
AZC_1270	0	0
AZC_1271	0	9
AZC_1272	0	0
AZC_1273	3	11
AZC_1275	0	0
AZC_1276	0	0
AZC_1277	0	0
AZC_1278	0	0
AZC_1279	0	0
AZC_1280	4	0
AZC_1281	0	5
AZC_1282	3	0
AZC_1283	0	0
AZC_1284	0	4
AZC_1285	18	0
AZC_1286	3	0
AZC_1287	0	0
AZC_1288	0	0
AZC_1289	0	0
AZC_1290	0	0
AZC_1292	0	0
AZC_1293	0	0
AZC_1294	0	0
AZC_1296	0	0
AZC_1297	0	0
AZC_1299	4	0
AZC_1300	4	32
AZC_1301	0	4
AZC_1302	2	0
AZC_1303	77	126
AZC_1304	4	34
AZC_1305	18	2
AZC_1306	9	25
AZC_1307	0	0
AZC_1309	0	0
AZC_1310	0	11
AZC_1312	0	0
AZC_1313	0	2
AZC_1315	0	0
AZC_1317	0	8
AZC_1318	0	0
AZC_1319	0	9
AZC_1320	0	0
AZC_1321	0	0
AZC_1322	0	0
AZC_1323	0	0
AZC_1325	0	0
AZC_1326	7	0
AZC_1328	0	0
AZC_1329	0	0
AZC_1330	0	0
AZC_1333	0	0
AZC_1334	0	0
AZC_1335	0	0
AZC_1337	0	0
AZC_1338	0	0
AZC_1339	5	0
AZC_1340	0	0
AZC_1341	4	2
AZC_1343	0	8
AZC_1344	0	7
AZC_1346	8	0
AZC_1347	0	1
AZC_1348	0	0
AZC_1349	0	0
AZC_1350	0	0
AZC_1351	0	0
AZC_1352	272	19
AZC_1353	0	0
AZC_1354	0	0
AZC_1355	0	0
AZC_1356	0	0
AZC_1357	0	0
AZC_1358	0	0
AZC_1359	0	0
AZC_1360	3	0
AZC_1362	2	8
AZC_1363	0	0
AZC_1365	0	3
AZC_1366	0	0
AZC_1367	23	0
AZC_1368	70	26
AZC_1369	0	0
AZC_1370	0	0
AZC_1371	0	0
AZC_1372	0	0
AZC_1373	0	0
AZC_1374	0	0
AZC_1375	0	0
AZC_1377	0	1
AZC_1379	0	0
AZC_1381	0	0
AZC_1383	0	0
AZC_1384	0	0
AZC_1385	0	0
AZC_1386	0	0
AZC_1387	1	0
AZC_1388	36	55
AZC_1389	0	0
AZC_1390	0	6
AZC_1391	0	0
AZC_1392	6	0
AZC_1393	0	0
AZC_1394	0	0
AZC_1395	77	94
AZC_1396	99	69
AZC_1397	0	0
AZC_1398	223	75
AZC_1399	25	0
AZC_1400	0	0
AZC_1401	0	0
AZC_1402	0	3
AZC_1403	4	0
AZC_1404	0	7
AZC_1405	17	14
AZC_1406	0	3
AZC_1408	4	11
AZC_1410	0	0
AZC_1411	0	0
AZC_1412	0	0
AZC_1413	0	10
AZC_1414	0	18
AZC_1415	6	0
AZC_1416	0	0
AZC_1417	6	0
AZC_1418	1	0
AZC_1419	0	0
AZC_1420	0	7
AZC_1421	29	36
AZC_1422	0	11
AZC_1424	0	4
AZC_1425	0	9
AZC_1426	0	11
AZC_1427	0	0
AZC_1428	0	25
AZC_1429	3	0
AZC_1430	0	0
AZC_1432	0	0
AZC_1434	165	142
AZC_1435	89	131
AZC_1436	0	0
AZC_1437	0	0
AZC_1438	0	0
AZC_1439	4	0
AZC_1440	1	0
AZC_1441	8	3
AZC_1442	0	6
AZC_1443	0	11
AZC_1444	0	0
AZC_1446	7	0
AZC_1447	0	0
AZC_1449	0	0
AZC_1450	0	0
AZC_1451	7	1
AZC_1452	5	0
AZC_1453	0	0
AZC_1454	0	6
AZC_1455	0	0
AZC_1456	441	73
AZC_1458	0	9
AZC_1459	82	73
AZC_1460	0	0
AZC_1461	25	40
AZC_1462	29	6
AZC_1463	15	21
AZC_1464	3	0
AZC_1465	113	60
AZC_1466	11	0
AZC_1469	498	289
AZC_1470	158	93
AZC_1472	55	10
AZC_1473	10	0
AZC_1474	5	13
AZC_1475	8	0
AZC_1476	52	41
AZC_1477	276	583
AZC_1478	41	85
AZC_1479	0	0
AZC_1480	0	0
AZC_1481	0	0
AZC_1482	0	8
AZC_1483	5	7
AZC_1484	10	3
AZC_1485	16	0
AZC_1486	0	0
AZC_1487	55	67
AZC_1488	11	0
AZC_1489	0	13
AZC_1490	0	4
AZC_1491	8	4
AZC_1493	11	0
AZC_1494	20	0
AZC_1495	1	0
AZC_1496	0	0
AZC_1498	5	7
AZC_1499	0	0
AZC_1500	0	0
AZC_1501	0	0
AZC_1502	5	0
AZC_1503	0	14
AZC_1504	16	17
AZC_1505	11	71
AZC_1507	10	0
AZC_1508	11	9
AZC_1509	20	5
AZC_1510	10	0
AZC_1511	13	0
AZC_1512	0	0
AZC_1513	0	0
AZC_1514	0	0
AZC_1515	0	0
AZC_1516	0	0
AZC_1518	31	40
AZC_1519	56	39
AZC_1520	51	68
AZC_1521	0	33
AZC_1522	22	33
AZC_1523	19	2
AZC_1524	163	235
AZC_1525	81	91
AZC_1526	72	92
AZC_1527	0	3
AZC_1528	6	5
AZC_1529	0	0
AZC_1530	1	6
AZC_1531	22	25
AZC_1532	0	0
AZC_1533	0	9
AZC_1534	0	0
AZC_1536	27	24
AZC_1537	26	36
