gene_name	EcoliMG1655_LBWB_1	EcoliMG1655_LBWB_2	EcoliMG1655_synnifI4_1	EcoliMG1655_synnifI4_2	N1	N2
atoC_locusTag_b2220	59	38	171	52	0	0
atoD_locusTag_b2221	0	0	6	9	0	3
atoE_locusTag_b2223	1	0	19	27	0	44
atoS_locusTag_b2219	55	36	58	21	0	19
atpA_locusTag_b3734	5450	2558	9279	3870	36	874
atpB_locusTag_b3738	1399	575	1533	922	34	302
atpC_locusTag_b3731	773	349	1224	475	28	153
atpD_locusTag_b3732	4195	1930	7559	3546	104	620
atpE_locusTag_b3737	1197	469	1488	1916	81	573
atpF_locusTag_b3736	1746	576	2147	900	28	272
atpG_locusTag_b3733	2167	955	3695	1527	42	365
atpH_locusTag_b3735	812	338	1385	586	33	185
atpI_locusTag_b3739	333	285	285	204	6	75
avtA_locusTag_b3572	635	242	1735	534	0	136
azoR_locusTag_b1412	118	19	444	68	0	112
azuC_locusTag_b4663	9	0	14	0	4	12
bacA_locusTag_b3057	187	102	162	184	10	80
baeR_locusTag_b2079	316	104	494	119	12	200
baeS_locusTag_b2078	79	6	247	71	3	25
bamA_locusTag_b0177	4887	1770	6584	3022	177	1439
bamB_locusTag_b2512	1605	561	2066	1254	36	416
bamC_locusTag_b2477	2027	949	3409	1831	250	944
bamD_locusTag_b2595	1655	629	2199	866	85	609
bamE_locusTag_b2617	708	251	523	121	40	844
barA_locusTag_b2786	912	280	854	488	37	80
basR_locusTag_b4113	37	50	92	54	0	53
basS_locusTag_b4112	175	28	400	151	0	33
bax_locusTag_b3570	1468	326	1939	1035	34	505
bcp_locusTag_b2480	711	139	834	265	4	193
bcr_locusTag_b2182	528	203	839	608	36	252
bcsA_locusTag_b3533	47	14	128	47	5	53
bcsB_locusTag_b3532	60	18	71	22	0	8
bcsC_locusTag_b3530	262	105	946	584	3	107
bcsE_locusTag_b3536	287	74	1545	319	79	257
bcsF_locusTag_b3537	0	0	0	0	0	2
bcsG_locusTag_b3538	81	36	570	180	0	38
bcsQ_locusTag_b3534	19	0	151	4	0	12
bcsZ_locusTag_b3531	10	15	43	45	4	5
bdcA_locusTag_b4249	97	48	60	35	14	47
bdcR_locusTag_b4251	141	29	120	83	0	73
bdm_locusTag_b1481	76	98	486	282	9	0
beeE_locusTag_b1151	12	0	20	0	0	0
bepA_locusTag_b2494	785	246	1658	681	47	525
betA_locusTag_b0311	19	17	350	81	0	0
betB_locusTag_b0312	86	0	265	61	0	12
betI_locusTag_b0313	39	0	97	0	0	0
betT_locusTag_b0314	154	57	302	109	5	60
bfd_locusTag_b3337	22	10	0	70	0	3
bfr_locusTag_b3336	1078	273	8401	5045	13	155
bglA_locusTag_b2901	668	420	1493	787	66	750
bglB_locusTag_b3721	0	0	0	13	0	1
bglF_locusTag_b3722	14	0	1	5	3	19
bglG_locusTag_b3723	0	0	0	6	0	0
bglH_locusTag_b3720	18	0	0	0	0	1
bglJ_locusTag_b4366	11	0	67	43	0	27
bglX_locusTag_b2132	497	182	666	455	28	377
bhsA_locusTag_b1112	108	153	96	62	41	1078
bioA_locusTag_b0774	26	41	478	259	5	29
bioB_locusTag_b0775	25	14	461	219	0	9
bioC_locusTag_b0777	49	22	231	131	0	0
bioD_locusTag_b0778	42	10	383	154	0	9
bioF_locusTag_b0776	64	40	710	514	0	55
bioH_locusTag_b3412	145	22	239	153	26	35
birA_locusTag_b3973	544	284	972	729	30	345
bisC_locusTag_b3551	404	267	984	493	22	208
blc_locusTag_b4149	20	0	334	140	3	28
blr_locusTag_b4409	154	106	208	246	0	87
bluF_locusTag_b1163	171	29	503	264	12	46
bluR_locusTag_b1162	600	376	1371	534	28	316
bolA_locusTag_b0435	485	108	1780	1413	32	288
borD_locusTag_b0557	552	261	37	0	0	14
brnQ_locusTag_b0401	2816	1360	4015	2174	142	1175
bsmA_locusTag_b4189	53	10	279	77	4	55
bssR_locusTag_b0836	7773	2170	24009	13993	362	7585
bssS_locusTag_b1060	572	262	868	489	56	844
btuB_locusTag_b3966	625	300	417	132	20	199
btuC_locusTag_b1711	203	195	507	126	7	76
btuD_locusTag_b1709	369	194	1335	649	6	140
btuE_locusTag_b1710	236	129	1636	866	27	126
btuF_locusTag_b0158	89	65	216	75	3	32
btuR_locusTag_b1270	309	108	260	167	15	154
cadA_locusTag_b4131	0	7	28	10	0	11
cadB_locusTag_b4132	9	0	0	10	0	10
cadC_locusTag_b4133	174	55	303	78	8	144
caiA_locusTag_b0039	103	177	91	77	6	74
caiB_locusTag_b0038	108	7	107	62	0	53
caiC_locusTag_b0037	93	23	52	40	0	23
caiD_locusTag_b0036	8	0	0	0	0	3
caiE_locusTag_b0035	0	0	15	0	0	17
caiF_locusTag_b0034	64	19	131	93	8	52
caiT_locusTag_b0040	0	11	46	18	0	16
can_locusTag_b0126	588	226	1367	382	8	35
carA_locusTag_b0032	1590	550	467	359	0	64
carB_locusTag_b0033	3729	1584	1472	790	28	92
casA_locusTag_b2760	49	12	44	32	6	22
casB_locusTag_b2759	20	0	18	0	0	4
casC_locusTag_b2758	32	9	105	56	0	52
casD_locusTag_b2757	7	12	22	16	0	13
casE_locusTag_b2756	4	14	27	32	2	27
cbdA_locusTag_b0978	112	95	1580	906	0	19
cbdB_locusTag_b0979	49	43	1188	752	0	31
cbdX_locusTag_b4592	0	0	3	0	0	0
cbeA_locusTag_b2004	0	0	0	0	0	0
cbl_locusTag_b1987	15126	9153	24599	11487	617	10389
cbpA_locusTag_b1000	949	365	6657	2363	27	327
cbpM_locusTag_b0999	422	254	3109	1104	26	71
cbrA_locusTag_b3690	45	23	63	38	0	5
cbrB_locusTag_b3716	14	20	27	7	0	42
cbrC_locusTag_b3717	35	17	82	47	2	13
cbtA_locusTag_b2005	0	0	0	0	0	0
cca_locusTag_b3056	1171	459	2440	1319	52	413
ccmA_locusTag_b2201	101	33	116	55	0	14
ccmB_locusTag_b2200	46	28	9	0	0	6
ccmC_locusTag_b2199	57	30	63	21	2	25
ccmD_locusTag_b2198	0	0	0	13	0	0
ccmE_locusTag_b2197	14	5	34	34	0	8
ccmF_locusTag_b2196	110	44	122	57	0	70
ccmH_locusTag_b2194	118	99	158	124	0	0
cdaR_locusTag_b0162	119	25	86	31	9	30
cdd_locusTag_b2143	237	105	504	251	66	1068
cdh_locusTag_b3918	85	28	33	24	2	15
cdsA_locusTag_b0175	416	196	468	417	14	199
cedA_locusTag_b1731	66	0	89	90	0	26
cfa_locusTag_b1661	1405	704	9079	4238	440	1863
chaA_locusTag_b1216	353	61	525	162	4	165
chaB_locusTag_b1217	29	0	250	86	14	68
chaC_locusTag_b1218	3504	1574	6715	4595	415	4002
chbA_locusTag_b1736	46	0	47	30	22	24
chbB_locusTag_b1738	7	71	33	4	5	17
chbC_locusTag_b1737	33	30	99	16	0	36
chbF_locusTag_b1734	0	0	0	0	7	16
chbG_locusTag_b1733	189	101	293	129	41	228
chbR_locusTag_b1735	62	0	96	69	0	53
cheA_locusTag_b1888	39	9	2	3	0	7
cheB_locusTag_b1883	24	0	15	25	0	5
cheR_locusTag_b1884	45	0	26	20	0	25
cheW_locusTag_b1887	3	0	29	10	0	0
cheY_locusTag_b1882	8	0	21	0	0	18
cheZ_locusTag_b1881	24	7	48	60	0	36
chiA_locusTag_b3338	438	188	860	330	43	192
chiP_locusTag_b0681	12	3	40	0	0	0
chiQ_locusTag_b0682	63	31	19	17	1	32
chiX_locusTag_b4585	23	12	68	13	2	24
cho_locusTag_b1741	569	259	814	323	39	498
chpB_locusTag_b4225	18	28	23	70	14	35
chpS_locusTag_b4224	2	0	0	0	0	11
chrR_locusTag_b3713	278	125	813	200	3	99
cirA_locusTag_b2155	181	49	133	78	0	48
citA_locusTag_b0619	168	78	315	177	32	203
citB_locusTag_b0620	50	11	81	64	4	47
citC_locusTag_b0618	0	0	0	0	0	5
citD_locusTag_b0617	0	0	0	0	0	0
citE_locusTag_b0616	0	0	0	0	0	1
citF_locusTag_b0615	10	3	10	0	0	8
citG_locusTag_b0613	0	0	0	0	0	0
citT_locusTag_b0612	15	16	50	9	0	3
citX_locusTag_b0614	0	0	0	0	0	0
clcA_locusTag_b0155	440	195	956	668	10	246
clcB_locusTag_b1592	90	83	102	24	0	20
clpA_locusTag_b0882	5358	2229	15610	7447	1308	8368
clpB_locusTag_b2592	7912	2963	4614	2658	292	8285
clpP_locusTag_b0437	1351	294	2059	898	108	1350
clpS_locusTag_b0881	407	268	1077	384	25	168
clpX_locusTag_b0438	3873	2136	9091	4115	595	4376
clsA_locusTag_b1249	939	360	1337	586	107	626
clsB_locusTag_b0789	94	27	913	488	0	61
clsC_locusTag_b1046	295	62	907	275	31	98
cmk_locusTag_b0910	785	309	825	536	9	169
cmoA_locusTag_b1870	149	164	443	128	14	106
cmoB_locusTag_b1871	507	180	648	344	0	177
cmtA_locusTag_b2933	16	0	5	10	0	3
cmtB_locusTag_b2934	0	0	0	0	0	0
cnu_locusTag_b1625	79	15	351	110	0	58
coaA_locusTag_b3974	655	279	390	280	20	116
coaD_locusTag_b3634	77	34	182	165	5	33
coaE_locusTag_b0103	233	82	266	166	3	141
cobB_locusTag_b1120	816	330	1013	492	10	120
cobC_locusTag_b0638	111	100	247	64	5	4
cobS_locusTag_b1992	14	49	122	51	9	130
cobT_locusTag_b1991	188	188	289	202	77	247
cobU_locusTag_b1993	120	48	130	103	20	87
codA_locusTag_b0337	1928	825	2212	1033	9	79
codB_locusTag_b0336	669	391	778	365	0	0
cof_locusTag_b0446	154	28	59	52	0	29
cohE_locusTag_b1145	64	87	205	91	8	61
copA_locusTag_b0484	764	217	3552	2402	83	271
corA_locusTag_b3816	558	134	1074	465	11	276
cpdA_locusTag_b3032	608	220	854	425	67	206
cpdB_locusTag_b4213	191	63	247	135	31	99
cpsB_locusTag_b2049	40	0	12	29	0	36
cpsG_locusTag_b2048	36	6	51	0	0	0
cptA_locusTag_b2896	448	183	482	343	2	278
cpxA_locusTag_b3911	1063	430	2566	1875	73	197
cpxP_locusTag_b4484	2780	946	4056	1826	81	2338
cpxR_locusTag_b3912	480	200	764	213	20	167
cra_locusTag_b0080	1427	593	2239	1121	83	619
creA_locusTag_b4397	144	64	212	111	1	30
creB_locusTag_b4398	93	28	196	86	19	73
creC_locusTag_b4399	237	74	347	190	0	62
creD_locusTag_b4400	70	26	70	27	8	26
crfC_locusTag_b4109	127	51	358	77	8	164
crl_locusTag_b0240_1	77	15	143	109	0	47
crl_locusTag_b0240_2	530	123	1043	639	6	158
croE_locusTag_b1146	0	0	0	0	0	0
crp_locusTag_b3357	1658	613	2364	1473	140	1321
crr_locusTag_b2417	1759	481	3014	886	114	568
csdA_locusTag_b2810	392	161	616	230	3	182
csdE_locusTag_b2811	253	84	319	105	0	33
csgA_locusTag_b1042	25	0	13	0	5	12
csgB_locusTag_b1041	0	0	0	0	0	4
csgC_locusTag_b1043	19	0	0	13	0	8
csgD_locusTag_b1040	31	0	234	133	19	128
csgE_locusTag_b1039	0	0	35	7	0	24
csgF_locusTag_b1038	0	8	14	8	0	0
csgG_locusTag_b1037	70	18	80	26	25	3
csiD_locusTag_b2659	46	15	194	196	5	114
csiE_locusTag_b2535	65	100	452	332	0	49
csiR_locusTag_b2664	316	170	769	339	0	119
cspA_locusTag_b3556	51335	18279	33158	17682	1945	15574
cspB_locusTag_b1557	19334	8306	17788	6885	409	2217
cspC_locusTag_b1823	6208	1420	6603	1977	78	627
cspD_locusTag_b0880	667	87	817	168	73	171
cspE_locusTag_b0623	7760	2091	5789	1753	290	2079
cspF_locusTag_b1558	1060	528	291	99	0	67
cspG_locusTag_b0990	14430	4822	10423	3491	419	4409
cspH_locusTag_b0989	768	315	49	12	0	45
cspI_locusTag_b1552	1320	666	8038	3714	75	588
csrA_locusTag_b2696	3411	1217	6181	3602	76	1034
csrB_locusTag_b4408	7138	1709	73929	80822	4336	46335
csrC_locusTag_b4457	7006	1483	88253	50014	3280	14072
csrD_locusTag_b3252	1118	444	2015	702	11	303
cstA_locusTag_b0598	232	158	280	188	7	38
cueO_locusTag_b0123	125	42	480	532	23	163
cueR_locusTag_b0487	299	97	1989	750	22	289
curA_locusTag_b1449	240	140	1429	1160	0	30
cusA_locusTag_b0575	68	51	179	55	0	67
cusB_locusTag_b0574	35	0	25	22	0	4
cusC_locusTag_b0572	58	29	29	0	0	2
cusF_locusTag_b0573	0	0	6	0	0	0
cusR_locusTag_b0571	76	16	94	93	6	3
cusS_locusTag_b0570	256	66	435	60	0	17
cutA_locusTag_b4137	73	45	57	17	3	46
cutC_locusTag_b1874	453	164	504	182	23	95
cvpA_locusTag_b2313	2131	987	1817	1478	7	173
cvrA_locusTag_b1191	1068	647	1394	581	18	320
cyaA_locusTag_b3806	7429	3832	11273	5107	322	4085
cyaR_locusTag_b4438	14	0	27	0	0	1
cyaY_locusTag_b3807	112	45	93	127	0	15
cybB_locusTag_b1418	106	93	289	64	4	30
cybC_locusTag_b4236	365	122	757	371	10	125
cycA_locusTag_b4208	1607	684	4991	1841	16	342
cydA_locusTag_b0733	6416	2574	14165	5818	1023	9975
cydB_locusTag_b0734	3005	1438	8279	4141	610	5352
cydC_locusTag_b0886	1381	670	1461	952	3	156
cydD_locusTag_b0887	1058	419	1004	483	25	240
cydX_locusTag_b4515	1	0	4	0	0	55
cynR_locusTag_b0338	23	0	25	0	10	16
cynS_locusTag_b0340	0	19	31	8	0	1
cynT_locusTag_b0339	11	0	0	0	0	12
cynX_locusTag_b0341	0	0	40	30	0	5
cyoA_locusTag_b0432	147	69	1489	214	4	47
cyoB_locusTag_b0431	140	82	3170	311	19	45
cyoC_locusTag_b0430	13	21	629	72	0	3
cyoD_locusTag_b0429	3	0	117	0	0	0
cyoE_locusTag_b0428	79	44	1729	159	0	72
cysA_locusTag_b2422	3239	1676	3270	1567	32	1257
cysB_locusTag_b1275	1565	368	1382	717	65	949
cysC_locusTag_b2750	329	158	514	209	15	230
cysD_locusTag_b2752	1176	639	1368	815	32	1237
cysE_locusTag_b3607	490	211	1125	547	23	128
cysG_locusTag_b3368	471	108	417	193	27	160
cysH_locusTag_b2762	842	363	1115	567	12	243
cysI_locusTag_b2763	3815	1200	3470	1582	10	962
cysJ_locusTag_b2764	3063	1238	3195	1369	20	895
cysK_locusTag_b2414	7847	3390	14417	5088	357	4374
cysM_locusTag_b2421	1666	645	1545	1024	33	570
cysN_locusTag_b2751	2232	980	3461	1966	166	2272
cysP_locusTag_b2425	1010	377	674	207	47	1325
cysQ_locusTag_b4214	229	135	1961	962	20	162
cysS_locusTag_b0526	581	231	827	256	10	232
cysT_locusTag_b1910	4	7	0	0	1	6
cysU_locusTag_b2424	844	281	999	681	59	591
cysW_locusTag_b2423	1185	335	1034	712	26	441
cysZ_locusTag_b2413	117	50	222	112	13	46
cytR_locusTag_b3934	252	109	134	159	0	66
dacA_locusTag_b0632	1032	427	1264	486	33	189
dacB_locusTag_b3182	326	133	337	115	0	31
dacC_locusTag_b0839	426	337	2253	1131	56	470
dacD_locusTag_b2010	167	106	342	239	16	88
dadA_locusTag_b1189	166	90	558	450	35	73
dadX_locusTag_b1190	305	104	599	401	21	32
damX_locusTag_b3388	2048	688	4046	1596	83	1090
dam_locusTag_b3387	629	195	790	225	6	112
dapA_locusTag_b2478	1999	1040	3142	1989	158	1410
dapB_locusTag_b0031	1635	714	2026	1464	29	463
dapD_locusTag_b0166	2071	998	2717	1203	108	945
dapE_locusTag_b2472	300	112	346	111	16	182
dapF_locusTag_b3809	612	256	677	527	50	337
dauA_locusTag_b1206	582	282	576	171	37	363
dbpA_locusTag_b1343	321	90	1472	1023	9	116
dcd_locusTag_b2065	758	266	730	487	59	366
dcm_locusTag_b1961	667	199	664	405	0	101
dcp_locusTag_b1538	868	397	1005	399	7	137
dcrB_locusTag_b3472	389	167	1080	444	42	360
dctA_locusTag_b3528	198	81	488	212	0	19
dctR_locusTag_b3507	100	36	579	97	1	0
dcuA_locusTag_b4138	1813	961	1504	456	68	536
dcuB_locusTag_b4123	237	63	934	439	23	613
dcuC_locusTag_b0621	100	48	75	70	18	248
dcuD_locusTag_b3227	0	7	30	33	4	5
dcuR_locusTag_b4124	149	100	151	52	0	14
dcuS_locusTag_b4125	548	129	460	176	21	151
dcyD_locusTag_b1919	293	66	713	560	16	438
ddlA_locusTag_b0381	1101	577	1868	921	14	246
ddlB_locusTag_b0092	1215	320	1293	923	21	184
