	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8
ECDH10B_1335_locusTag_ECDH10B_1335	3.46372091332936	6.19289833775663	0	2.4892563570181	0	1.73370810972728	7.47749628537454	2.19159035801258	0	0	0	3.38796710055496	6.05271848590775	2.77121052205333	0	0
ECDH10B_1343_locusTag_ECDH10B_1343	59.6907160116577	103.68048261002	118.096953590688	264.399789940681	67.1928489681111	135.466391592316	130.435412990539	131.359649785405	154.648664258443	149.40234064289	84.1009669410611	112.925880274095	72.4259436386913	108.52330766363	70.1577652970039	0
ECDH10B_1344_locusTag_ECDH10B_1344	16.8948136961848	7.85735944943816	7.02165187634366	0	13.6905652383343	4.16636071574971	20.8821916207051	26.6577081729167	0	0	0	10.0634920202964	0	20.8668553335912	0	0
ECDH10B_1345_locusTag_ECDH10B_1345	4.51701616182718	3.19341420458021	0	3.42656893589529	0	2.36959842332921	3.18595851430053	0.301681882615313	0	0	1.56276157275226	2.15246912656341	0	0	0	0
ECDH10B_p1_locusTag_ECDH10B_p1	4041.16588231777	2896.42460179792	3935.62587433752	3675.10814755877	2803.62103717622	1801.61088916582	938.849189052886	792.193417449148	3334.85965747053	2503.05166879281	3741.68396991214	3326.72382237784	2524.89363273155	3818.27096808115	2018.82313782815	1888.48940598328
ECDH10B_p2_locusTag_ECDH10B_p2	1070.64123874093	1285.26586382023	1249.06136751069	1492.43720493071	1050.2379421979	1045.28050623396	698.913032083918	817.14761452714	942.738257319468	1072.95354107872	1160.51924601841	1688.32790386429	1334.04996813363	1220.13960620749	805.411145609605	204.785948756138
KanR	1013.33943453932	1638.89308297036	2219.4299989028	3352.05365921948	2748.60243662153	2691.49965737958	3024.49997531704	3897.9384388087	1856.35253236697	1989.92827646618	2588.72948342622	1812.44231248188	1501.78424606547	1562.21695278288	1102.26658684249	812.328163603101
LacI	251.126078581362	296.132455473176	271.08244376898	258.770363850619	461.578102283838	464.090680426232	729.811922766999	732.274690018639	208.839955196651	278.11577781567	288.863273336007	311.243458190055	254.587612829442	271.842702191583	220.653870825437	287.369114561573
LitR	105.859180743019	136.408732198248	17796.2183265078	27634.098313065	36901.6399101736	45836.4601611557	69242.0584882216	89523.3474483368	184.88936840799	437.246623906967	20808.4782516449	16109.1535337148	57236.4672796608	7093.92029581094	41903.7691427693	38117.2387031438
N_locusTag_ECDH10B_1326	5.33829182761394	1.85995465228246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nu1_locusTag_ECDH10B_1346	0	0	4.9511647846013	1.96072900648953	0	1.89828269297472	0	1.47691515060573	0	4.16700405874728	4.17308859537143	2.3416971816459	0	0	79.0238565158561	0
P_locusTag_ECDH10B_1332	0	0	3.3954944580773	0	0	2.53929699364589	0	2.76235671646891	0	0	2.31152820456661	0	0	0	0	0
PhlF	4048.32517142386	4215.48609179984	1254.08488006171	1256.38182073211	1023.75458586199	1368.6492293781	2409.07844209183	3126.86517258773	4085.49456324543	2982.20663607361	1004.73440232182	849.486397680442	593.379940357947	4022.71125319985	5718.81102925195	6441.45380841348
Rz1_locusTag_ECDH10B_1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rz_locusTag_ECDH10B_1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SrpR	25663.3428932125	2256.70483221904	3596.30707604547	3481.62964407682	18012.2459217434	2854.76879679751	4302.2808150086	3386.93033617045	13902.1199937934	2912.81372499068	3202.6855935528	2703.6018056331	12130.0309617551	2070.23282049994	1127.01313124483	1561.32917152983
TetR	554.094554658752	550.319831230293	935.192508398109	959.613454592753	1163.30751310899	1415.24884272486	2350.90865484614	1653.91000490446	424.912075113943	475.96001167172	671.13697335061	704.198901891891	495.539871844511	710.082726893636	382.961766192226	731.93358455983
W_locusTag_ECDH10B_1348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YFP	248.322963496449	177.942857988141	37905.5262017805	46433.9679922768	64424.3507497482	31617.6198884363	73330.9804304533	51799.4165480262	247.760047530714	118.134565065485	30853.1915059351	38977.3952493637	42505.561764443	1610.86772699597	8269.84658438434	7348.26773360155
aaeA_locusTag_ECDH10B_3418	0.653587547531264	3.59474469429419	7.34024772782478	0.764957511642219	0	3.1739774930767	1.72339630738938	5.735835922522	0	0.375164352556025	0.976851606890804	2.92763485702997	1.97275098269136	3.77544018711896	0	0
aaeR_locusTag_ECDH10B_3420	47.996939474383	33.3904716182681	35.4631170571894	39.1386809424427	26.0709581043979	29.825491085749	35.5396439231713	21.9926092426563	40.6576327002035	56.4561840217373	47.5301329436692	32.6203224406287	19.3953240162798	39.271628853008	0	112.997340145577
aaeX_locusTag_ECDH10B_3419	7.77192486667324	13.1525364697117	0	5.24783351736905	11.3685379969306	1.5725969368271	17.5155637777156	0	15.9197154383691	0	0	0.854656859076647	0	23.6286450100959	0	0
aas_locusTag_ECDH10B_3006	28.9653661377168	31.3651459979097	23.6959079061548	17.6223545274615	24.4997735519711	25.1575186893955	29.445608884093	26.7101596820532	27.1709111509625	32.4100315680344	26.2661151340337	29.1121449367701	21.984665742943	18.281906748196	12.2925999024665	0
aat_locusTag_ECDH10B_0955	51.5516482809383	45.0544334387997	30.931787485529	24.4650772961035	45.1575041208832	50.2654486701448	43.0808334617855	31.4031583512161	17.7681444041615	41.9537515021109	33.9352013010843	29.2644206781706	60.5693314481477	70.4760109106363	0	0
abgA_locusTag_ECDH10B_1458	1.20936130648462	0.210681362215062	0	0.816596519865206	1.9298371136874	2.22117898628773	11.5835192946449	0.838772282328615	2.47720972496362	2.00245046301357	7.47336186438829	1.46289091668039	0	2.2626268061067	0	0
abgB_locusTag_ECDH10B_1457	0.674741003426467	0.32744904073971	0	1.15166839754157	0.729027332885023	1.8602120165596	0.247107538772751	1.72371764465264	0	0	2.36359582268963	2.17033194089173	0	0	0	0
abgR_locusTag_ECDH10B_1459	7.24511503184162	7.63975715732429	5.94793393265635	12.9550477590497	20.6427818654137	21.8814148041684	15.1339095610757	19.1941364127327	9.69744099310368	13.0923691878792	26.0687197799308	10.6770993307749	2.42980418066144	0	0	0
abgT_locusTag_ECDH10B_1456	1.51750444729361	1.60207713383522	1.65233370938626	1.16847635619219	0	1.66457139875124	2.57399640584111	2.59244902663925	0	0.687678469419983	4.625651445007	3.53952192324867	0	2.18539077318705	0	0
abrB_locusTag_ECDH10B_0782	12.8133123215155	8.44174260520178	8.43447708673818	2.72666803576768	0	2.71053736962484	4.77788444595565	2.87073218385517	22.3775287823821	5.18189043408687	3.48195816324401	2.8864055909217	0	9.20772413000872	0	0
accA_locusTag_ECDH10B_0165	257.385227171115	255.693529306489	255.127332394524	400.839728177376	287.921143565445	353.739047702423	192.058156822651	235.351464187037	198.626878156938	350.210647362341	374.766829487703	297.000380669627	420.648459069915	266.310733159461	145.206336347886	21.0511871665438
accB_locusTag_ECDH10B_3430	371.057053752135	527.106748200166	410.952984338194	549.295525278756	188.900733271522	319.29034289351	374.766126382816	218.213999704205	438.827897625072	512.037212110525	461.990145707967	763.660400119161	380.620312847752	551.458538172909	352.335665994263	489.138412634087
accC_locusTag_ECDH10B_3431	224.044001626628	279.944431793108	243.099990406242	303.809392053436	133.840994001843	151.411245997648	75.4336946693617	82.1600439114542	235.237801522009	229.981584006772	260.424839529728	321.49278874351	130.885451864963	234.557721884836	179.471958576011	260.473355874035
accD_locusTag_ECDH10B_2478	211.129778370519	178.572634495332	202.676336290833	209.821575299923	169.819865947592	242.677289320246	196.426997853437	216.801459419409	235.522309993596	231.822048750242	332.437815087671	237.992512639665	275.985922067719	185.596600301243	90.6831140345889	198.778423080807
aceA_locusTag_ECDH10B_4204	43.6437216739302	46.0792312180244	34.1110592685007	37.1892447269187	70.60135321145	106.444929213648	104.320281920243	124.709048579047	111.098178346583	31.9182931580366	41.9035654817986	48.8981607096542	21.7202150724184	44.3240789154902	71.2123028832542	55.7493508410539
aceB_locusTag_ECDH10B_4203	42.7847710609024	46.6250028785847	38.1369494232623	20.6419152751445	41.456262154282	61.478527440454	78.5117105961423	90.2401694267961	55.0248056350265	36.0516081487124	22.0454736470839	31.8154284943164	14.936015398916	29.5102783401803	0	0
aceE_locusTag_ECDH10B_0094	734.640794076089	900.637708461441	1057.31826607906	1102.93018374027	568.478109477145	711.613736548849	180.737737494603	216.733971965917	382.267813116309	525.96225554125	812.615955351527	826.635406862236	736.09248530897	661.544748946902	441.03855055471	496.125275925032
aceF_locusTag_ECDH10B_0095	995.325585034252	889.390774367874	1257.65339655934	1770.43920336809	706.346379830613	684.795704281831	190.361700910963	187.744619842222	442.255966171728	811.740315215872	920.911371388272	1020.24989877274	865.353002375819	1066.03989172088	301.568060998703	452.65056652245
aceK_locusTag_ECDH10B_4205	13.6914738583881	20.3307774445457	6.84782860018777	11.3677882832588	24.5184860929248	22.8165492596006	25.4051303290596	31.3155172866071	18.2960854951698	7.45598653689495	16.9215499209206	15.4576280280667	2.96696296326017	9.17897675163018	55.4122379023101	0
ackA_locusTag_ECDH10B_2458	393.35213060101	506.159458355588	300.820096013508	344.690617795871	343.679846931466	422.802626437012	296.576496104572	321.571069474916	452.761924786564	554.284280532618	378.046443944581	322.661026600631	440.024812457489	378.95578260389	248.304387057303	433.412970690737
acnA_locusTag_ECDH10B_1393	26.3880843265487	29.9765769539505	62.7006923342611	44.7177124135752	48.9268877430069	49.6227837151198	68.2321536040427	78.8150682500276	21.4982448072275	16.4157536574416	36.2721866565401	40.5470165175392	17.7454701064114	24.4559328571206	12.402847435224	40.7807751387754
acnB_locusTag_ECDH10B_0098	241.571693439797	356.196810420495	446.116336629585	391.146065979484	726.154325400415	777.432251254702	849.97003717635	898.440695773898	259.474029061799	253.898540604918	518.583840799826	479.786859629085	398.012306172792	382.491052286363	218.456249998798	266.032554677431
acpH_locusTag_ECDH10B_0360	16.554631397212	22.6440576334212	17.9603077203613	34.9494891981485	34.0523406168604	42.23189743752	32.5392226056118	43.5821466091585	17.9360564217266	11.7277536911135	39.1495940390516	32.6531785540006	17.7100160384292	14.0160400218491	68.433030384865	34.7236076973918
acpP_locusTag_ECDH10B_1166	3359.28776632494	3638.25796800772	6809.66909501354	16457.8849550314	4458.66472492737	6687.75405256094	5311.51711499323	5686.83714382891	7166.69316266025	6569.30827205849	5129.04282714911	5682.68197279524	6834.20872079711	9285.34425820302	3150.95124082211	2012.38690483214
acpT_locusTag_ECDH10B_3649	68.2392084447463	111.662350436736	31.5695697456245	58.8685542186501	45.8959901323208	12.9264011950183	11.8498150863525	29.7972426813767	93.499319972579	76.4942887927179	71.6877005133449	49.6166097643545	27.5460453542332	34.3672521222195	0	0
acrA_locusTag_ECDH10B_0419	46.781760349376	73.0329286383489	57.9609722723979	40.1484170044616	15.185749247613	94.2463970180413	92.172353708662	95.4732199115872	47.793431416554	37.9637103442654	17.3655008333019	48.3818814227041	23.4311267471824	74.0644307641545	175.123219716043	226.802740125979
acrB_locusTag_ECDH10B_0418	35.232726062252	45.5704073112487	44.9125658905389	42.8978458782777	19.5440424646799	87.1709491496781	85.1890296190837	70.5392577931124	42.1969926762323	22.9463023501683	27.4867435481798	35.9031850310776	12.6210971441214	59.7969167200551	104.31149060093	44.9091992886267
acrD_locusTag_ECDH10B_2635	9.36040632378638	7.95741127454619	4.10911697794592	5.84440804053817	12.9994422918134	10.9995545639165	13.9415787987944	14.0308232804786	7.89631908063341	5.7888437887414	10.0974270868351	8.90226393096022	16.7862483425079	8.45406092402127	42.6332944594214	22.0652135233137
acrE_locusTag_ECDH10B_3440	1.57978544519863	0.170369643390048	0	1.84897761233728	0	1.19339361009119	0	0.633063017923324	0	1.0579440356405	0	1.00374207974459	3.49677777812805	0	0	10.4710568289544
acrF_locusTag_ECDH10B_3441	2.12103367598842	3.3675576468344	6.44273307430051	2.49011531366304	5.97534750756543	3.23472261788381	7.36499841165393	4.22616967733277	4.25844147958031	4.39649123879423	7.04465738534586	4.37980674448554	6.52056146066391	3.70190885776902	0	0
acrR_locusTag_ECDH10B_0420	12.2335854382819	45.4249639185413	5.56241969628047	19.4580164574054	28.3065112751857	67.0257839741691	119.381541636819	106.116602209936	0	10.2631766632109	10.900261969947	13.9013631090553	0	38.9098484781636	0	0
acs_locusTag_ECDH10B_4259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
actP_locusTag_ECDH10B_4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ada_locusTag_ECDH10B_2370	10.3064312424789	13.8194256428238	8.12269963535717	8.04175051675707	6.92884005958892	12.6748246288669	12.2460927595183	8.74197613088372	5.22756048197554	2.46498831644205	6.6322720718551	9.38597805047931	20.7388920208568	16.5374915238591	0	0
add_locusTag_ECDH10B_1756	21.9088807849103	24.4148880575487	107.018290324246	147.679551863367	176.747656609873	329.72526249111	209.148417539776	220.438229035673	36.115556323828	45.06352892274	115.517089572952	108.229241052413	180.751241535072	78.2651249505295	165.618860961375	189.586739511867
ade_locusTag_ECDH10B_3848	6.83304142646522	7.94958061666785	16.8289166362849	18.1085400301291	7.3977089358017	5.22323172226547	1.92106183368493	2.77967330552343	13.7844734695556	7.52749120289831	10.8316092438096	10.8208167805675	6.45816374333698	4.30172798015851	28.1748894199147	48.0353065396177
adhE_locusTag_ECDH10B_1302	502.239532432757	676.04332354239	582.422757579688	584.708537861002	942.689552085471	1303.23207482266	737.13425434661	997.776300244179	1116.43505996888	1336.15078574316	619.351844459326	769.416015631161	442.81138195766	474.569801901633	173.639864093137	226.559861882086
adhP_locusTag_ECDH10B_1609	40.5325129773454	25.3683937843104	42.7827651417181	51.298307986468	30.6554911835225	32.390974022262	28.9812414316148	42.2014460244839	44.7425660688373	18.0034359333414	32.4535032366452	47.8269697914148	8.73864292866962	17.0540459990694	0	67.9634766682482
adiC_locusTag_ECDH10B_4307	1.09380660420927	3.06695917679376	0	0.800118114755819	0	0.424205175784336	0	0.328738553701888	2.42722118791278	10.9874367109569	2.38408738587587	0.0434354756481405	2.20098854033009	2.21696841764266	0	0
adk_locusTag_ECDH10B_0430	321.254391304648	388.825682797617	207.046196955318	293.412202882234	168.014012714045	239.354317603485	157.60748690404	204.582411559593	248.876455039169	349.757001135597	160.73184492219	206.06638154444	197.469620691615	287.432533217624	257.286974702787	0
adrA_locusTag_ECDH10B_0342	1.2021091398411	2.86385874743722	0	4.15688604780846	0	2.6977386658225	0.800442430702056	3.41581744509596	2.07861107874251	5.01832746859887	2.24583961503591	2.55171743229694	0	3.6547201132241	0	0
aegA_locusTag_ECDH10B_2633	5.35882371925861	6.01828183917111	0.728171305694898	0.240304834465384	0.958339566683402	3.06601416774402	3.24834091877634	4.07270541530672	6.56085242308546	14.8496871911721	2.99197806565115	1.43824073456737	2.41691885546096	6.17979946417893	0	0
aer_locusTag_ECDH10B_3247	4.9713905686382	6.48547163200774	18.7213273564753	15.7193487870699	14.0002006388594	16.5004572543187	23.3748135147975	25.4483841335142	11.5910241456032	2.99169522166471	14.38110531328	14.6724522710121	20.0878189807543	5.72880818178323	0	39.8602360549942
aes_locusTag_ECDH10B_0432	2.03265727282223	2.0139821469246	0.563194994248398	0.495628721084854	1.09809742015807	2.54488523526923	7.81632033580557	4.04725100646105	7.73243321292215	19.3244813224405	0	3.02690970922979	4.98489513938823	3.86237466511183	0	0
afuB_locusTag_ECDH10B_0249	2.01585845238568	3.36965810381044	0	0	4.64649486876801	1.22368636406635	5.4139015312939	0	0	0	0	2.40151514120711	0	2.5536361422227	0	0
agaA_locusTag_ECDH10B_3308	11.615184416127	4.30588991567943	7.50926658997864	4.01223250402025	10.458070668172	7.63832797887447	6.02618801399976	1.59999141315621	20.71187467747	16.6680162349891	6.78126896747857	3.11339284377921	9.49503836073949	2.94276164960901	0	0
agaB_locusTag_ECDH10B_3311	0	0	0	0.249372941426342	3.97801329566695	0.931233019195145	0	2.61267894566846	0	2.201436106508	0	0	0	0	0	0
agaC_locusTag_ECDH10B_3312	2.42705346008625	2.45383143091636	0	0	2.88455441713163	0.859421517714923	0	0.638259803891352	0	0	0	0	4.12069403026352	3.45884298368223	0	0
agaD_locusTag_ECDH10B_3313	0.153989187335017	0.697482994605924	0	0	0	0.997077778128135	0	0	0	1.5468424157471	0	0	6.97188131382969	0	0	0
agaI_locusTag_ECDH10B_3314	0	1.25262252092492	3.33745181776828	0	0	1.82797592656825	1.89056878870581	0.581815059329531	0	4.16700405874728	5.12362544209492	0	0	0	0	0
agaR_locusTag_ECDH10B_3304	113.377105661862	92.6523124644135	183.559849977256	134.517306226289	174.394138431029	177.709726327877	222.330889551803	153.767255569025	128.873886882036	232.055826027126	177.498459433202	87.4619955093598	148.155060097145	100.707843119953	139.316132227954	89.8183985772535
agaS_locusTag_ECDH10B_3309	1.26711102721386	2.35720783483145	1.56036708363192	2.57469465498626	0	1.58108047674604	0	0	0	6.51567907367756	0	1.45920634294299	0	0	0	0
agaV_locusTag_ECDH10B_3306	0	0.832439017070361	0	0	0	0.468563449531735	0.376917195216664	4.94911037809424	0	0	0	0	0	0	0	0
agaW_locusTag_ECDH10B_3307	0	0	0	0	0	0	0	0	0	0	0	2.31310115093381	0	0	0	0
agp_locusTag_ECDH10B_1074	26.8075089604091	21.2537364691718	16.6872590888414	25.5715687980012	23.9353408683729	16.6107377675115	23.4471629121014	37.5987441963823	85.542377089815	52.4197032317773	11.7410956422431	17.5940954693009	4.44583735954357	23.1369303610564	0	0
ahpC_locusTag_ECDH10B_0566	0	0	0	0	0	0.0437547429231762	0	0.12997996006298	0	0	0	0.103043734782291	0	0	0	0
ahpC_locusTag_ECDH10B_0674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ahpF_locusTag_ECDH10B_0567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ahpF_locusTag_ECDH10B_0675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aidB_locusTag_ECDH10B_4382	4.725365615786	1.72293374418733	3.54681226390135	2.85306570070986	7.00189056100788	6.76890716720014	7.03207874175444	5.13972417725055	7.56123542961022	15.7146795130617	2.66246132154878	5.61151084102231	0.905572775818469	3.87662697014914	0	0
ais_locusTag_ECDH10B_2412	0	3.14090423157294	0	5.91795487862513	3.14678663687087	14.2827671277385	5.03681386244756	14.8319421094752	0	1.74143453201379	17.3816406569401	12.5292979008915	25.6398739660841	19.9844261279418	0	40.2171933928001
alaS_locusTag_ECDH10B_2865	296.068004595566	265.180330510196	337.154938708094	272.397997221094	200.096639134116	182.25461919175	141.854097249262	146.283033731085	195.647312422739	281.047081043217	309.429998897344	338.87030768014	198.119084778493	253.604313244925	132.457319359531	205.855166636579
alaT_locusTag_ECDH10B_4042	49.7466122032809	42.0535047649993	0	42.2588699030244	0	0	0	18.3271743688802	0	0	0	13.7644736251292	92.0288333425519	63.4242576586785	0	0
alaU_locusTag_ECDH10B_3451	17.6520236850352	17.1329093487034	0	0	0	0	0	0	0	0	0	12.2350876667815	145.308684225082	0	0	0
alaV_locusTag_ECDH10B_0184	70.6080947401407	124.083798010306	0	37.5634399137995	0	23.7035562583291	18.8061842665999	22.1855268675919	0	0	242.840810814338	75.7046049382104	184.057666685104	158.560644146696	0	0
alaW_locusTag_ECDH10B_2561	19.2567531109475	0	0	1.56514332974165	0	1.29882500045639	0	11.5750574961349	0	0	68.9547981324663	22.9407893752153	0	0	0	0
alaX_locusTag_ECDH10B_2560	0	11.4219395658023	0	0	0	0	0	0	0	32.2394524545184	0	1.52938595834768	0	0	0	0
aldA_locusTag_ECDH10B_1541	34.8092557970807	31.0180651744034	387.72846492923	348.344386135805	124.743866929956	204.002113405017	485.728478010775	392.252440311728	61.6983733447746	17.6229546651187	199.211078034629	294.13490614489	28.3755569472869	62.699215396982	27.6583497805496	64.5569739774009
aldB_locusTag_ECDH10B_3769	1.74340974667014	0.974261960719385	8.78276794149548	13.1394748669669	4.52082212743437	11.2564833372887	25.8875252558751	51.5399679457529	0	1.7057911351597	10.8077300347183	9.02526528506411	1.67433874827255	0.120463927176977	0	0
alkA_locusTag_ECDH10B_2218	18.8182404763048	11.1076191387318	30.1432044035892	11.9091000119329	24.5849655622668	19.7944601659661	45.8746850602218	20.8960009294182	23.771084435485	9.0702279158598	18.7862716272198	13.2798978621191	20.378587359717	18.3428676675276	0	0
alkB_locusTag_ECDH10B_2369	3.18480863022838	8.97039353694623	8.30517963868605	3.65440531675469	7.77270800628013	3.10840146038564	0	2.47740605908058	4.6323332611976	11.8289147474116	2.80000783173309	5.89201226349615	10.178304148485	7.40436802159687	0	0
allA_locusTag_ECDH10B_0461	0	0.408463865518997	0	2.70902655002902	0	2.60571723694045	0	1.06244489094958	6.2435796129185	5.79757086434404	0	1.56421669445912	0	0	0	0
allB_locusTag_ECDH10B_0468	2.50724245105826	0.666317926879668	0	2.35805735141693	0	2.24671931062794	7.21456041064496	6.94333478292379	0	0	0	0	8.10826725485039	2.17790289486482	0	0
allC_locusTag_ECDH10B_0472	6.31505172138946	3.60737043950831	2.62459803144884	2.69468042531571	3.24098656046652	1.89674686555322	7.51638756286435	5.16007822036434	0	0	1.29041623070466	0.846359219668136	0.595655879239818	0	0	0
allD_locusTag_ECDH10B_0473	0	0.638837485671711	0	0	0	0.352538214409591	0	0	0	0	0	0.0553492061116305	0	0	0	0
allR_locusTag_ECDH10B_0462	69.0505632385199	83.267161032513	181.768423633895	113.994605849517	228.145887529311	195.969772127684	300.391918787822	271.76324738168	181.655324377105	165.148175563587	176.193323702076	101.276837800583	72.1794771314133	70.8859350302877	36.6066394154333	0
allS_locusTag_ECDH10B_0460	0.131563577528947	0.893861701825067	3.49946404193179	0	0	0.319452103672121	2.89091829340937	1.34438819534397	0	0	0	0	0	0	0	0
alpA_locusTag_ECDH10B_2790	6.29837464818156	8.33611466390178	6.76891636279765	0	0	3.47572887446075	5.03264086007602	4.4742397520271	0	0	0	4.0927229871276	27.651856027809	0	0	0
alr_locusTag_ECDH10B_4242	113.264180257817	101.347600463834	69.7527429913571	73.4631904363551	64.8121499542182	87.2858504936339	53.5976251598096	65.2990434920844	46.824178900473	70.1677183447944	77.6379949343325	60.2153238156113	79.076627168415	67.806133009741	43.0240996586327	0
alsA_locusTag_ECDH10B_4278	0.318224230578823	0.694948110924102	0.235123807122619	1.16390306321297	1.78790030053133	3.33221051976189	3.61279926060904	8.12947069200167	4.84222823509802	5.13740226420897	0	1.89552075724762	1.44076451416911	1.69309574361066	0	0
alsB_locusTag_ECDH10B_4279	6.77552424274077	6.74489049728805	0.962726485894697	1.77918002440717	4.73026580991167	14.3689453843225	18.5148491470852	27.099155263387	13.6308918817538	14.2105523029074	3.65145252095	1.92480412279228	8.65228347665018	2.17877545211436	0	0
