gene_name	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8
ECDH10B_1343_locusTag_ECDH10B_1343	301	1616	403	1367	196	3376	449	1102	410	525	227	1195	121	360	13	0
ECDH10B_1344_locusTag_ECDH10B_1344	32	46	9	0	15	39	27	84	0	0	0	40	0	26	0	0
ECDH10B_1345_locusTag_ECDH10B_1345	27	59	0	21	0	70	13	3	0	0	5	27	0	0	0	0
ECDH10B_p1_locusTag_ECDH10B_p1	23261	51531	15330	21689	9335	51250	3689	7586	10092	10040	11528	40184	4815	14458	427	328
ECDH10B_p2_locusTag_ECDH10B_p2	3292	12215	2599	4705	1868	15884	1467	4180	1524	2299	1910	10894	1359	2468	91	19
KanR	6780	33893	10049	22995	10638	88998	13814	43388	6530	9278	9271	25448	3329	6876	271	164
LacI	2230	8128	1629	2356	2371	20367	4424	10818	975	1721	1373	5800	749	1588	72	77
LitR	526	2095	59840	140783	106066	1125588	234865	740037	483	1514	55343	167975	94224	23188	7651	5715
N_locusTag_ECDH10B_1326	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nu1_locusTag_ECDH10B_1346	0	0	15	9	0	42	0	11	0	13	10	22	0	0	13	0
P_locusTag_ECDH10B_1332	0	0	13	0	0	71	0	26	0	0	7	0	0	0	0	0
PhlF	20016	64422	4196	6369	2928	33443	8131	25720	10620	10275	2659	8814	972	13084	1039	961
Rz1_locusTag_ECDH10B_1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rz_locusTag_ECDH10B_1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SrpR	135093	36718	12811	18791	54848	74268	15460	29661	38475	10685	9024	29866	21155	7169	218	248
TetR	2835	8703	3238	5034	3443	35786	8211	14078	1143	1697	1838	7561	840	2390	72	113
W_locusTag_ECDH10B_1348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YFP	1466	3247	151435	281061	220009	922481	295526	508747	769	486	97495	482886	83137	6256	1794	1309
aaeA_locusTag_ECDH10B_3418	5	85	38	6	0	120	9	73	0	2	4	47	5	19	0	0
aaeR_locusTag_ECDH10B_3420	366	787	183	306	115	1124	185	279	163	300	194	522	49	197	0	26
aaeX_locusTag_ECDH10B_3419	13	68	0	9	11	13	20	0	14	0	0	3	0	26	0	0
aas_locusTag_ECDH10B_3006	513	1717	284	320	251	2202	356	787	253	400	249	1082	129	213	8	0
aat_locusTag_ECDH10B_0955	298	805	121	145	151	1436	170	302	54	169	105	355	116	268	0	0
abgA_locusTag_ECDH10B_1458	13	7	0	9	12	118	85	15	14	15	43	33	0	16	0	0
abgB_locusTag_ECDH10B_1457	8	12	0	14	5	109	2	34	0	0	15	54	0	0	0	0
abgR_locusTag_ECDH10B_1459	54	176	30	99	89	806	77	238	38	68	104	167	6	0	0	0
abgT_locusTag_ECDH10B_1456	19	62	14	15	0	103	22	54	0	6	31	93	0	18	0	0
abrB_locusTag_ECDH10B_0782	110	224	49	24	0	115	28	41	101	31	16	52	0	52	0	0
accA_locusTag_ECDH10B_0165	2026	6221	1359	3235	1311	13761	1032	3082	822	1921	1579	4906	1097	1379	42	5
accB_locusTag_ECDH10B_3430	1433	6292	1074	2175	422	6094	988	1402	891	1378	955	6189	487	1401	50	57
accC_locusTag_ECDH10B_3431	2480	9578	1821	3448	857	8283	570	1513	1369	1774	1543	7468	480	1708	73	87
accD_locusTag_ECDH10B_2478	1584	4141	1029	1614	737	8998	1006	2706	929	1212	1335	3747	686	916	25	45
aceA_locusTag_ECDH10B_4204	467	1524	247	408	437	5629	762	2220	625	238	240	1098	77	312	28	18
aceB_locusTag_ECDH10B_4203	562	1893	339	278	315	3991	704	1972	380	330	155	877	65	255	0	0
aceE_locusTag_ECDH10B_0094	16047	60807	15629	24701	7183	76820	2695	7876	4390	8006	9501	37892	5327	9506	354	327
aceF_locusTag_ECDH10B_0095	15449	42669	13210	28175	6342	52530	2017	4848	3609	8780	7651	33232	4450	10885	172	212
aceK_locusTag_ECDH10B_4205	195	895	66	166	202	1606	247	742	137	74	129	462	14	86	29	0
ackA_locusTag_ECDH10B_2458	3880	15432	2008	3486	1961	20611	1997	5277	2348	3810	1996	6679	1438	2459	90	129
acnA_locusTag_ECDH10B_1393	579	2033	931	1006	621	5381	1022	2877	248	251	426	1867	129	353	10	27
acnB_locusTag_ECDH10B_0098	5146	23453	6431	8543	8948	81846	12360	31840	2906	3769	5913	21448	2809	5360	171	171
acpH_locusTag_ECDH10B_0360	79	334	58	171	94	996	106	346	45	39	100	327	28	44	12	5
acpP_locusTag_ECDH10B_1166	6528	21853	8955	32791	5012	64228	7046	18385	7322	8896	5335	23174	4400	11870	225	118
acpT_locusTag_ECDH10B_3649	329	1664	103	291	128	308	39	239	237	257	185	502	44	109	0	0
acrA_locusTag_ECDH10B_0419	458	2210	384	403	86	4560	616	1555	246	259	91	994	76	477	63	67
acrB_locusTag_ECDH10B_0418	910	3638	785	1136	292	11127	1502	3031	573	413	380	1946	108	1016	99	35
acrD_locusTag_ECDH10B_2635	239	628	71	153	192	1388	243	596	106	103	138	477	142	142	40	17
acrE_locusTag_ECDH10B_3440	15	5	0	18	0	56	0	10	0	7	0	20	11	0	0	3
acrF_locusTag_ECDH10B_3441	54	265	111	65	88	407	128	179	57	78	96	234	55	62	0	0
acrR_locusTag_ECDH10B_0420	65	746	20	106	87	1760	433	938	0	38	31	155	0	136	0	0
acs_locusTag_ECDH10B_4259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
actP_locusTag_ECDH10B_4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ada_locusTag_ECDH10B_2370	90	373	48	72	35	547	73	127	24	15	31	172	60	95	0	0
add_locusTag_ECDH10B_1756	180	620	595	1244	840	13388	1173	3013	156	258	508	1866	492	423	50	47
ade_locusTag_ECDH10B_3848	99	356	165	269	62	374	19	67	105	76	84	329	31	41	15	21
adhE_locusTag_ECDH10B_1302	11020	45849	8648	13154	11965	141320	11041	36422	12879	20430	7274	35428	3219	6850	140	150
adhP_locusTag_ECDH10B_1609	336	650	240	436	147	1327	164	582	195	104	144	832	24	93	0	17
adiC_locusTag_ECDH10B_4307	12	104	0	9	0	23	0	6	14	84	14	1	8	16	0	0
adk_locusTag_ECDH10B_0430	1699	6356	741	1591	514	6256	569	1800	692	1289	455	2287	346	1000	50	0
adrA_locusTag_ECDH10B_0342	11	81	0	39	0	122	5	52	10	32	11	49	0	22	0	0
aegA_locusTag_ECDH10B_2633	87	302	8	4	9	246	36	110	56	168	26	49	13	66	0	0
aer_locusTag_ECDH10B_3247	62	250	158	201	101	1017	199	528	76	26	96	384	83	47	0	15
aes_locusTag_ECDH10B_0432	16	49	3	4	5	99	42	53	32	106	0	50	13	20	0	0
afuB_locusTag_ECDH10B_0249	6	31	0	0	8	18	11	0	0	0	0	15	0	5	0	0
agaA_locusTag_ECDH10B_3308	48	55	21	17	25	156	17	11	45	48	15	27	13	8	0	0
agaB_locusTag_ECDH10B_3311	0	0	0	1	9	18	0	17	0	6	0	0	0	0	0	0
agaC_locusTag_ECDH10B_3312	16	50	0	0	11	28	0	7	0	0	0	0	9	15	0	0
agaD_locusTag_ECDH10B_3313	1	14	0	0	0	32	0	0	0	7	0	0	15	0	0	0
agaI_locusTag_ECDH10B_3314	0	24	14	0	0	56	8	6	0	18	17	0	0	0	0	0
agaR_locusTag_ECDH10B_3304	753	1902	825	916	670	5833	1008	1699	450	1074	631	1219	326	440	34	18
agaS_locusTag_ECDH10B_3309	12	69	10	25	0	74	0	0	0	43	0	29	0	0	0	0
agaV_locusTag_ECDH10B_3306	0	10	0	0	0	9	1	32	0	0	0	0	0	0	0	0
agaW_locusTag_ECDH10B_3307	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
agp_locusTag_ECDH10B_1074	273	669	115	267	141	836	163	637	458	372	64	376	15	155	0	0
ahpC_locusTag_ECDH10B_0566	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
ahpC_locusTag_ECDH10B_0674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ahpF_locusTag_ECDH10B_0567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ahpF_locusTag_ECDH10B_0675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aidB_locusTag_ECDH10B_4382	63	71	32	39	54	446	64	114	53	146	19	157	4	34	0	0
ais_locusTag_ECDH10B_2412	0	48	0	30	9	349	17	122	0	6	46	130	42	65	0	6
alaS_locusTag_ECDH10B_2865	6387	17682	4922	6025	2497	19431	2089	5250	2219	4225	3573	15341	1416	3599	105	134
alaT_locusTag_ECDH10B_4042	31	81	0	27	0	0	0	19	0	0	0	18	19	26	0	0
alaU_locusTag_ECDH10B_3451	11	33	0	0	0	0	0	0	0	0	0	16	30	0	0	0
alaV_locusTag_ECDH10B_0184	44	239	0	24	0	73	8	23	0	0	81	99	38	65	0	0
alaW_locusTag_ECDH10B_2561	12	0	0	1	0	4	0	12	0	0	23	30	0	0	0	0
alaX_locusTag_ECDH10B_2560	0	22	0	0	0	0	0	0	0	14	0	2	0	0	0	0
aldA_locusTag_ECDH10B_1541	411	1132	3098	4217	852	11904	3915	7705	383	145	1259	7288	111	487	12	23
aldB_locusTag_ECDH10B_3769	22	38	75	170	33	702	223	1082	0	15	73	239	7	1	0	0
alkA_locusTag_ECDH10B_2218	131	239	142	85	99	681	218	242	87	44	70	194	47	84	0	0
alkB_locusTag_ECDH10B_2369	17	148	30	20	24	82	0	22	13	44	8	66	18	26	0	0
allA_locusTag_ECDH10B_0461	0	5	0	11	0	51	0	7	13	16	0	13	0	0	0	0
allB_locusTag_ECDH10B_0468	28	23	0	27	0	124	55	129	0	0	0	0	30	16	0	0
allC_locusTag_ECDH10B_0472	64	113	18	28	19	95	52	87	0	0	7	18	2	0	0	0
allD_locusTag_ECDH10B_0473	0	17	0	0	0	15	0	0	0	0	0	1	0	0	0	0
allR_locusTag_ECDH10B_0462	462	1722	823	782	883	6480	1372	3025	639	770	631	1422	160	312	9	0
allS_locusTag_ECDH10B_0460	1	21	18	0	0	12	15	17	0	0	0	0	0	0	0	0
alpA_locusTag_ECDH10B_2790	11	45	8	0	0	30	6	13	0	0	0	15	16	0	0	0
alr_locusTag_ECDH10B_4242	1003	2774	418	667	332	3820	324	962	218	433	368	1119	232	395	14	0
alsA_locusTag_ECDH10B_4278	4	27	2	15	13	207	31	170	32	45	0	50	6	14	0	0
alsB_locusTag_ECDH10B_4279	52	160	5	14	21	545	97	346	55	76	15	31	22	11	0	0
alsC_locusTag_ECDH10B_4277	0	0	0	0	22	121	0	41	11	14	4	11	0	5	0	0
alsE_locusTag_ECDH10B_4276	0	0	0	0	0	98	34	28	0	0	0	0	11	0	0	0
alsK_locusTag_ECDH10B_4275	13	36	0	12	21	168	42	62	0	36	17	23	9	0	0	0
alx_locusTag_ECDH10B_3264	735	2135	266	417	365	1539	519	1160	288	195	522	1327	335	495	72	25
amiA_locusTag_ECDH10B_2600	180	1319	253	339	193	1769	278	624	217	180	179	538	111	187	19	0
amiB_locusTag_ECDH10B_4364	647	1502	356	393	377	3881	496	1264	227	338	157	1011	212	292	16	8
amiC_locusTag_ECDH10B_2987	495	1563	863	888	537	5723	660	1451	276	241	639	2130	397	470	32	0
amn_locusTag_ECDH10B_2126	522	1877	517	643	433	6510	688	2118	262	324	462	1384	158	359	59	39
ampC_locusTag_ECDH10B_4345	258	864	10	129	18	283	12	116	191	229	67	133	30	98	0	0
ampD_locusTag_ECDH10B_0090	293	689	85	143	156	1374	118	606	83	121	114	196	43	233	0	0
ampE_locusTag_ECDH10B_0091	251	916	176	103	117	1566	200	378	255	270	83	441	101	182	0	14
ampG_locusTag_ECDH10B_0389	699	2675	503	712	367	3982	570	1035	226	390	574	1790	407	441	28	20
ampH_locusTag_ECDH10B_0333	107	311	72	43	40	162	36	51	133	60	48	230	34	62	0	0
amtB_locusTag_ECDH10B_0407	55	102	8	84	27	343	33	116	17	33	38	137	15	92	5	0
amyA_locusTag_ECDH10B_2068	199	368	112	257	98	1128	203	487	123	185	121	716	74	138	0	0
anmK_locusTag_ECDH10B_1774	233	332	194	262	93	867	221	504	90	81	51	367	5	117	13	0
ansA_locusTag_ECDH10B_1905	278	867	88	264	5	403	51	30	62	122	164	427	42	133	0	0
ansB_locusTag_ECDH10B_3132	1705	5074	43	197	38	601	28	319	2539	2144	118	402	115	803	19	8
ansP_locusTag_ECDH10B_1583	219	250	89	125	69	424	49	63	14	73	35	258	9	73	19	0
apaG_locusTag_ECDH10B_0051	466	1106	409	249	125	1236	365	556	59	131	148	963	101	211	0	15
apaH_locusTag_ECDH10B_0050	484	1964	380	543	392	2530	417	804	193	273	369	1282	256	260	13	16
aphA_locusTag_ECDH10B_4244	175	540	29	67	87	481	128	309	66	71	28	254	92	103	0	0
appA_locusTag_ECDH10B_1050	40	164	9	0	57	315	93	177	44	141	9	61	19	36	0	0
appB_locusTag_ECDH10B_1049	13	155	23	19	6	175	60	49	3	421	0	120	0	37	0	0
appC_locusTag_ECDH10B_1048	52	202	29	51	76	112	20	93	40	277	34	146	15	35	10	0
appY_locusTag_ECDH10B_0522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
appY_locusTag_ECDH10B_0630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apt_locusTag_ECDH10B_0425	917	2582	379	922	536	5103	372	863	249	580	590	2864	446	467	11	54
aqpZ_locusTag_ECDH10B_0945	56	75	34	19	16	107	13	98	0	10	2	55	0	0	0	0
araE_locusTag_ECDH10B_3013	140	146	35	77	8724	81362	10202	40892	28	79	39	172	2126	1240	90	94
araF_locusTag_ECDH10B_2041	17	16	7	33	684	11121	4298	13758	0	0	0	6	231	115	0	0
araG_locusTag_ECDH10B_2040	37	0	0	0	718	8904	2305	7276	10	18	0	24	344	80	18	7
araH_locusTag_ECDH10B_2039	0	57	11	20	622	7400	2393	7505	10	0	16	77	286	57	0	10
araJ_locusTag_ECDH10B_0352	99	306	73	96	1923	12890	1241	3376	48	70	48	251	890	642	59	40
arcA_locusTag_ECDH10B_4559	2520	10588	804	1455	983	7310	1048	3563	1974	2748	1107	2950	339	1697	72	7
arcB_locusTag_ECDH10B_3385	1456	4344	840	1038	420	3483	551	1132	870	1057	355	1686	170	805	0	7
argA_locusTag_ECDH10B_2988	64	307	56	60	66	708	88	252	74	83	14	122	26	21	0	0
argB_locusTag_ECDH10B_4147	78	178	41	121	47	418	51	71	35	146	19	169	27	34	12	0
argC_locusTag_ECDH10B_4146	73	201	39	196	27	545	35	81	7	116	49	287	15	33	0	16
argD_locusTag_ECDH10B_3535	252	656	169	234	65	1193	122	215	145	165	172	378	126	184	31	0
argE_locusTag_ECDH10B_4145	434	1435	299	352	531	6481	778	2692	234	312	163	1045	183	470	15	0
argF_locusTag_ECDH10B_0261	112	68	161	127	146	971	146	296	32	0	78	203	55	82	15	4
argG_locusTag_ECDH10B_3346	496	1162	341	195	95	979	194	299	214	459	129	798	52	208	15	0
argH_locusTag_ECDH10B_4148	379	681	432	334	274	1224	260	395	115	567	260	458	77	228	0	12
argI_locusTag_ECDH10B_4447	20	16	0	13	0	101	14	35	8	0	0	23	0	0	21	0
argK_locusTag_ECDH10B_3093	13	11	21	0	0	16	0	27	0	7	6	18	13	15	0	0
argO_locusTag_ECDH10B_3098	142	259	133	127	272	1314	148	959	64	76	122	376	98	147	14	0
argP_locusTag_ECDH10B_3091	428	1994	318	724	438	4851	1089	2251	486	545	474	1407	305	379	43	25
argQ_locusTag_ECDH10B_2859	1031	3820	636	838	262	2090	186	584	145	147	434	2721	244	662	32	32
argR_locusTag_ECDH10B_3414	177	639	165	279	73	807	39	338	147	102	63	534	58	55	0	0
argS_locusTag_ECDH10B_2017	657	3001	662	1478	541	6158	1123	1518	335	746	529	2102	251	569	8	19
argT_locusTag_ECDH10B_2472	174	512	65	94	539	2839	346	654	39	32	42	223	123	170	0	12
argU_locusTag_ECDH10B_0492	205	587	46	60	31	217	53	112	15	2	13	249	64	54	19	10
argV_locusTag_ECDH10B_2862	54	238	55	58	23	139	21	11	16	40	53	139	5	45	0	0
argW_locusTag_ECDH10B_2511	27	37	0	0	0	0	0	43	0	14	45	0	0	0	0	0
argX_locusTag_ECDH10B_3986	24	95	21	16	18	80	51	1	34	5	91	187	9	48	0	0
argY_locusTag_ECDH10B_2861	269	1390	254	360	145	1126	176	337	157	216	182	1178	110	254	0	14
argZ_locusTag_ECDH10B_2860	386	1287	128	153	124	1136	130	224	43	125	194	1491	29	134	6	0
arnA_locusTag_ECDH10B_2415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arnB_locusTag_ECDH10B_2413	0	12	0	0	0	5	0	0	0	0	0	0	0	0	0	0
arnC_locusTag_ECDH10B_2414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arnT_locusTag_ECDH10B_2417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aroA_locusTag_ECDH10B_0978	691	1875	880	530	569	3547	485	1048	164	456	324	1731	238	293	15	96
aroB_locusTag_ECDH10B_3564	3173	7471	1429	1905	704	4181	652	1270	921	1540	913	4575	475	1545	36	6
aroC_locusTag_ECDH10B_2491	587	1794	392	626	371	4744	594	1391	319	438	268	1303	217	325	15	0
aroD_locusTag_ECDH10B_1829	33	139	51	92	82	1061	106	297	27	82	40	284	24	44	2	14
aroE_locusTag_ECDH10B_3456	746	1756	294	498	338	2201	405	648	253	273	317	1246	231	260	17	40
aroF_locusTag_ECDH10B_2768	377	1110	207	330	101	1120	220	462	88	265	129	519	75	267	0	0
aroG_locusTag_ECDH10B_0821	1374	4244	1838	3472	2492	21595	2993	7484	1475	2309	1579	6169	610	1086	78	51
aroH_locusTag_ECDH10B_1840	107	388	130	233	60	1202	127	226	91	266	137	451	49	128	0	0
aroK_locusTag_ECDH10B_3565	2527	5716	975	1666	344	3013	389	992	562	749	752	3262	300	847	33	36
aroL_locusTag_ECDH10B_0345	997	1785	383	467	291	1528	231	490	215	322	294	766	109	301	13	10
aroM_locusTag_ECDH10B_0347	217	974	90	94	15	188	37	137	29	131	91	347	35	196	0	0
aroP_locusTag_ECDH10B_0092	359	853	223	252	237	1817	300	587	259	348	70	951	143	128	17	18
arpA_locusTag_ECDH10B_4206	97	358	15	34	24	128	18	1	7	13	25	79	56	12	0	0
arsB_locusTag_ECDH10B_3678	92	62	43	5	0	93	13	60	9	2	36	50	9	0	0	0
arsC_locusTag_ECDH10B_3679	0	27	0	0	16	143	28	12	0	5	8	58	38	34	21	0
arsR_locusTag_ECDH10B_3677	10	48	14	32	0	59	0	32	25	0	0	51	24	24	0	0
artI_locusTag_ECDH10B_0933	137	337	65	280	89	1259	88	399	112	228	161	495	6	85	11	0
artJ_locusTag_ECDH10B_0930	65	359	102	291	39	950	133	413	22	193	107	262	10	37	0	0
artM_locusTag_ECDH10B_0931	170	484	238	355	68	1270	170	235	121	106	76	645	134	62	0	23
artP_locusTag_ECDH10B_0934	183	386	118	116	91	975	110	271	119	142	112	494	110	173	0	3
artQ_locusTag_ECDH10B_0932	157	269	134	154	44	892	66	244	25	69	90	318	28	68	0	0
ascB_locusTag_ECDH10B_2884	31	196	41	115	48	357	86	88	131	32	23	141	5	45	0	0
ascF_locusTag_ECDH10B_2883	47	135	13	62	11	199	41	82	37	19	16	92	0	7	0	0
ascG_locusTag_ECDH10B_2882	113	481	149	161	88	1615	211	576	70	170	72	312	109	66	0	0
asd_locusTag_ECDH10B_3607	2546	8243	2629	4079	1903	19069	3260	7870	1901	3343	1759	7546	956	1490	77	46
aslA_locusTag_ECDH10B_3991	56	164	17	0	7	77	0	54	17	31	11	22	10	33	0	0
aslB_locusTag_ECDH10B_3990	221	1244	20	35	78	279	36	101	43	28	31	176	49	132	8	5
asmA_locusTag_ECDH10B_2214	650	2905	405	485	288	3167	560	1338	338	438	288	1520	272	325	5	16
asnA_locusTag_ECDH10B_3932	1910	4036	1170	1347	1097	14011	1645	3617	1254	1800	821	4530	2326	1457	79	23
asnB_locusTag_ECDH10B_0739	734	4784	1648	3217	1593	19399	1797	6154	540	3037	1544	6152	480	1108	42	95
asnC_locusTag_ECDH10B_1000	1834	7908	1345	2269	800	9237	1169	2951	1205	1378	954	5459	511	1399	40	60
asnC_locusTag_ECDH10B_3931	163	671	89	110	62	408	95	166	41	68	55	234	16	74	4	0
asnT_locusTag_ECDH10B_2120	0	21	6	22	7	30	0	6	7	14	0	25	14	0	0	0
asnU_locusTag_ECDH10B_2130	68	1029	70	9	90	270	6	25	3	13	139	300	50	32	6	0
asnV_locusTag_ECDH10B_2133	0	15	0	0	0	0	0	12	4	0	0	9	0	0	0	0
asnW_locusTag_ECDH10B_2128	13	17	16	0	0	18	0	0	0	0	10	0	0	9	0	0
aspA_locusTag_ECDH10B_4332	4373	12105	411	758	266	1895	187	719	6742	6548	221	1655	136	2112	0	0
aspC_locusTag_ECDH10B_0998	2067	5910	1320	1894	1095	8102	657	2168	1728	2008	1454	5284	576	1040	92	40
aspS_locusTag_ECDH10B_2007	1759	6326	1438	1871	1010	9245	1125	2731	998	1207	1076	4262	407	998	65	31
aspT_locusTag_ECDH10B_3949	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aspU_locusTag_ECDH10B_0187	0	3	0	0	0	6	1	0	0	0	0	0	4	0	0	0
aspV_locusTag_ECDH10B_0197	13	76	8	20	11	83	35	20	4	59	6	118	0	53	0	0
asr_locusTag_ECDH10B_1730	19	30	56	60	66	276	25	213	13	20	30	123	15	3	0	18
astA_locusTag_ECDH10B_1885	1	43	94	85	13	448	103	215	0	10	21	139	17	15	0	0
astB_locusTag_ECDH10B_1883	13	44	105	63	66	297	128	179	10	11	55	169	0	0	10	0
astC_locusTag_ECDH10B_1886	11	72	49	75	53	346	117	335	16	0	164	256	0	58	0	0
astD_locusTag_ECDH10B_1884	0	32	79	54	18	322	85	476	13	0	56	190	11	0	0	0
astE_locusTag_ECDH10B_1882	7	0	16	9	27	342	154	182	0	15	30	171	6	0	0	0
atoA_locusTag_ECDH10B_2380	5	5	0	13	0	0	0	0	0	0	0	0	0	0	0	0
atoB_locusTag_ECDH10B_2382	15	15	0	5	9	47	20	4	17	0	0	19	0	0	0	0
atoC_locusTag_ECDH10B_2378	19	154	23	40	14	245	51	176	97	89	0	76	0	34	0	0
atoD_locusTag_ECDH10B_2379	0	11	0	0	0	21	0	0	0	0	0	0	0	0	0	0
atoE_locusTag_ECDH10B_2381	0	11	0	6	0	66	0	0	0	0	3	2	0	0	0	0
atoS_locusTag_ECDH10B_2377	39	130	9	21	19	130	0	75	67	55	0	47	0	7	0	0
atpA_locusTag_ECDH10B_3921	13785	58052	9256	14917	4044	45389	3080	8009	6511	11178	9418	37130	3039	8357	123	255
atpB_locusTag_ECDH10B_3925	4292	13247	2539	2447	917	8199	897	1836	1930	1817	2496	9121	933	2096	6	71
atpC_locusTag_ECDH10B_3918	1926	5920	1150	1937	855	4708	329	843	1029	1747	1071	3419	630	1214	18	33
atpD_locusTag_ECDH10B_3919	15959	54991	11033	12616	3727	35387	2630	6641	5302	8513	6927	30891	2487	7665	156	122
atpE_locusTag_ECDH10B_3924	4972	13806	2450	3008	1362	10293	1269	2197	2645	3646	3479	9924	801	2439	86	80
atpF_locusTag_ECDH10B_3923	3995	10776	1964	3655	924	8719	682	2529	1650	1915	1427	6939	638	1810	24	5
atpG_locusTag_ECDH10B_3920	6657	22188	4376	6136	1643	15927	1116	2747	2323	4019	2819	15939	1008	4013	42	34
atpH_locusTag_ECDH10B_3922	2138	6333	1545	2306	804	6509	563	1200	1221	1800	1607	4647	586	1835	3	45
atpI_locusTag_ECDH10B_3926	1208	2302	556	476	360	1817	209	401	179	453	483	1634	210	440	33	0
avtA_locusTag_ECDH10B_3753	1455	3700	673	1421	412	4720	500	1273	420	751	571	3081	215	854	56	0
azoR_locusTag_ECDH10B_1538	20	93	10	55	35	118	7	69	0	0	17	47	0	0	0	0
bacA_locusTag_ECDH10B_3232	304	1026	445	297	178	951	120	426	146	169	396	1000	123	221	11	20
baeR_locusTag_ECDH10B_2231	104	401	173	269	138	1193	144	509	99	62	52	359	70	0	0	0
baeS_locusTag_ECDH10B_2230	37	145	15	41	0	149	2	90	0	68	11	83	13	27	0	0
barA_locusTag_ECDH10B_2954	440	1679	194	441	227	2501	371	1106	197	245	111	1142	152	369	0	0
basR_locusTag_ECDH10B_4305	129	211	135	63	88	1045	103	330	36	50	122	307	76	174	39	0
basS_locusTag_ECDH10B_4304	130	574	115	164	219	2419	233	517	189	188	177	716	160	194	2	26
bax_locusTag_ECDH10B_3751	1622	4587	921	1115	361	3778	666	1188	373	251	539	2222	374	839	9	50
