chromosome	part_name	sample	reads_us	reads_ds	c_e	max_cut	cut_site
0x58v50	RiboJ	flask_3	2.24	46798.87	0.999952135596	N	7
0x58v50	RiboJ	flask_2	54.76	592.82	0.907627947775	N	7
0x58v50	RiboJ	flask_1	18.11	326.75	0.944575363428	N	7
0x58v50	RiboJ10	tube_8	0.0	0.0	0.0	Y	7
0x58v50	RiboJ10	tube_1	0.28	2962.32	0.999905479489	N	7
0x58v50	RiboJ10	tube_3	0.0	435.89	0.997705843217	Y	7
0x58v50	RiboJ10	tube_2	0.0	521.8	0.998083556918	Y	7
0x58v50	RiboJ10	tube_5	0.0	1057.04	0.999053962007	Y	7
0x58v50	RiboJ10	tube_4	23.18	1433.85	0.983833734352	N	7
0x58v50	RiboJ10	tube_7	0.0	0.0	0.0	Y	7
0x58v50	RiboJ10	tube_6	0.0	204.37	0.995106913931	Y	7
0x58v50	RiboJ10	flask_8	94.98	289.34	0.671735674293	N	7
0x58v50	RiboJ10	flask_7	19.95	241.19	0.917285127907	N	7
0x58v50	RiboJ10	flask_6	169.63	1708.78	0.900730345627	N	7
0x58v50	RiboJ10	flask_5	11.32	3566.04	0.996825610481	N	7
0x58v50	RiboJ10	flask_4	14.6	857.96	0.982982889645	N	7
0x58v50	RiboJ10	flask_3	0.0	644.5	0.99844840962	Y	7
0x58v50	RiboJ10	flask_2	12.84	1376.36	0.990671045366	N	7
0x58v50	RiboJ10	flask_1	1.57	8597.1	0.999817380279	N	7
0x58v50	RiboJ53	tube_8	0.0	72.02	0.986114968064	Y	7
0x58v50	RiboJ53	tube_1	15.3	1325.12	0.988453875875	N	7
0x58v50	RiboJ53	tube_3	30.01	258.6	0.883952049497	N	7
0x58v50	RiboJ53	tube_2	0.0	1270.9	0.999213156031	Y	7
0x58v50	RiboJ53	tube_5	26.6	117.38	0.773385585279	N	7
0x58v50	RiboJ53	tube_4	30.41	1370.2	0.977806159685	N	7
0x58v50	RiboJ53	tube_7	0.18	144.38	0.998753289929	N	7
0x58v50	RiboJ53	tube_6	18.08	1777.05	0.989825834951	N	7
0x58v50	RiboJ53	flask_8	49.35	4082.58	0.987912055612	N	7
0x58v50	RiboJ53	flask_7	57.55	1001.91	0.942559710952	N	7
0x58v50	RiboJ53	flask_6	183.51	4554.06	0.95970408822	N	7
0x58v50	RiboJ53	flask_5	87.63	302.62	0.710428920759	N	7
0x58v50	RiboJ53	flask_4	19.2	914.85	0.979012952943	N	7
0x58v50	RiboJ53	flask_3	0.36	536.49	0.999328971649	N	7
0x58v50	RiboJ53	flask_2	103.98	10464.35	0.990063405754	N	7
0x58v50	RiboJ53	flask_1	196.91	2455.87	0.919820674547	N	7
0x58v50	SarJ	tube_8	16.85	13.02	0.0	N	8
0x58v50	SarJ	tube_1	2.95	0.0	0.0	Y	8
0x58v50	SarJ	tube_3	583.81	87.41	0.0	N	8
0x58v50	SarJ	tube_2	6.8	0.18	0.0	N	8
0x58v50	SarJ	tube_5	76.53	211.08	0.637436043206	N	8
0x58v50	SarJ	tube_4	1311.71	323.88	0.0	N	8
0x58v50	SarJ	tube_7	50.84	29.18	0.0	N	8
0x58v50	SarJ	tube_6	42.73	195.37	0.781286789169	N	8
0x58v50	SarJ	flask_8	2457.13	9101.13	0.730019239369	N	8
0x58v50	SarJ	flask_7	474.71	2340.31	0.797159350684	N	8
0x58v50	SarJ	flask_6	2727.4	14884.5	0.816762403843	N	8
0x58v50	SarJ	flask_5	482.31	2179.16	0.778671598231	N	8
0x58v50	SarJ	flask_4	300.6	112.36	0.0	N	8
0x58v50	SarJ	flask_3	168.97	56.79	0.0	N	8
0x58v50	SarJ	flask_2	93.93	7.94	0.0	N	8
0x58v50	SarJ	flask_1	0.0	1.8	0.444444444444	Y	8
