chromosome	part_name	sample	reads_us	reads_ds	reads_strength
0x58v50	pJ23105	flask_2	0.0	9209.5	9209.5
0x58v50	pJ23105	flask_1	0.0	4589.5	4589.5
0x58v50	pLitR	tube_8	0.0	112.0	112.0
0x58v50	pLitR	tube_1	15.0	2417.5	2402.5
0x58v50	pLitR	tube_3	35.0	467.5	432.5
0x58v50	pLitR	tube_2	0.0	2273.5	2273.5
0x58v50	pLitR	tube_5	27.0	138.0	111.0
0x58v50	pLitR	tube_4	47.0	2388.0	2341.0
0x58v50	pLitR	tube_7	0.0	203.0	203.0
0x58v50	pLitR	tube_6	16.0	3278.0	3262.0
0x58v50	pLitR	flask_8	41.5	7204.0	7162.5
0x58v50	pLitR	flask_7	51.0	1895.0	1844.0
0x58v50	pLitR	flask_6	216.0	8104.0	7888.0
0x58v50	pLitR	flask_5	90.0	509.0	419.0
0x58v50	pLitR	flask_4	23.0	1701.0	1678.0
0x58v50	pLitR	flask_3	0.0	942.5	942.5
0x58v50	pLitR	flask_2	99.0	17421.5	17322.5
0x58v50	pLitR	flask_1	265.5	4526.0	4260.5
0x58v50	pPhlF	tube_8	0.0	468.5	468.5
0x58v50	pPhlF	tube_1	6.0	309.5	303.5
0x58v50	pPhlF	tube_3	0.0	38972.0	38972.0
0x58v50	pPhlF	tube_2	6.0	183.0	177.0
0x58v50	pPhlF	tube_5	0.0	25228.0	25228.0
0x58v50	pPhlF	tube_4	0.0	184258.5	184258.5
0x58v50	pPhlF	tube_7	0.0	601.0	601.0
0x58v50	pPhlF	tube_6	0.0	2551.5	2551.5
0x58v50	pPhlF	flask_8	0.0	195365.5	195365.5
0x58v50	pPhlF	flask_7	0.0	129133.5	129133.5
0x58v50	pPhlF	flask_6	9.0	339152.5	339143.5
0x58v50	pPhlF	flask_5	0.0	74480.0	74480.0
0x58v50	pPhlF	flask_4	0.0	135765.5	135765.5
0x58v50	pPhlF	flask_3	0.0	69676.5	69676.5
0x58v50	pPhlF	flask_2	37.0	1007.0	970.0
0x58v50	pPhlF	flask_1	15.0	609.0	594.0
0x58v50	pSrpR	tube_8	0.0	51.0	51.0
0x58v50	pSrpR	tube_1	20.0	868.0	848.0
0x58v50	pSrpR	tube_3	27.0	177.0	150.0
0x58v50	pSrpR	tube_2	8.0	821.0	813.0
0x58v50	pSrpR	tube_5	31.0	88.0	57.0
0x58v50	pSrpR	tube_4	48.0	942.5	894.5
0x58v50	pSrpR	tube_7	0.0	122.0	122.0
0x58v50	pSrpR	tube_6	16.0	1214.0	1198.0
0x58v50	pSrpR	flask_8	26.0	2698.5	2672.5
0x58v50	pSrpR	flask_7	41.0	646.0	605.0
0x58v50	pSrpR	flask_6	159.0	2779.0	2620.0
0x58v50	pSrpR	flask_5	82.0	170.5	88.5
0x58v50	pSrpR	flask_4	23.0	603.0	580.0
0x58v50	pSrpR	flask_3	0.0	359.0	359.0
0x58v50	pSrpR	flask_2	71.0	6957.5	6886.5
0x58v50	pSrpR	flask_1	246.0	1507.5	1261.5
0x58v50	pTac	tube_8	0.0	50.0	50.0
0x58v50	pTac	tube_1	0.0	0.0	0.0
0x58v50	pTac	tube_3	0.0	304.5	304.5
0x58v50	pTac	tube_2	0.0	227.0	227.0
0x58v50	pTac	tube_5	0.0	0.0	0.0
0x58v50	pTac	tube_4	0.0	2268.0	2268.0
0x58v50	pTac	tube_7	0.0	18.0	18.0
0x58v50	pTac	tube_6	0.0	178.0	178.0
0x58v50	pTac	flask_8	0.0	1532.0	1532.0
0x58v50	pTac	flask_7	0.0	185.5	185.5
0x58v50	pTac	flask_6	0.0	585.0	585.0
0x58v50	pTac	flask_5	0.0	20.0	20.0
0x58v50	pTac	flask_4	0.0	1137.5	1137.5
0x58v50	pTac	flask_3	0.0	400.0	400.0
0x58v50	pTac	flask_2	0.0	1075.0	1075.0
0x58v50	pTac	flask_1	0.0	0.0	0.0
0x58v50	pTet1	tube_8	0.0	334.5	334.5
0x58v50	pTet1	tube_1	0.0	24.0	24.0
0x58v50	pTet1	tube_3	0.0	2291.5	2291.5
0x58v50	pTet1	tube_2	0.0	814.0	814.0
0x58v50	pTet1	tube_5	0.0	0.0	0.0
0x58v50	pTet1	tube_4	12.0	13308.5	13296.5
0x58v50	pTet1	tube_7	0.0	250.0	250.0
0x58v50	pTet1	tube_6	0.0	976.5	976.5
0x58v50	pTet1	flask_8	0.0	7475.0	7475.0
0x58v50	pTet1	flask_7	0.0	1127.5	1127.5
0x58v50	pTet1	flask_6	0.0	3315.0	3315.0
0x58v50	pTet1	flask_5	0.0	31.0	31.0
0x58v50	pTet1	flask_4	0.0	7576.5	7576.5
0x58v50	pTet1	flask_3	0.0	2633.0	2633.0
0x58v50	pTet1	flask_2	0.0	5720.0	5720.0
0x58v50	pTet1	flask_1	0.0	0.0	0.0
0x58v50	pTet2	tube_8	12.0	1111.0	1099.0
0x58v50	pTet2	tube_1	15.0	24.0	9.0
0x58v50	pTet2	tube_3	186.0	11946.0	11760.0
0x58v50	pTet2	tube_2	56.0	330.0	274.0
0x58v50	pTet2	tube_5	33.5	4146.5	4113.0
0x58v50	pTet2	tube_4	788.0	35814.0	35026.0
0x58v50	pTet2	tube_7	15.0	1327.5	1312.5
0x58v50	pTet2	tube_6	157.0	4288.5	4131.5
0x58v50	pTet2	flask_8	657.5	180421.5	179764.0
0x58v50	pTet2	flask_7	251.5	50435.0	50183.5
0x58v50	pTet2	flask_6	693.5	242213.5	241520.0
0x58v50	pTet2	flask_5	101.0	19490.5	19389.5
0x58v50	pTet2	flask_4	150.5	32783.5	32633.0
0x58v50	pTet2	flask_3	83.0	12376.5	12293.5
0x58v50	pTet2	flask_2	424.0	337.0	-87.0
0x58v50	pTet2	flask_1	191.0	40.5	-150.5
