Chr	Locus	Gene Name	CT State 1	CT State 2	CT State 3	CT State 4	CT State 5	CT State 6	CT State 7	CT State 8
DH10B	ECDH10B_0078	lpxC	3028.6	2190.2	2197.5	2758.9	2123.7	2649.2	2631.9	2088.9
DH10B	ECDH10B_0079	secM	357.7	540	315.2	544.3	713.5	427.8	71	0
DH10B	ECDH10B_0080	secA	726.2	1057.8	719.6	787.1	928.7	811.4	224.3	599.2
DH10B	ECDH10B_0081	mutT	72	75	32.9	29.1	97.9	29.6	0	0
DH10B	ECDH10B_0082	yacG	0	0	84.7	0	0	0	0	0
DH10B	ECDH10B_0083	yacF	167.1	183.1	127.2	169.4	132.6	108.7	0	0
DH10B	ECDH10B_0084	coaE	122.7	73.1	92.1	67.6	84.6	43.4	0	0
DH10B	ECDH10B_0085	guaC	206.5	312.5	85	113.8	65.5	215.4	0	0
DH10B	ECDH10B_0086	hofC	0	17.3	40.2	20.5	23.8	25	141.3	0
DH10B	ECDH10B_0087	hofB	26.8	61.6	35.6	29.4	75.8	38.9	0	0
DH10B	ECDH10B_0088	ppdD	0	0	0	1.1	0	21	0	0
DH10B	ECDH10B_0089	nadC	234.4	408	166.5	235.2	487.8	279.1	230.9	0
DH10B	ECDH10B_0090	ampD	92.6	154.7	189.3	60	83.6	252.5	0	0
DH10B	ECDH10B_0091	ampE	160.7	125.1	61.1	108.7	109.8	138.7	0	230.9
DH10B	ECDH10B_0092	aroP	243.7	170.2	85.4	120.1	171.4	97.5	238.6	0
DH10B	ECDH10B_0093	pdhR	634.3	469.7	616.1	611.7	867.5	1031.8	666.6	0
DH10B	ECDH10B_0094	aceE	1515.9	2148.4	3227.3	3156.7	2917.7	2563.2	1558.6	1550.8
DH10B	ECDH10B_0095	aceF	1630.2	2727.9	3283.4	3873.5	3062.7	3800.8	917.1	1229
DH10B	ECDH10B_0096	lpd	1854.6	2405.6	2076.4	2640.3	1827.1	3146.9	1133.2	1038.9
DH10B	ECDH10B_0097	yacH	23.8	31.5	34.6	20.9	24	59.4	65.5	174.9
DH10B	ECDH10B_0098	acnB	962.9	991.6	1929.8	1710.2	1499.6	1382.2	682.3	732.7
DH10B	ECDH10B_0099	yacL	386.7	118.7	491.6	313.8	92.1	275.8	0	0
DH10B	ECDH10B_0100	speD	348.1	225.5	239.4	389.7	358.3	279	565.1	266
DH10B	ECDH10B_0101	speE	219.7	228.1	369.6	369.4	273.5	336.6	14	0
DH10B	ECDH10B_0102	yacC	187.3	35.4	133.2	97.3	86.9	37.6	628	0
DH10B	ECDH10B_0103	cueO	171.3	92.3	101.1	32.5	110.8	68	0	0
DH10B	ECDH10B_0104	gcd	47.4	24.8	172.4	126.4	99.2	144.9	81.2	117.9
DH10B	ECDH10B_0105	hpt	263.3	319.5	358	299.1	74.1	276.8	0	0
DH10B	ECDH10B_0106	can	627.6	450.3	761.4	843.8	554.5	509.9	494.4	361.5
DH10B	ECDH10B_0107	yadG	54.1	109.6	60.6	172.5	147.6	45.7	183.4	0
DH10B	ECDH10B_0108	yadH	127.4	95.8	127.9	93.6	64	18	0	219.5
DH10B	ECDH10B_0109	yadI	0	96	26.8	20.7	0	33.2	440.5	0
DH10B	ECDH10B_0110	yadE	60.3	42.5	73.7	59.7	164.3	86.4	98.7	114.6
DH10B	ECDH10B_0111	panD	523.7	638.2	204.4	376.1	300.8	396.2	0	0
DH10B	ECDH10B_0112	yadD	56.6	44.3	0	33.1	45.8	64	322.7	15.6
DH10B	ECDH10B_0113	panC	746.1	447.1	217.6	321.9	212.9	390.5	0	0
DH10B	ECDH10B_0114	panB	301.4	312.6	225.7	166.9	98.1	187.9	106.9	0
DH10B	ECDH10B_0115	yadC	0	6.2	18.3	6.2	69.4	26.1	0	0
DH10B	ECDH10B_0116	yadK	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0117	yadL	16.5	21.6	4.9	0	0	0	100.2	0
DH10B	ECDH10B_0118	yadM	0	18.9	0	5.2	0	0	0	0
DH10B	ECDH10B_0119	htrE	0	0	8.3	3.7	0	9.2	0	0
DH10B	ECDH10B_0120	ecpD	17.6	26	13.3	3.7	40.8	15.6	0	0
DH10B	ECDH10B_0121	yadN	0	0	0	13.1	2.7	0	0	0
DH10B	ECDH10B_0122	folK	112.8	54.5	26.7	156.5	106.1	59.4	0	0
DH10B	ECDH10B_0123	pcnB	226.6	268.1	521.2	416.6	374.5	283.1	416.9	221.9
DH10B	ECDH10B_0124	yadB	97.3	76.4	79.8	61.3	79	39	0	136.9
DH10B	ECDH10B_0125	dksA	3317.8	1071.5	994.6	1064.8	575.9	1285.2	1837.1	0
DH10B	ECDH10B_0126	sfsA	384	151.7	155.2	141.6	354.4	158.4	0	0
DH10B	ECDH10B_0127	ligT	41.5	44.9	74.3	47.5	86.9	62.4	0	0
DH10B	ECDH10B_0128	hrpB	47	45.3	53.6	64	74	88.7	0	127.7
DH10B	ECDH10B_0129	mrcB	198.1	229.5	190.2	204.9	310.1	174.4	124.5	300.4
DH10B	ECDH10B_0130	fhuA	75.1	63.1	340.5	365.8	445.4	124.6	216.4	157.1
DH10B	ECDH10B_0131	fhuC	85.4	40.5	24.7	33.4	125.6	64.7	0	0
DH10B	ECDH10B_0132	fhuD	29.3	52.7	81.9	48	8.9	21.6	0	0
DH10B	ECDH10B_0133	fhuB	13.1	38.4	42.8	46.4	73.8	66	0	0
DH10B	ECDH10B_0134	hemL	425.8	416.9	151.6	169.2	214.9	204.4	265.4	0
DH10B	ECDH10B_0135	clcA	106.5	58.4	16.6	57.9	54.8	86.6	0	0
DH10B	ECDH10B_0136	yadR	26.2	131.6	200.1	245.7	143	223.2	492.7	0
DH10B	ECDH10B_0137	yadS	57.8	48.1	23.7	155.2	211.7	103.7	155.7	203.4
DH10B	ECDH10B_0138	btuF	55.1	14.4	49.2	66.6	51.7	72.1	0	0
DH10B	ECDH10B_0139	pfs	417.4	533.9	342.8	327	296	191.7	0	262.2
DH10B	ECDH10B_0140	dgt	116.9	100.9	59.8	71.9	103.8	78.1	0	111.5
DH10B	ECDH10B_0141	degP	225.1	214.9	501.6	352.2	970.5	542.6	903.1	1612.8
DH10B	ECDH10B_0142	cdaR	104.8	70.4	61.3	93.2	170.4	103.1	0	219.2
DH10B	ECDH10B_0143	yaeH	494.8	276.4	127.4	88.7	65.8	224.9	0	0
DH10B	ECDH10B_0144	yaeI	34.5	76.7	47.3	53.2	0	50.2	0	0
DH10B	ECDH10B_0145	dapD	717	961.6	282	416.3	237.3	334.2	0	546.9
DH10B	ECDH10B_0146	glnD	140.7	108.2	92.2	99.6	87.5	87.3	40.9	0
DH10B	ECDH10B_0147	map	604.1	677.5	434.1	716.4	526.5	374.9	0	195.1
DH10B	ECDH10B_0149	rpsB	4036.6	4045.6	4123.1	4550	3371.5	3523.8	2408.1	2350
DH10B	ECDH10B_0150	tsf	3311.4	3094.2	3702	3434.6	3166.1	2786.6	1296.7	1175
DH10B	ECDH10B_0151	pyrH	388.1	474.8	364	469	278.4	307.6	719.1	330.2
DH10B	ECDH10B_0152	frr	966.7	1795.4	1228	1150.4	581.8	1330.4	174.1	126.3
DH10B	ECDH10B_0153	dxr	185.9	246.2	176.3	158.9	97.1	178.9	263.7	11.8
DH10B	ECDH10B_0154	ispU	305.3	366.6	951	744.5	559.7	785.3	31.9	0
DH10B	ECDH10B_0155	cdsA	315.5	224.2	373.5	461.9	293.1	334.8	42.5	180.8
DH10B	ECDH10B_0156	rseP	566.9	569.3	815.4	722.5	731.6	743.9	511.5	239.7
DH10B	ECDH10B_0157	ecfK	585.2	741.3	1104.3	1189.9	849.1	917.3	843.3	765
DH10B	ECDH10B_0158	skp	876.8	937.3	1756.9	1413.9	1041.3	1236	674.5	0
DH10B	ECDH10B_0159	lpxD	562.9	663.7	1279.1	1408.8	1129.2	1107.1	473.3	920.8
DH10B	ECDH10B_0160	fabZ	490.3	639.5	942.7	695.2	492.1	641.7	0	309.2
DH10B	ECDH10B_0161	lpxA	1022.9	678.8	926	867.5	869.4	687.1	184.7	411
DH10B	ECDH10B_0162	lpxB	281.8	364.3	572.4	472.9	526.3	544.2	158.5	220.9
DH10B	ECDH10B_0163	rnhB	292.2	165	295.6	380.8	495.8	267	223.7	755.8
DH10B	ECDH10B_0164	dnaE	157.2	158	395.2	431.7	408	431.1	66.2	166
DH10B	ECDH10B_0165	accA	805.2	1341.8	1554.9	1187.3	1409.1	1037.2	518.5	73.4
DH10B	ECDH10B_0166	ldcC	55.7	88	60.8	60.6	23.8	37.7	0	0
DH10B	ECDH10B_0167	yaeR	0	21.7	48	66.5	32.6	33.6	155.7	0
DH10B	ECDH10B_0168	tilS	88	64.6	75.9	82.6	102.9	72.9	121.5	76
DH10B	ECDH10B_0169	rof	0	0	0	48.4	181	0	0	0
DH10B	ECDH10B_0170	yaeP	79.8	0	0	1.2	7.9	114.9	0	0
DH10B	ECDH10B_0171	yaeQ	170.8	59.2	184.2	112.2	67	100.1	0	103.3
DH10B	ECDH10B_0172	yaeJ	101.9	70.9	25.6	48.5	94.1	56.4	459.2	266.7
DH10B	ECDH10B_0173	nlpE	83.2	103.9	80.4	115.4	114.2	132.1	0	277.6
DH10B	ECDH10B_0174	yaeF	14.6	59.7	15.5	50.3	42.4	32.7	0	0
DH10B	ECDH10B_0175	proS	877.8	845.6	644.7	767.9	891.6	543.4	480.3	82
DH10B	ECDH10B_0176	yaeB	223.7	155.4	122.5	107.1	238.3	224.1	0	199.2
DH10B	ECDH10B_0177	rcsF	188.1	161.5	185	167.2	369.4	152.1	0	0
DH10B	ECDH10B_0178	metQ	485.3	437.5	747.9	384.6	986.9	565.3	1041.5	449.3
DH10B	ECDH10B_0179	metI	145.6	118.8	158.3	202.5	333.4	151.9	259.9	258.7
DH10B	ECDH10B_0180	metN	19.4	131.2	81.2	160.9	145	158.9	105.9	259.6
DH10B	ECDH10B_0181	gmhB	288.9	225.8	118.1	260	265.2	185.8	0	293.7
DH10B	ECDH10B_0188	dkgB	74.8	24.9	35.6	48.9	65.3	103.4	0	175.4
DH10B	ECDH10B_0189	yafC	58.1	116.9	12.9	34	90.4	37	0	0
DH10B	ECDH10B_0190	yafD	266.6	367.9	94.8	116.6	174.8	171.1	0	264
DH10B	ECDH10B_0191	yafE	91.6	67.8	9.5	66.9	28.1	55.5	0	497.1
DH10B	ECDH10B_0192	mltD	312.1	476.2	683.4	577.4	441.5	363.8	500.3	466.9
DH10B	ECDH10B_0193	gloB	19.9	98.7	32.6	60.8	14.7	37.7	48.2	0
DH10B	ECDH10B_0194	yafS	115.1	139.4	139.1	90.2	96.9	74.6	319.1	0
DH10B	ECDH10B_0195	rnhA	150	74	122.2	109.8	81.6	93.8	0	0
DH10B	ECDH10B_0196	dnaQ	157.5	97.8	64.7	129.6	150	219.9	99.5	0
DH10B	ECDH10B_0198	yafT	47.2	21.5	26.3	64.8	141.7	17.6	0	0
DH10B	ECDH10B_0199	yafU	78.6	0	0	0	0	0	0	0
DH10B	ECDH10B_0200	yafF	0	0	0	7.8	109.5	0	0	0
DH10B	ECDH10B_0201	yafV	209.4	81.8	134.3	115.7	76.4	63.9	0	237.7
DH10B	ECDH10B_0202	ivy	110	107.1	126.9	167.9	0	65	0	0
DH10B	ECDH10B_0203	fadE	15.2	17.3	48	56.3	54	49.8	24.8	69.2
DH10B	ECDH10B_0204	lpcA	334.2	357.5	255.4	236.4	131.9	126.4	0	0
DH10B	ECDH10B_0205	yafJ	178.8	312.6	318.4	252.2	323.3	230.6	0	18.4
DH10B	ECDH10B_0206	yafK	387	587.8	806.3	650.6	562.7	542.5	180.2	228.3
DH10B	ECDH10B_0207	yafQ	129.4	71.7	31.8	17.7	0	0	0	0
DH10B	ECDH10B_0208	dinJ	53.8	14.7	0	18.9	67.1	5.9	511.7	0
DH10B	ECDH10B_0209	yafL	0	0	0	14.2	38.2	0	0	0
DH10B	ECDH10B_0210	yafM	18.1	0	0	6.5	0	0	0	0
DH10B	ECDH10B_0211	lfhA	13.5	7.2	0	2.6	36.2	0.4	0	0
DH10B	ECDH10B_0212	lafU	0	0	0	0	0	5.1	0	0
DH10B	ECDH10B_0213	dinB	61.7	29.9	17.7	21.8	13.6	24.1	0	0
DH10B	ECDH10B_0214	yafN	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0215	yafO	45.2	3.9	0	8.7	47.9	25.1	0	0
DH10B	ECDH10B_0216	yafP	26.6	18.7	0	6	0	0	0	0
DH10B	ECDH10B_0217	ykfJ	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0218	prfH	0	16.9	49.2	25.2	0	9.2	0	0
DH10B	ECDH10B_0219	pepD	624.4	699.8	555.2	521.6	518.5	535.6	58.3	212.8
DH10B	ECDH10B_0220	gpt	139.8	166	208.4	128.7	173.4	45.3	529	368.6
DH10B	ECDH10B_0221	frsA	177.2	255.3	270.8	158.2	81.8	204.7	0	22.7
DH10B	ECDH10B_0222	crl	521.3	235.4	1731.6	640.5	550.3	385	724.8	0
DH10B	ECDH10B_0223	phoE	16.1	18.2	42.9	96.6	98	102.8	195.5	0
DH10B	ECDH10B_0224	proB	253.4	369.4	154.5	146.4	142.7	108.1	0	166
DH10B	ECDH10B_0225	proA	383	386	221.7	228	172.6	163.4	77.5	224.9
DH10B	ECDH10B_0227	ykfI	41	54	43.2	19.5	88.4	0	319.5	0
DH10B	ECDH10B_0228	yafW	0	70.2	37.2	21	0	87.2	0	0
DH10B	ECDH10B_0229	ykfH	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0230	ykfG	0	0	0	11.4	30	32.3	0	177.4
DH10B	ECDH10B_0231	yafX	109.2	134.1	64.4	94.2	121.4	43.6	0	0
DH10B	ECDH10B_0232	ykfF	0	0	0	29.9	0	22.5	0	0
DH10B	ECDH10B_0233	ykfB	17.1	11.5	111.7	69.7	102	79	0	0
DH10B	ECDH10B_0234	yafY	0	0	64.4	0	0	0	0	0
DH10B	ECDH10B_0235	ykfL	0	114.4	0	15.6	0	0	0	0
DH10B	ECDH10B_0236	ykfK	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0237	yafZ	32.9	25.3	0	4.5	0	16.9	0	0
DH10B	ECDH10B_0238	ykfA	47.6	41.9	45.6	27.2	7.4	25.8	0	0
DH10B	ECDH10B_0239	perR	12.3	18.1	6.6	29	42.7	17.2	81.5	0
DH10B	ECDH10B_0240	insN-1	32.2	30.4	29.2	1.8	19.6	0	0	0
DH10B	ECDH10B_0241	insI-1	47	47.4	41.9	46.8	88.4	54.8	63.2	97.9
DH10B	ECDH10B_0243	insO-1	75.3	9	0	20.9	44.8	14.5	0	0
DH10B	ECDH10B_0244	ykfC	20.8	19.4	38.3	18.5	2.9	44.5	0	0
DH10B	ECDH10B_0245	insH-1	503.8	408.6	192.9	311.2	286.4	263.5	322.3	263.4
DH10B	ECDH10B_0246	mmuP	0	14.8	22.5	22.2	7.9	3.8	0	70.3
DH10B	ECDH10B_0247	mmuM	81.7	52	55	47.7	29	47.9	0	0
DH10B	ECDH10B_0248	afuC	24.9	4.4	1.9	13	36.5	1.5	0	0
DH10B	ECDH10B_0249	afuB	0	0	0	36.1	0	10.6	0	0
DH10B	ECDH10B_0250	insB-2	61.7	111.5	209.3	78.4	56.8	91.7	0	0
DH10B	ECDH10B_0251	insA-2	47.2	19.5	50	11.6	0	5.6	0	0
DH10B	ECDH10B_0252	ykgN	91.7	0	87.3	42.3	0	31.8	0	0
DH10B	ECDH10B_0253	yagB	28.6	68	47.8	78.1	272	37.3	311.3	0
DH10B	ECDH10B_0254	yagA	0	0	0	5.1	17.9	7.3	0	0
DH10B	ECDH10B_0255	yagE	1581.5	1563.8	1169.4	1516.3	951.5	620.2	365.5	454.8
DH10B	ECDH10B_0256	yagF	1669	1670.3	1895.3	2016.3	1279.3	871.1	635.4	415.5
DH10B	ECDH10B_0257	yagG	58	117.4	268.8	147.8	230.1	66.8	210.7	0
DH10B	ECDH10B_0258	yagH	95.2	73.6	113.2	164	264.8	72.2	0	0
DH10B	ECDH10B_0259	yagI	22.5	65.9	71.4	24.7	18.9	19.3	207.9	0
DH10B	ECDH10B_0261	argF	25.9	0	64.7	41.1	87.1	39.8	84.6	56.1
DH10B	ECDH10B_0262	insB-3	45.8	134.4	254.3	82.9	44.2	100.8	0	0
DH10B	ECDH10B_0263	insA-3	43.6	30.7	46.4	20.6	0	11.2	0	0
DH10B	ECDH10B_0264	yagJ	50.7	32.6	13.5	28.4	63.1	30.5	0	173.4
DH10B	ECDH10B_0265	yagK	64	0	110.1	81.6	91.4	94.6	0	0
DH10B	ECDH10B_0266	yagL	7.2	37.4	7.1	8.8	4.6	12.1	0	0
DH10B	ECDH10B_0267	yagM	30.5	0	0	2.3	0	5.4	0	0
DH10B	ECDH10B_0268	yagN	236.4	286.2	125.2	189.9	223.7	69.8	0	0
DH10B	ECDH10B_0269	intF	151.7	61	106.3	72.3	102.2	97.3	104	151
DH10B	ECDH10B_0270	yagP	0	52.4	0	22.2	0	31.9	0	0
DH10B	ECDH10B_0271	yagQ	52.4	16.1	11.3	16.3	51.6	12.9	0	0
DH10B	ECDH10B_0272	yagR	0	3.8	0	14.6	0	3.5	0	0
DH10B	ECDH10B_0273	yagS	24.1	0	0	4.9	0	17.7	0	0
DH10B	ECDH10B_0274	yagT	0	0	0	10.4	20.8	16.7	0	0
DH10B	ECDH10B_0275	yagU	34.2	43.8	54.5	18.5	0	0	0	389.8
DH10B	ECDH10B_0276	ykgJ	0	0	44.8	0	0	39.7	0	0
DH10B	ECDH10B_0277	yagV	21.2	13	0	11.8	64.9	10.8	0	0
DH10B	ECDH10B_0278	yagW	29.3	31.8	70.2	32.3	31.9	37.5	0	51.5
DH10B	ECDH10B_0279	yagX	17.1	11.9	0	11.3	10.7	19.2	0	0
DH10B	ECDH10B_0280	matC	15	0	0	8.9	0	0	0	0
DH10B	ECDH10B_0281	matB	30.7	14.4	13.4	25.6	43.3	47.1	0	0
DH10B	ECDH10B_0282	matA	0	14.3	0	0	0	0	0	0
DH10B	ECDH10B_0283	ykgL	0	0	0	53.1	0	0	0	0
DH10B	ECDH10B_0284	ykgO	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0285	ykgM	630.4	1265	0	11.2	0	0	0	0
DH10B	ECDH10B_0286	eaeH	0	0	0	3.3	0	0	0	0
DH10B	ECDH10B_0287	insE-1	51.9	29.9	12.8	20.8	41.2	24.9	0	45.6
DH10B	ECDH10B_0288	insF-1	31.2	35.5	27.3	26.8	25.7	17.8	0	0
DH10B	ECDH10B_0289	ykgA	21.9	9	18.7	7.2	0	38.1	0	0
DH10B	ECDH10B_0290	ykgB	0	0	19.9	7.1	40.2	0	0	0
DH10B	ECDH10B_0291	ykgI	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0292	ykgC	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0293	ykgD	12.9	36	0	6.1	37.2	0	0	0
DH10B	ECDH10B_0294	ykgE	112.8	50.2	0	7.9	0	11.8	0	0
DH10B	ECDH10B_0295	ykgF	143.2	190.8	34.5	4.5	13.4	79.3	0	9.9
DH10B	ECDH10B_0296	ykgG	151.3	70.8	1.4	17.4	41.2	52	0	0
DH10B	ECDH10B_0297	ykgH	0	0	0	0	0	24.2	0	0
DH10B	ECDH10B_0298	betA	38.4	16.6	24.8	56.2	11.4	47.9	43.6	0
DH10B	ECDH10B_0299	betB	54.5	53.8	33.5	48.8	50.8	55.4	82.4	0
DH10B	ECDH10B_0300	betI	20.5	22.2	53.7	51.7	65	28.8	123.9	0
DH10B	ECDH10B_0301	betT	59.2	26.9	98.9	84.5	15.6	62.1	0	0
DH10B	ECDH10B_0302	yahA	16.6	31.8	22.6	10	0	13.4	100.3	0
DH10B	ECDH10B_0303	yahB	12.9	46.2	9.5	22	58	35.5	0	0
