Chr	Locus	Gene Name	EF State 1	EF State 2	EF State 3	EF State 4	EF State 5	EF State 6	EF State 7	EF State 8
DH10B	ECDH10B_0018	hokC	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0020	nhaA	111.3	153.9	295.1	159.4	775.1	621.4	929.5	718.8
DH10B	ECDH10B_0021	nhaR	64.4	105.7	144	128.4	136.5	189.2	208.9	269.4
DH10B	ECDH10B_0022	insB-1	334.4	278.1	276.9	123.4	215.2	258	219.3	293.3
DH10B	ECDH10B_0023	insA-1	105.7	89.2	27.5	48.6	133.2	84.5	172.8	108.2
DH10B	ECDH10B_0024	rpsT	872	733.6	364.9	582.9	278.4	563.2	424.3	473.2
DH10B	ECDH10B_0025	yaaY	0	0	41.6	0	0	2.4	0	0
DH10B	ECDH10B_0026	ribF	596.7	493.4	493.6	680.7	472	693	867.8	723.6
DH10B	ECDH10B_0027	ileS	773.7	897.9	834.9	811.2	973.1	995.5	708	827.4
DH10B	ECDH10B_0028	lspA	330.9	223.5	281.9	239.4	222.8	315.4	166.7	278
DH10B	ECDH10B_0029	fkpB	167.4	339.5	182	320.5	428.3	255.2	375.1	272.2
DH10B	ECDH10B_0030	ispH	544	466	606.1	561.5	510	466	443.3	422.9
DH10B	ECDH10B_0031	rihC	36.5	56.8	43.9	11.7	64.7	40.4	48.8	77.2
DH10B	ECDH10B_0032	dapB	185.5	155.9	158.7	163.1	170.1	132.6	75.5	119.3
DH10B	ECDH10B_0033	carA	68.4	32.3	62.7	41.5	63.2	75.9	13.8	29.7
DH10B	ECDH10B_0034	carB	37	53.1	40	81	57.6	138.1	65.1	63.8
DH10B	ECDH10B_0035	caiF	22.6	6	23	0	27.2	0	0	0
DH10B	ECDH10B_0036	caiE	4.8	15.8	0	0	0	9.4	0	0
DH10B	ECDH10B_0037	caiD	0	5.6	0	7.8	0	2	0	3
DH10B	ECDH10B_0038	caiC	27	27.4	5.3	15	9.7	9.9	0	6.2
DH10B	ECDH10B_0039	caiB	49.5	20.2	13.1	6.6	47.8	9.7	5	18.8
DH10B	ECDH10B_0040	caiA	54.4	51.9	19.9	43.2	21.2	30.2	43.7	33.3
DH10B	ECDH10B_0041	caiT	10.9	8.5	18.5	10.3	2.4	10.5	10	19.7
DH10B	ECDH10B_0042	fixA	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0043	fixB	15.5	0.5	0	0	28.5	0.9	10.4	7.7
DH10B	ECDH10B_0044	fixC	0	0	0	0	0	0.6	0	6.8
DH10B	ECDH10B_0045	fixX	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0046	yaaU	1.8	4.3	4.6	2.8	14.8	7.1	4.5	3.9
DH10B	ECDH10B_0047	kefF	8.9	6.5	0	20.2	0	4.5	0	5.1
DH10B	ECDH10B_0048	kefC	37.6	35.1	11	24.2	9.6	14.4	14.2	11.3
DH10B	ECDH10B_0049	folA	83.4	169.7	55.3	154.1	127	170.5	25.2	182.3
DH10B	ECDH10B_0050	apaH	307.1	378.4	346.4	296.4	396.6	297.4	391.5	258.8
DH10B	ECDH10B_0051	apaG	640.1	468.5	832.7	398.6	303.6	342.8	767	425.5
DH10B	ECDH10B_0052	ksgA	510.3	490	547.2	447.4	478.8	471.8	307.6	410.4
DH10B	ECDH10B_0053	pdxA	210.2	315	275	288.1	190.2	157.7	237.8	125.6
DH10B	ECDH10B_0054	surA	481.4	867.5	573.4	811.1	514	535.4	442.9	465.4
DH10B	ECDH10B_0055	imp	707.8	781.4	749.4	518.6	455.6	507.8	399.5	422.4
DH10B	ECDH10B_0056	djlA	87.1	156.5	101.3	188.6	13.2	42.6	116.9	39.6
DH10B	ECDH10B_0058	yabP	98.8	84.5	45.7	100.4	11.3	126.6	142.6	106.9
DH10B	ECDH10B_0060	rluA	47.8	41.6	24.1	27.6	57	41.3	21.8	38.9
DH10B	ECDH10B_0061	hepA	6.1	10.5	7.1	3.7	16.4	14.7	22.1	19.4
DH10B	ECDH10B_0062	fruR	5	15	0	5.7	0	5.6	14	0
DH10B	ECDH10B_0063	mraZ	430.7	388.9	439.5	483.6	617.2	521.5	616.8	592.9
DH10B	ECDH10B_0064	mraW	218.9	258.7	251.2	382.5	312.1	470.6	698.3	532
DH10B	ECDH10B_0065	ftsL	29.6	90.1	101.5	152.3	303.7	179.6	153	197
DH10B	ECDH10B_0066	ftsI	168.6	142.7	163.5	182.7	168.9	305	312.3	343.6
DH10B	ECDH10B_0067	murE	193.9	245.3	231.9	316.4	290.4	424.2	392.7	378.2
DH10B	ECDH10B_0068	murF	203.7	277.8	300.8	276.2	325.9	446.7	308.6	411
DH10B	ECDH10B_0069	mraY	377.3	303.4	472	249.5	430.4	331.2	443.8	303.1
DH10B	ECDH10B_0070	murD	339.2	253.2	396.2	322	426.1	445.7	490.8	466.2
DH10B	ECDH10B_0071	ftsW	262	251.4	318	342.4	362.2	369.4	476.1	307.8
DH10B	ECDH10B_0072	murG	225.7	250.6	252.8	244	426.4	311.7	426.7	317.3
DH10B	ECDH10B_0073	murC	264.1	346.5	309.3	379.2	352.3	401.7	315.4	358.2
DH10B	ECDH10B_0074	ddlB	654.8	420.4	718.9	703.2	616.1	505.8	665.7	381
DH10B	ECDH10B_0075	ftsQ	365.4	423.2	587.8	645.2	535.1	515.5	459.1	516.3
DH10B	ECDH10B_0076	ftsA	522.9	386.9	544.7	589.6	497.5	570.3	692.8	523.9
DH10B	ECDH10B_0077	ftsZ	917.4	878.6	1283.2	1064.9	1143.1	1286.3	1201.1	1132.3
DH10B	ECDH10B_0078	lpxC	2507.6	2861.4	2273.7	2157.5	3177.6	3282.9	3016.2	3888.6
DH10B	ECDH10B_0079	secM	425.8	512	499.7	391.9	393.2	543.1	228.7	357.6
DH10B	ECDH10B_0080	secA	807	904.9	756.8	927.7	705	639.2	691.8	560.4
DH10B	ECDH10B_0081	mutT	118.3	83.4	95.3	16.5	73.6	60.9	58.2	45.6
DH10B	ECDH10B_0082	yacG	0	12	0	0	0	6.8	0	0
DH10B	ECDH10B_0083	yacF	298.6	173.1	123.3	141.2	143.4	143.4	124.1	169.9
DH10B	ECDH10B_0084	coaE	91.7	78.3	36.6	77.7	131.4	88.2	76.8	123.4
DH10B	ECDH10B_0085	guaC	206.5	227.4	70.5	158.7	30.1	66.1	60.2	69.9
DH10B	ECDH10B_0086	hofC	49.7	54.1	5	4.5	26.1	12.4	25.2	26.1
DH10B	ECDH10B_0087	hofB	84.9	77	39.4	62.7	131.3	50.5	104.9	47.9
DH10B	ECDH10B_0088	ppdD	28.8	22.2	0	0	0	4.4	27.5	19.2
DH10B	ECDH10B_0089	nadC	298.6	247.3	182.4	265.7	366	379.8	315	283.5
DH10B	ECDH10B_0090	ampD	212.3	189.9	131.9	125.3	191.6	189.9	117.9	217.6
DH10B	ECDH10B_0091	ampE	94.7	133.6	111.8	34.5	52.4	126.2	129.3	91.8
DH10B	ECDH10B_0092	aroP	150.1	149.1	91.1	102.6	163.8	120.7	115.7	145.4
DH10B	ECDH10B_0093	pdhR	1032	1899.1	803.1	1434.6	948	1180.9	806.4	838.9
DH10B	ECDH10B_0094	aceE	2630.8	3304.7	4128.2	4515.8	2192.6	2704.2	688.5	817.1
DH10B	ECDH10B_0095	aceF	3521.8	3218.1	4809.1	7055.5	2465.8	2547.9	710.6	691.6
DH10B	ECDH10B_0096	lpd	3035.6	3538.1	3072.6	4059.7	1351.9	1710.1	599.7	571.7
DH10B	ECDH10B_0097	yacH	62.2	33.2	36.8	18.2	9.2	14.4	17.1	17.9
DH10B	ECDH10B_0098	acnB	828.8	1152.3	1607.7	1503	2594.4	2668.9	2954.6	3031.1
DH10B	ECDH10B_0099	yacL	223.1	237.8	300.9	326.4	103.7	262.6	273.2	157.1
DH10B	ECDH10B_0100	speD	338.1	402	317.7	425.5	290.9	600.7	298	404.2
DH10B	ECDH10B_0101	speE	402.3	411.2	236.2	262.2	390.8	385	229.6	393.3
DH10B	ECDH10B_0102	yacC	97.4	128.4	69.7	95.5	257.6	188.6	241.4	143.1
DH10B	ECDH10B_0103	cueO	79.5	78.2	166.8	91.6	97.7	122	107.9	223.3
DH10B	ECDH10B_0104	gcd	179.4	175.7	167.5	114.8	81.4	63.3	62.7	39.2
DH10B	ECDH10B_0105	hpt	268.2	295.7	156.8	122.8	268.8	159.9	60.6	103.4
DH10B	ECDH10B_0106	can	582.9	483.5	591.4	778.8	667.9	914.8	691.9	628.5
DH10B	ECDH10B_0107	yadG	130.5	190.4	211.1	123.8	88	93.5	44.9	86.6
DH10B	ECDH10B_0108	yadH	160.6	89.9	123.9	8.3	90.7	56.9	46.1	48.5
DH10B	ECDH10B_0109	yadI	43.8	60.5	0	0	16.3	29	32.6	56.1
DH10B	ECDH10B_0110	yadE	69.7	106.1	89.4	107.2	73.6	89.6	78.8	88.1
DH10B	ECDH10B_0111	panD	237.2	297.8	284.7	274.4	310.6	350.7	274.2	462.5
DH10B	ECDH10B_0112	yadD	55.3	43.5	23.5	47.5	34.7	49.2	90.5	79.2
DH10B	ECDH10B_0113	panC	406.1	348.1	292.9	319.7	316.7	376.3	269.2	283
DH10B	ECDH10B_0114	panB	232.1	215	239.5	217.8	221	184	59	213.7
DH10B	ECDH10B_0115	yadC	18.2	15.8	0	9.5	0	24.2	28.1	29.5
DH10B	ECDH10B_0116	yadK	6.3	10.6	0	0	28.5	3.5	46.9	11.1
DH10B	ECDH10B_0117	yadL	17.1	12.2	0	0	0	14.5	15	11
DH10B	ECDH10B_0118	yadM	0	5	0	0	0	12.1	0	16.4
DH10B	ECDH10B_0119	htrE	14.9	2.4	0	2.3	12.4	2.1	4.4	3.8
DH10B	ECDH10B_0120	ecpD	6.4	17.5	12.3	0	20.6	5.4	11.2	0
DH10B	ECDH10B_0121	yadN	0	7.3	0	0	0	7.1	6.5	17
DH10B	ECDH10B_0122	folK	51	212.7	75.8	129.6	127	121.5	39.4	74.2
DH10B	ECDH10B_0123	pcnB	315.2	440.5	352.1	466.7	219.9	334.9	180.8	208.9
DH10B	ECDH10B_0124	yadB	23.9	68.8	62.2	60.7	60	54	0	35.5
DH10B	ECDH10B_0125	dksA	1027.2	799.2	1277.4	1286.3	552.4	972.8	1045.8	1094.4
DH10B	ECDH10B_0126	sfsA	174.9	125.4	264.6	201.5	209.8	264.9	325.3	256.4
DH10B	ECDH10B_0127	ligT	39.9	77.3	41.4	52.5	55.7	128.6	62.7	111.4
DH10B	ECDH10B_0128	hrpB	79.2	61.5	57.1	46.8	98.1	100.9	80.7	58.9
DH10B	ECDH10B_0129	mrcB	127.8	169.3	169.3	170.3	165.1	195	186.3	174.5
DH10B	ECDH10B_0130	fhuA	45.1	106	360	358.9	430.6	593.4	278.6	367.6
DH10B	ECDH10B_0131	fhuC	1.2	45.7	31.4	24.9	65.2	48.2	39.8	27.6
DH10B	ECDH10B_0132	fhuD	12.2	24.3	33.2	23.5	16.1	9	0	23.4
DH10B	ECDH10B_0133	fhuB	56.5	45.9	50.5	19.7	25.8	38.2	34.7	34.5
DH10B	ECDH10B_0134	hemL	192.9	214.5	183.5	177.9	172.8	207	146	142.5
DH10B	ECDH10B_0135	clcA	65.9	54.6	115.2	36.2	35.9	35.3	38.9	33.1
DH10B	ECDH10B_0136	yadR	66.9	99.7	237.4	287.5	436.5	254.8	495.9	202
DH10B	ECDH10B_0137	yadS	95.8	95.1	130.1	159	122.1	137.7	172.3	148.4
DH10B	ECDH10B_0138	btuF	48.8	65.2	72.9	56.2	134.3	83.1	96.4	114.5
DH10B	ECDH10B_0139	pfs	307.1	235.3	167.1	329.8	330.9	442.8	337.9	487.8
DH10B	ECDH10B_0140	dgt	91.2	95.6	85.4	94.3	139.4	173.7	133.6	192.2
DH10B	ECDH10B_0141	degP	238.5	279.3	212.4	210.3	203.2	233.2	217.8	274.8
DH10B	ECDH10B_0142	cdaR	136.6	77.1	62.9	40.7	85.2	78.8	61.4	83.9
DH10B	ECDH10B_0143	yaeH	192.2	181.1	166.6	72	203.8	253	179.9	208.2
DH10B	ECDH10B_0144	yaeI	69.5	89.5	79.3	48.1	27.6	36.3	65.2	36
DH10B	ECDH10B_0145	dapD	386.3	356.6	586.5	640.1	347.7	483.3	348.7	417.7
DH10B	ECDH10B_0146	glnD	108.8	147.6	71.5	64.2	143.2	131.4	115.5	93.4
DH10B	ECDH10B_0147	map	562.5	488	729.8	948.9	778	935.9	537	776.9
DH10B	ECDH10B_0149	rpsB	3502.1	5384.3	3899.8	5329	2743.6	2006.6	1713	1519
DH10B	ECDH10B_0150	tsf	3009.6	3101.8	3510.9	6034.8	2911.3	2733.3	1764.4	1364.5
DH10B	ECDH10B_0151	pyrH	584.2	515.5	452.4	263.6	323.5	230.1	224.2	152.9
DH10B	ECDH10B_0152	frr	709.5	1268.3	530.1	1263.5	756.7	748.9	584.7	602.9
DH10B	ECDH10B_0153	dxr	154.2	139.5	162.2	141.5	106.3	105.8	103.1	110.9
DH10B	ECDH10B_0154	ispU	1101.5	910.5	730.6	866.8	280	295.5	330.8	287.1
DH10B	ECDH10B_0155	cdsA	607.9	508.3	326.2	451.2	256	206.8	213.5	208.2
DH10B	ECDH10B_0156	rseP	644	673	639.6	542.1	542.6	373.2	338.5	444
DH10B	ECDH10B_0157	ecfK	934.3	1062.5	1084.8	939.6	865.1	959.7	886.7	958.9
DH10B	ECDH10B_0158	skp	1290.2	987.3	1300	1383.4	1058.8	1133.9	1141.6	1066
DH10B	ECDH10B_0159	lpxD	1013.1	989.4	1057.8	826.2	842.3	1042.6	843.3	871.4
DH10B	ECDH10B_0160	fabZ	430.5	493.6	864.9	678.4	446.3	371.8	531.2	281.9
DH10B	ECDH10B_0161	lpxA	618.7	614.3	993	771.9	874.8	650.7	429.8	730
DH10B	ECDH10B_0162	lpxB	589.2	445.3	483.2	541.8	411.9	403.3	426.9	402
DH10B	ECDH10B_0163	rnhB	439.2	478	452.3	632.2	340.9	382.5	341.1	274.9
DH10B	ECDH10B_0164	dnaE	413	402.3	396.1	444.7	331.5	327.8	246.9	250
DH10B	ECDH10B_0165	accA	963.6	956.5	925.9	1702.8	1097.2	1373.9	765.6	920
DH10B	ECDH10B_0166	ldcC	73.2	60.9	49.6	56.8	21.3	40.4	39.2	38.7
DH10B	ECDH10B_0167	yaeR	31.4	34	62.2	66	20.7	68	0	48.7
DH10B	ECDH10B_0168	tilS	71.8	73.6	143.6	94.5	117.3	99.1	62.9	113.8
DH10B	ECDH10B_0169	rof	7.4	6.8	0	10.5	98.4	38.8	38.6	67.4
DH10B	ECDH10B_0170	yaeP	46.8	24.3	30.2	8	102.6	34.9	67.8	10.5
DH10B	ECDH10B_0171	yaeQ	109.5	94.8	111.1	83.5	267.6	96.4	140	139.8
DH10B	ECDH10B_0172	yaeJ	194.8	98.5	46.6	131.8	61.5	139.8	87.7	64.9
DH10B	ECDH10B_0173	nlpE	173.5	150.9	133.3	95	113.5	152.7	120.3	156.6
DH10B	ECDH10B_0174	yaeF	50.8	87.4	60.7	36.4	65.2	46.2	11	30.4
DH10B	ECDH10B_0175	proS	746	770.2	692.3	909.5	564.2	875.8	508.2	571
DH10B	ECDH10B_0176	yaeB	124.3	226.7	101.8	154.5	184.9	92	46	80.1
DH10B	ECDH10B_0177	rcsF	124.4	215.5	65.5	215.8	185.9	159.2	175.7	150.5
DH10B	ECDH10B_0178	metQ	265.4	308.5	547.5	484.9	1399.6	1626.1	1059.3	1302.3
DH10B	ECDH10B_0179	metI	174.9	90.3	229.6	191	322.1	348.7	413.2	263.9
DH10B	ECDH10B_0180	metN	110.4	123.3	166.8	127.3	311	361.4	242	263.4
DH10B	ECDH10B_0181	gmhB	352.2	197.3	317.3	229	219.4	222.7	307.5	254.1
DH10B	ECDH10B_0188	dkgB	43.9	115.8	6.6	46.7	41.3	32.1	42.4	4.9
DH10B	ECDH10B_0189	yafC	66.4	85	5	33.4	5.9	41.8	21.5	64.6
DH10B	ECDH10B_0190	yafD	84.6	85.9	136.3	80.3	160	277.5	243.8	409.5
DH10B	ECDH10B_0191	yafE	98.1	62.7	66.9	88.5	33	116.6	111.6	119
DH10B	ECDH10B_0192	mltD	852.8	490.9	467.7	682.1	437.3	403.2	681.7	592.4
DH10B	ECDH10B_0193	gloB	96.5	72.9	88.3	61	112.6	73.3	61.1	66.7
DH10B	ECDH10B_0194	yafS	271.5	168.5	152.1	163.1	68.2	97.6	145.5	97.7
DH10B	ECDH10B_0195	rnhA	179	113.3	47	61.9	19.2	80.5	153.7	94.1
DH10B	ECDH10B_0196	dnaQ	75.2	129.4	134.7	118.7	169	269.7	207.8	267.5
DH10B	ECDH10B_0198	yafT	41.9	109.6	23.2	23.2	50.2	18	40.4	6.9
DH10B	ECDH10B_0199	yafU	0	0	6.4	0	0	0	0	5.9
DH10B	ECDH10B_0200	yafF	0	0	0	0	19	0	0	11.2
DH10B	ECDH10B_0201	yafV	44.6	47.7	122	146.7	94.2	88.5	100.1	156.5
DH10B	ECDH10B_0202	ivy	44.7	31.6	89.6	76.9	0	48.3	30.3	28
DH10B	ECDH10B_0203	fadE	12.3	15.9	34.7	44.5	41.8	50.5	77.1	110.3
DH10B	ECDH10B_0204	lpcA	147.2	196.5	149.3	252.8	142.4	108	104.6	133.4
DH10B	ECDH10B_0205	yafJ	293.6	215.4	299.2	151.5	189.1	188.9	187.3	128.9
DH10B	ECDH10B_0206	yafK	670.9	660.9	543.5	421.8	526.2	490.8	596.6	551.3
DH10B	ECDH10B_0207	yafQ	1.7	20.9	27.2	123	64.3	57.3	195.3	50.8
DH10B	ECDH10B_0208	dinJ	36.1	19.4	32	98.6	44.6	37.6	60.9	62.4
DH10B	ECDH10B_0209	yafL	11.3	1.9	8.1	13.6	0	8.5	1	1.6
DH10B	ECDH10B_0210	yafM	0	14.9	0	14	28.8	32.9	22.8	23
DH10B	ECDH10B_0211	lfhA	34.6	12.3	23	7.8	6.8	15.3	16.3	13.6
DH10B	ECDH10B_0212	lafU	1.2	8.6	12	4.3	0	3.5	6	8
DH10B	ECDH10B_0213	dinB	40.6	45.7	23	28.9	53.5	65.1	48.7	64.6
DH10B	ECDH10B_0214	yafN	0	0	0	0	0	14.7	38.6	0
DH10B	ECDH10B_0215	yafO	10.6	33.2	0	36.3	0	25.9	28.5	10.6
DH10B	ECDH10B_0216	yafP	0	5.2	46.9	0	0	16.6	0	31.3
DH10B	ECDH10B_0217	ykfJ	0	6.1	0	0	0	0	0	0
DH10B	ECDH10B_0218	prfH	60.1	33.7	12.1	8.6	17.9	27.8	27.2	7.2
DH10B	ECDH10B_0219	pepD	590.9	531.2	544.6	507.5	485.7	782.8	552.9	559.6
DH10B	ECDH10B_0220	gpt	70.8	143.7	135.5	189.2	121.1	127	34.6	51.3
DH10B	ECDH10B_0221	frsA	180	230.1	182.1	199.4	180	110.8	114.9	127
DH10B	ECDH10B_0222	crl	341.9	450.7	573.6	945.6	972.3	782.8	1325.6	966.7
DH10B	ECDH10B_0223	phoE	15.6	64.4	32.3	15.7	60.3	58.6	54.5	56
DH10B	ECDH10B_0224	proB	161.6	130.5	217.8	154.9	154.3	173.6	117.2	139.9
DH10B	ECDH10B_0225	proA	153.9	226.4	213.5	218.9	298.8	256.9	156.9	260.3
DH10B	ECDH10B_0227	ykfI	20.6	57.7	31	9.4	0	16.3	28.8	0
DH10B	ECDH10B_0228	yafW	74	52.6	95.4	21.9	0	9.1	0	0
DH10B	ECDH10B_0229	ykfH	14.8	0	0	0	0	0	0	0
DH10B	ECDH10B_0230	ykfG	21.7	41	0	42.7	20.7	7.1	15.9	7
DH10B	ECDH10B_0231	yafX	201	92.5	188.4	121.5	62.5	68.1	89.1	28.3
DH10B	ECDH10B_0232	ykfF	13.7	19.1	0	0	3.7	0	0	26.4
DH10B	ECDH10B_0233	ykfB	16.1	37.1	0	92.8	80.4	26.9	55	23.2
DH10B	ECDH10B_0234	yafY	26.5	33.4	32.5	19.3	0	7	0	4.1
DH10B	ECDH10B_0235	ykfL	0	12.1	0	36.2	0	0	0	0
DH10B	ECDH10B_0236	ykfK	0	3.3	0	0	0	0	0	0
DH10B	ECDH10B_0237	yafZ	21.2	10	15.7	33.9	0	5.3	0	7
DH10B	ECDH10B_0238	ykfA	105.2	46	40.4	27.9	19.7	27.6	35	40.2
DH10B	ECDH10B_0239	perR	6.8	33.2	28.8	22.2	30.1	17	18.6	17.6
DH10B	ECDH10B_0240	insN-1	23.2	12.9	24.3	18.5	6.6	45.9	0	56.6
DH10B	ECDH10B_0241	insI-1	46.6	88.8	40.2	66.1	62.3	63.1	53.9	75.7
DH10B	ECDH10B_0243	insO-1	25.4	30.4	35.6	17.6	124.2	62	49.8	30.5
DH10B	ECDH10B_0244	ykfC	56.5	25.4	27.4	18.9	42.1	28.4	14.3	23.1
DH10B	ECDH10B_0245	insH-1	482.8	366.3	406.4	388.5	265.3	311.3	338.7	372.9
DH10B	ECDH10B_0246	mmuP	18.1	5.8	37.8	1.5	47.2	17.3	17.8	24.3
DH10B	ECDH10B_0247	mmuM	70.6	42	81.3	46.5	195	96.8	101.4	115.5
DH10B	ECDH10B_0248	afuC	11.7	16.1	0	10.2	47.1	12.2	5.1	11.5
DH10B	ECDH10B_0249	afuB	7.8	13.5	0	0	19.8	5.1	22.9	6.6
DH10B	ECDH10B_0250	insB-2	197.1	175.4	69.2	91.5	137	81.5	135.2	88
DH10B	ECDH10B_0251	insA-2	71.6	43.5	11	0	100.7	17.9	16.5	23
DH10B	ECDH10B_0252	ykgN	20.8	9.8	0	38	182.5	123.9	111.6	106.8
DH10B	ECDH10B_0253	yagB	51	20.7	17.3	82.5	122.6	101.1	189.8	226.9
DH10B	ECDH10B_0254	yagA	11.4	10	7.2	6	3.1	8.3	3.9	6
DH10B	ECDH10B_0255	yagE	410.5	717.5	1225.7	1256.8	1686.8	2261.7	1747.5	2662.4
DH10B	ECDH10B_0256	yagF	802.3	840.2	3052.3	1889.9	2411	2717.5	3068.5	3910.5
DH10B	ECDH10B_0257	yagG	76.9	87.3	140.4	147.7	2212.2	2584.2	3918.3	5674.4
DH10B	ECDH10B_0258	yagH	104.9	72.9	160.1	101.5	2041	3005.3	4406.3	6731.3
DH10B	ECDH10B_0259	yagI	23.6	48.7	94.9	21.9	185.4	249.7	214.4	703.6
DH10B	ECDH10B_0261	argF	35.1	5.5	66.4	52.3	83.8	62.1	79.8	59.1
DH10B	ECDH10B_0262	insB-3	166.3	188.5	75.2	80.8	113.8	88.2	133.7	102.4
DH10B	ECDH10B_0263	insA-3	75	45.7	8.2	0	65	24.7	21.9	18.6
DH10B	ECDH10B_0264	yagJ	55.3	53.9	0	55.7	94.3	62.2	22.7	75.8
DH10B	ECDH10B_0265	yagK	78.1	47.6	24.2	42.8	108.7	75.9	78.5	117.4
DH10B	ECDH10B_0266	yagL	24.2	27.5	0	24.5	55.1	32.9	72.6	30.6
DH10B	ECDH10B_0267	yagM	16.5	4.6	47	0	15.7	6.5	0	8.8
DH10B	ECDH10B_0268	yagN	214.6	135.3	58.5	131.3	56.9	62	42.9	154.6
DH10B	ECDH10B_0269	intF	46	87.1	39	71.2	52.5	100.4	132.9	138.7
DH10B	ECDH10B_0270	yagP	43.5	8.1	0	52.2	26.2	2.8	31.3	35.2
DH10B	ECDH10B_0271	yagQ	14.3	28	37.2	23.5	15.9	23.3	22.9	20.2
DH10B	ECDH10B_0272	yagR	10.3	7	7.2	7.3	19.2	11.4	29.9	20
DH10B	ECDH10B_0273	yagS	0	4.5	15.9	6.7	13.1	9.6	13.4	5.7
DH10B	ECDH10B_0274	yagT	0	3.7	0	14	22.1	12.3	0	0
DH10B	ECDH10B_0275	yagU	8.4	12.3	41.9	31.4	21.9	9.1	7.4	11.8
DH10B	ECDH10B_0276	ykgJ	0	0	13.8	0	0	0	32.1	0
DH10B	ECDH10B_0277	yagV	8.6	18.9	7.5	9.8	63	32.7	31.9	15.3
DH10B	ECDH10B_0278	yagW	27.5	32.9	44.8	42.1	57.8	41.8	31.3	63.7
DH10B	ECDH10B_0279	yagX	15.1	15.9	9.9	11.2	14.2	15.2	6.9	22.7
DH10B	ECDH10B_0280	matC	2.1	4	0	0	0	5.4	0	6.3
DH10B	ECDH10B_0281	matB	44.8	57.4	63.2	19.1	76.2	49.5	65.7	55.4
DH10B	ECDH10B_0282	matA	9.6	3.7	0	0	0	4.5	0	0
DH10B	ECDH10B_0283	ykgL	70.2	23.5	29.9	14.1	0	8.1	0	29.1
DH10B	ECDH10B_0284	ykgO	0	11.2	0	0	0	0	0	0
DH10B	ECDH10B_0285	ykgM	0	0	0	0	0	0	0	0
DH10B	ECDH10B_0286	eaeH	0	5.5	0	0	0	1.7	0	0
DH10B	ECDH10B_0287	insE-1	51.8	16.3	9.8	12.1	5.8	20	12.2	43.9
DH10B	ECDH10B_0288	insF-1	44	31.1	3.5	15.5	12.4	17.9	14.8	24.7
